,Symbol
0,9101
1,BST
2,STK
3,AMSF
4,FDUS
5,QQQX
6,DKL
7,MDRRP
8,FLNG
9,8706
10,MMP
11,CHRD
12,UTG
13,EPD
14,SUN
15,UTF
16,MO
17,BCC
18,HESM
19,SBR
20,GLP
21,8624
22,6035
23,BANFP
24,9434
25,9281
26,EVA
27,3451
28,4246
29,3465
30,7338
31,IIPR
32,UHT
33,8956
34,5391
35,7278
36,7287
37,BME
38,BX
39,2972
40,1941
41,SCCO
42,7239
43,4215
44,LYB
45,9285
46,5020
47,GLPI
48,3492
49,9268
50,7259
51,NSA
52,9880
53,2485
54,8958
55,7940
56,8961
57,WPC
58,MNRL
59,2971
60,7717
61,8972
62,2121
63,3309
64,3290
65,4061
66,8053
67,6463
68,3296
69,9511
70,7775
71,5857
72,7905
73,3738
74,8976
75,9284
76,8979
77,5368
78,8020
79,CHCT
80,4708
81,IRM
82,1982
83,3476
84,8960
85,8725
86,8593
87,PM
88,8917
89,4502
90,8871
91,6345
92,5192
93,6995
94,TROW
95,9832
96,5195
97,9536
98,DLR
99,8410
100,4471
101,NNN
102,3453
103,3468
104,7974
105,8524
106,1980
107,4188
108,4228
109,8140
110,5938
111,3291
112,8952
113,1721
114,8977
115,6292
116,O
117,4116
118,6339
119,4005
120,7958
121,7966
122,1946
123,7224
124,8381
125,4521
126,8133
127,3036
128,FANG
129,9303
130,2914
131,5019
132,7267
133,6371
134,3166
135,4544
136,5911
137,CNS
138,5930
139,8630
140,1812
141,3459
142,7483
143,3834
144,6287
145,9513
146,7914
147,8068
148,6718
149,7296
150,ESS
151,3167
152,TD
153,4634
154,6737
155,3176
156,3407
157,7955
158,8096
159,3279
160,BBY
161,6471
162,1878
163,8098
164,1515
165,6877
166,6676
167,4202
168,1417
169,4088
170,AVB
171,FAF
172,5214
173,6060
174,NEP
175,1802
176,8793
177,8953
178,6470
179,5331
180,8058
181,ADC
182,3295
183,SO
184,PCGU
185,7942
186,5333
187,8418
188,7226
189,1969
190,7961
191,4206
192,8425
193,9882
194,9069
195,4095
196,4248
197,1942
198,LSI
199,8130
