,Symbol
0,VALU
1,IGRO
2,WPC
3,DRN
4,FCAP
5,BFS
6,UTMD
7,CTRA
8,RGCO
9,GOOD
10,EOI
11,RGR
12,HIW
13,ITIC
14,FTS
15,CMC
16,CSWC
17,NYMTM
18,INT
19,NAVI
20,VRP
21,KBA
22,DURA
23,PDT
24,UBP
25,QVCD
26,IMOS
27,XMVM
28,BSJO
29,NGG
30,WY
31,NUAG
32,USAC
33,UGP
34,GLAD
35,ESGD
36,HLIO
37,SLX
38,EFAD
39,FLHY
40,FTAI
41,AJRD
42,SUN
43,FLXS
44,FDUS
45,OLP
46,MOO
47,JPHY
48,CVI
49,GHYB
50,EEMA
51,EXP
52,CIX
53,SPDV
54,IEP
55,BUI
56,DTE
57,FT
58,NVT
59,DOC
60,HES
61,CSR
62,STEW
63,ADC
64,CTDD
65,INKM
66,UTL
67,GHI
68,NWN
69,MEI
70,ABST
71,IBKR
72,CRWS
73,AOR
74,MMLP
75,NHS
76,AGNCN
77,QYLD
78,NWSA
79,ESGRO
80,HTLD
81,VPC
82,MCI
83,MTX
84,PJT
85,OPY
86,DNP
87,USMC
88,CBFV
89,PCQ
90,INDT
91,SMP
92,GPJA
93,MFUS
94,EBF
95,VLYPP
96,ACNB
97,NBW
98,DDT
99,EWJV
100,LXFR
101,CHSCL
102,FBMS
103,OFC
104,CHSCM
105,AGR
106,ZBH
107,SACC
108,AMH
109,HCXY
110,FE
111,MPV
112,DUKB
113,SCHL
114,NEM
115,ORAN
116,IQDY
117,NURE
118,KTH
119,BCO
120,FEMS
121,GPK
122,HAL
123,WAB
124,AEE
125,BANFP
126,NTIP
127,CNXN
128,NWS
129,GVA
130,POWL
131,OXSQZ
132,SELF
133,IBDT
134,ZIONO
135,GROW
136,LVHD
137,MDIV
138,BCBP
139,CYCCP
140,IQIN
141,CEMB
142,PIO
143,NEWTL
144,BBAX
145,CASH
146,SHYL
147,PYPE
148,FRST
149,AYI
150,IDA
151,NULV
152,BCI
153,DIAL
154,HYGH
155,OEUR
156,HYHG
157,MMS
158,MBNKP
159,TW
160,NXC
161,ILTB
162,FPEI
163,TOLZ
164,CNS
165,HYLD
166,MMIT
167,EWUS
168,XMPT
169,BBCA
170,NBO
171,BANC
172,BHV
173,BDC
174,EIG
175,MLI
176,OXLCP
177,DFE
178,NCA
179,EVTC
180,LPLA
181,AGGY
182,IBDS
183,CXSE
184,KBR
