,Symbol
0,6417
1,3465
2,3449
3,5857
4,4248
5,2914
6,2485
7,3291
8,4521
9,2121
10,6535
11,2986
12,4246
13,6412
14,4471
15,8917
16,7811
17,4189
18,6197
19,9832
20,9536
21,5368
22,7338
23,4725
24,7775
25,7958
26,3036
27,6877
28,7224
29,6652
30,5391
31,8150
32,3834
33,6292
34,1941
35,5201
36,8185
37,9513
38,9303
39,6165
40,2503
41,4215
42,5301
43,6171
44,5943
45,9880
46,9882
47,3167
48,8217
49,4188
50,6471
51,1928
52,7955
53,6345
54,4634
55,9384
56,5480
57,8281
58,5020
59,8098
60,3176
61,8871
62,1515
63,4228
64,7914
65,6060
66,6287
67,8053
68,9069
69,4044
70,5333
71,4206
72,7718
73,9433
74,1417
75,2186
76,1878
77,7458
78,8905
79,7259
80,5909
81,7239
82,3166
83,4095
84,8020
85,3405
86,8133
87,9072
88,3105
89,7278
90,6718
91,1605
92,3276
93,6339
94,5108
95,5076
96,1982
97,3538
98,9066
99,7751
100,3231
101,8130
102,6104
103,1786
104,3636
105,9147
106,5911
107,4694
108,5901
109,3173
110,4534
111,6741
112,7313
113,7475
114,9432
115,5195
116,7287
117,9213
118,4182
119,6460
120,4732
121,3050
122,8273
123,4951
124,6463
125,3280
126,6750
127,5334
128,9692
129,7762
130,7974
131,4516
132,6995
133,6457
134,6083
135,4433
136,5930
137,5019
138,7739
139,6448
140,4204
141,7296
142,6301
143,8793
144,4202
145,6140
146,3640
147,6028
148,6737
149,1979
150,4548
151,4045
152,6371
153,2908
154,6470
155,1951
156,7984
157,9956
158,4551
159,8032
160,5186
161,5463
162,6136
163,9795
164,6653
165,7942
166,8285
167,6419
168,3402
169,7817
170,7267
171,9386
172,6247
173,5451
174,2929
175,3116
176,7279
177,8276
178,5122
179,9070
180,1946
181,2924
182,7240
183,1662
184,7599
185,8919
186,7220
187,9347
188,4401
189,1961
190,3580
191,4526
192,3201
193,7994
194,3941
195,5802
196,3964
197,2670
198,4088
199,7516
200,8283
201,9543
202,4977
203,3675
204,3191
205,3391
206,5991
207,4633
208,4547
209,8060
210,9729
211,7282
212,9842
213,2613
214,7459
215,8031
216,6996
217,3676
218,9889
219,1812
220,6923
221,7970
222,6326
223,4914
224,9948
225,2874
226,4481
227,9551
228,6914
229,9531
230,4114
231,2602
232,6282
233,4636
234,6516
235,6617
236,1942
237,4112
238,9533
239,4559
240,4626
241,8155
242,5946
243,9787
244,1934
245,6340
246,7937
247,9025
248,4553
249,2685
250,6473
251,6332
252,1980
253,9532
254,8877
255,9830
256,2326
257,4507
258,4578
259,9068
260,7276
261,3924
262,8015
263,3569
264,7988
265,7191
266,8194
267,3132
268,4220
269,3943
270,5949
271,6237
272,2587
273,9672
274,8278
275,9684
276,3148
277,3151
278,4403
279,9075
280,7269
281,3160
282,8841
283,5757
284,4212
285,9090
286,6820
287,8227
288,3539
289,4812
290,8037
291,7203
292,5071
293,3034
294,4613
295,2001
296,7646
297,3421
298,3626
299,9793
300,2681
301,3275
302,9962
303,8242
304,9031
305,5947
306,7677
307,5975
308,3141
309,8214
310,2354
311,6856
312,2573
313,7911
314,4216
315,1663
316,2267
317,4390
318,9746
319,8233
320,1377
321,3096
322,2932
323,2692
324,3371
325,9145
326,4828
327,2588
328,7545
329,3802
330,9869
331,3902
332,6395
333,8596
334,8022
335,7976
336,6430
337,6627
338,5445
339,2915
340,7740
341,8154
342,7079
343,4980
344,1909
345,3649
346,6226
347,8218
348,9022
349,6961
350,3088
351,8920
352,9450
353,1438
354,1780
355,9605
356,3496
357,3856
