,Symbol
0,MANU
1,DKS
2,BIG
3,MMS
4,TBNK
5,TGLS
6,INBK
7,EVI
8,CABO
9,RCKY
10,RRC
11,WTM
12,FIS
13,DIT
14,TARO
15,DELL
16,ITIC
17,MPV
18,NFE
19,LXU
20,SGC
21,BRY
22,IIPR
23,SPLP
24,RRR
25,CF
26,PLCE
27,GME
28,NVDA
29,PAAS
30,MTN
31,LNG
32,EQT
33,ABST
34,VLGEA
35,OXM
36,GEL
37,HCXY
38,NTR
39,KEQU
40,SAFE
41,PBR
42,BTG
43,ZTO
44,HASI
45,APD
46,RL
47,MTA
48,THO
49,GNRC
50,ZWS
51,CMCL
52,FMAO
53,FNV
54,AVNT
55,CEIX
56,APA
57,DGICB
58,TGS
59,AA
60,FSTR
61,TPL
62,RGLD
63,KOP
64,AUY
65,IBKR
66,GOLD
67,TPR
68,GLP
69,LYB
70,INTU
71,A
72,NC
73,MNRL
74,MCHP
75,CIB
76,NUS
77,HIFS
78,OXY
79,HOLI
80,PVH
81,FLIC
82,TSE
83,MATW
84,WLY
85,AMRK
86,JD
87,TRT
88,RYI
89,HUN
90,VSEC
91,HAS
92,NKSH
93,BC
94,MKSI
95,BBWI
96,PKOH
97,FLNG
98,SAL
99,HES
100,CCS
101,MRVL
102,ORCL
103,NOW
104,EAT
105,GPN
106,TRGP
107,PDCE
108,MGY
109,CE
110,R
111,WWW
112,CTRA
113,ASO
114,SKY
115,CLF
116,LPX
117,APO
118,RYAAY
119,STK
120,AEM
121,ET
122,VLO
123,ASML
124,OVV
125,WPM
126,HEP
127,IPG
128,EXPD
129,BNTX
130,SBNY
131,STLD
132,BKE
133,ESQ
134,LNT
135,SBR
136,FCX
137,SSRM
138,UVE
139,CVCY
140,QCOM
141,WLK
142,OLED
143,GRFS
144,PATK
145,LCII
146,CNX
147,VAC
148,UFPI
149,JLL
150,STM
151,NTES
152,SAMG
153,EXPE
154,HP
155,TS
156,ACNB
157,EQH
158,NRG
159,FCFS
160,RHI
161,KWR
162,RICK
163,ZEUS
164,WSFS
165,AGRO
166,SCCO
167,SM
168,NVT
169,MEI
170,MPLX
171,CWEN.A
172,SIGA
173,CSGS
174,HESM
175,ORRF
176,ASIX
177,DINO
178,WSM
179,COLM
180,MCI
181,WNEB
182,SIG
183,FTI
184,SFBC
185,ADI
186,WMB
187,MMP
188,NEP
189,HLF
190,GEF
191,AGCO
192,PFSI
193,OKE
194,CCU
195,CSQ
196,YY
197,PII
198,GIL
199,VST
