,Symbol
0,CEI
1,AVYA
2,SOXL
3,GOEV
4,AMC
5,TQQQ
6,CCL
7,NVDA
8,CHPT
9,PTON
10,GM
11,FUBO
12,AMD
13,BBBY
14,GSAT
15,CGC
16,NCLH
17,BBIG
18,SWN
19,MRVL
20,RCL
21,SMH
22,PLUG
23,F
24,BA
25,MRO
26,FCEL
27,LYFT
28,AAL
29,SLB
30,TLRY
31,MU
32,AMZN
33,QCOM
34,ARKK
35,INTC
36,SQ
37,OXY
38,UBER
39,HAL
40,NIO
41,DVN
42,MNMD
43,MSFT
44,X
45,QQQ
46,TSM
47,AAPL
48,XLE
49,AA
50,DAL
51,GOOG
52,META
53,GOOGL
54,FCX
55,XOM
56,M
57,UAL
58,C
59,BP
60,SLV
61,PINS
62,SIRI
63,DKNG
64,SPY
65,GPS
66,ROKU
67,IWM
68,RIOT
69,ORCL
70,GLD
71,ET
72,WMT
73,GOLD
74,JPM
75,FEZ
76,GDX
77,WFC
78,EWG
79,DIA
80,PYPL
81,SBUX
82,EEM
83,BAC
84,IBM
85,XLF
86,EFA
87,JWN
88,JD
89,CMCSA
90,KO
91,CSCO
92,TGT
93,HYG
94,XLU
95,KWEB
96,WBA
97,CCJ
98,JNJ
99,VALE
100,DIS
101,TBT
102,NFLX
103,PFE
104,LQD
105,TLT
106,BABA
107,PG
108,XBI
109,PARA
110,NEM
111,MO
112,KHC
113,SNAP
114,MARA
115,T
116,BMY
117,EWZ
118,NKE
119,VZ
120,NKLA
121,PBR
122,WBD
123,VXX
124,SQQQ
125,UVXY
126,CLF
