,Symbol,Rironkabuka
0,7203,3418
1,8306,1101
2,6758,1665
3,6501,2516
4,6861,39255
5,9983,32989
6,7974,4556
7,8316,2189
8,9432,201
9,4519,7163
10,6098,6511
11,8058,3702
12,8766,4547
13,9984,9774
14,8001,9033
15,8035,35882
16,9434,179
17,9433,3053
18,7011,1221
19,8411,2302
20,4063,6286
21,8031,4218
22,2914,4293
23,4568,2516
24,7267,2023
25,4502,3242
26,7741,13870
27,6503,2620
28,6702,2477
29,3382,1574
30,9613,2648
31,7182,1323
32,8725,3390
33,4661,1253
34,6857,7779
35,6902,3116
36,6201,14310
37,6701,1885
38,8002,1914
39,6367,15794
40,8630,4192
41,8053,5936
42,7751,5931
43,5108,6225
44,6301,5430
45,4543,1721
46,6178,1324
47,4901,3355
48,8801,1024
49,8750,635
50,6981,1799
51,6752,2087
52,6146,32913
53,8267,1520
54,4689,380
55,4578,9036
56,6954,3049
57,7269,3591
58,9020,2517
59,6273,53751
60,4307,4432
61,2802,1144
62,6594,2708
63,1925,7115
64,8591,3491
65,6723,1030
66,8802,2074
67,8015,5658
68,7832,3203
69,6762,1268
70,5401,5483
71,9022,6457
72,2502,1820
73,4452,4156
74,7532,3144
75,8308,652
76,8309,2468
77,9766,11829
78,4684,3950
79,8830,5500
80,8604,747
81,6971,1817
82,4612,1003
83,4503,900
84,9735,4661
85,9101,7648
86,1605,8601
87,7936,3538
88,4716,18738
89,1928,5584
90,4091,4950
91,7733,1587
92,8113,1035
93,3659,2755
94,5802,4050
95,4507,4054
96,7013,7838
97,7270,7163
98,6326,2666
99,6988,3439
100,9104,6535
101,9531,4538
102,9503,3297
103,5020,1290
104,4755,190
105,9697,3156
106,1812,3518
107,9843,14933
108,2503,3082
109,9435,26554
110,7309,14678
111,8697,173
112,3402,983
113,5803,6799
114,8795,1914
115,3064,2014
116,1802,1830
117,6869,1854
118,8136,6826
119,7012,5416
120,9021,3340
121,8593,996
122,2587,6020
123,1801,6115
124,9532,4844
125,7259,3014
126,4704,7885
127,7453,3091
128,3092,2563
129,2801,1172
130,9202,3421
131,9719,3204
132,6383,3056
133,3407,1686
134,9502,2745
135,2413,1321
136,9107,2563
137,7550,6096
138,7202,3728
139,8601,775
140,9602,4130
141,6920,33151
142,7201,314
143,9201,3688
144,6532,10508
145,6586,4106
146,3088,3014
147,285A,10453
148,8473,2976
149,4151,2025
150,7911,4455
151,5929,5705
