Symbol,Roe,Close
9312,4141.6,1786
8747,1618.3,1082
8707,1517.3,1754
8704,1110.9,540
6547,780.8,1840
7347,764.8,746
3989,705.6,703
6366,684.7,347
5250,591.6,1873
4595,548.8,3580
6835,547.2,101
7080,528.3,1446
7744,527.5,3130
3092,516.3,3071
4395,515.4,1030
5032,505.3,3645
6034,491.9,1005
4691,486.6,761
7187,481.9,1870
5129,465.8,1079
9107,458.6,4682
9560,458.3,997
5244,458.3,327
2778,456.0,180
9162,451.0,502
6532,434.5,4552
6070,426.1,2123
3856,414.6,3580
9104,413.5,3826
1518,411.9,2740
5127,411.1,2696
4044,410.6,2632
9101,408.5,3708
5038,406.8,3525
9218,404.9,866
6193,397.6,961
9343,393.4,1548
2353,387.0,207
3286,383.9,479
7064,382.9,3335
7361,377.9,2255
7082,373.3,1670
9564,373.1,1885
8706,366.1,1058
6200,364.6,1008
3991,360.6,1396
9272,360.5,1624
3925,355.6,1455
6036,354.8,5760
6658,349.5,582
3496,341.6,6840
7338,338.6,795
2371,337.3,1636
8225,334.9,2090
3490,334.6,2027
4716,333.9,11180
3482,332.5,2004
7047,331.3,2138
3271,329.9,415
6190,328.2,470
6031,327.5,1019
9769,324.8,1946
2124,322.7,2601
9554,319.4,615
3854,319.4,3900
6063,317.9,694
9450,315.7,1041
6323,313.5,14130
8891,313.1,1908
4837,312.3,800
9341,312.0,1680
8595,310.3,1678.5
8925,309.8,388
2588,308.7,2984
2412,308.3,1443
7374,307.1,1456
3680,305.8,292
6083,304.5,1716
8876,304.4,1561.5
2986,299.6,4700
5125,291.8,593
9325,288.9,992
5126,288.6,2000
4381,288.2,1322
4980,283.8,4437
2987,281.8,1373
9384,279.5,2429
4848,279.0,1857
2491,278.9,1196
6590,278.7,7890
7685,278.3,2724
9731,278.0,2299
2173,278.0,583
7809,276.4,1538
3497,274.4,797
3830,274.2,1486
6254,274.0,9280
7388,273.6,4195
4880,271.9,1584
4442,270.7,750
3939,269.4,433
2410,268.1,1833
7944,267.1,4715
2195,266.3,630
7079,265.3,4835
2309,265.2,2643
2222,264.7,2377
5527,264.6,1251
4481,263.8,3885
6196,263.4,3670
7839,263.1,1934
4519,262.9,4743
3607,262.8,407
8111,262.5,11020
9744,262.2,2888.5
9259,262.1,877
3179,262.0,1202
3562,260.9,915
4331,260.8,987
6050,260.6,1538
7373,258.6,1913
7133,258.2,1870
4347,258.2,1500
4251,257.1,1272
3901,256.9,2865
4398,255.8,1230
6081,255.7,370
4193,255.3,1850
4194,254.6,8130
2585,254.5,3845
3136,254.5,585
3093,253.3,1173
4932,251.2,1369
4482,251.2,594
2937,250.7,2713
4828,250.7,3815
1419,249.9,3685
3475,249.2,963
8732,248.8,282
7808,248.7,3015
2180,248.2,635
3902,247.6,688
3150,247.6,1984
5480,247.5,4105
5578,246.6,2235
3186,246.6,2266
3687,245.2,1189
6058,245.2,1097
4390,245.0,2209
4396,244.6,1936
7354,244.0,469
2471,243.2,380
3916,240.9,1633
7372,239.3,632
6131,239.3,1570
4800,237.9,768
6668,237.7,1519
4318,237.7,2140
3772,236.5,1206
7148,235.0,1472
6086,232.9,1535
3465,232.4,3615
9274,232.1,680
3467,231.9,1474
2760,231.9,4435
6099,231.7,934
3489,231.6,1352
2395,231.2,1588
3288,230.7,4585
3677,230.1,927
7126,229.1,1560
9160,229.0,330
7599,228.8,876
9697,228.0,5129
7386,227.9,4015
2170,227.2,491
3486,226.6,2487
9381,225.8,1638
9561,225.6,503
7014,225.2,1151
5571,224.8,983
6840,224.6,455
4770,224.3,294
7792,222.3,823
3983,221.5,2460
2163,221.1,1736
6089,221.1,1100
6336,220.9,715
9942,220.4,1047
4651,220.3,350
4334,220.1,885
8624,219.3,709
3187,218.4,777
7183,218.2,259
6565,218.0,2280
4641,217.8,2691
3635,217.6,1968
3843,217.4,1080
2326,216.5,4675
7686,216.4,1918
9418,215.7,3530
7228,215.6,3105
3135,214.5,1186
8032,214.5,4715
3558,214.4,1494
9216,214.1,2128
2317,214.1,263
4171,213.7,1492
7826,213.1,10250
3393,213.0,1353
6062,212.5,1179
9119,211.5,1122
2379,210.9,3045
7211,210.6,497.2
6080,210.2,2096
2767,210.1,1270
3300,209.6,724
2148,209.4,945
6777,209.4,2905
2372,209.3,1957
3276,209.1,1114
2736,208.3,1433
4445,207.7,2301
8893,207.4,602
4763,206.5,2029
3968,206.3,902
4100,206.3,1656
4447,206.1,589
2436,206.0,555
4722,206.0,1761
4389,205.5,1638
3132,205.4,6950
9556,205.3,4995
8929,205.0,1109
4979,205.0,1955
3004,204.0,1744
8903,203.6,1247
6028,203.4,3403
6088,202.6,1287
3978,201.2,685
3245,201.2,852
9110,200.9,4450
3763,200.9,1273
2307,200.9,1097
9386,200.9,1704
6327,200.4,878
2424,199.0,653
9214,198.8,2145
2749,198.7,379
6772,198.6,3145
6071,197.4,690
6941,196.5,1855
4261,194.8,1495
1429,194.5,919
7990,194.3,1942
7191,193.3,796
3964,193.0,1810
9326,192.8,545
6033,192.6,1250
9625,191.9,887
2389,191.7,1130
7735,191.7,9750
7518,191.2,2061
7974,191.0,6994
7330,190.8,1178
4433,190.7,1274
8699,190.7,1020
6635,188.5,477
4441,188.2,835
4021,188.1,5704
7638,187.1,1823
2708,187.1,2152
9759,186.8,2583
2157,186.8,1060
3626,186.7,3148
3695,186.7,2812
4933,186.5,2593
4372,185.6,1214
9757,185.1,2527
2150,185.0,757
4421,184.6,871
3912,183.7,712
8798,183.6,959
4063,183.0,4996
7849,182.7,2980
9115,182.3,649
3679,182.3,512
3371,182.0,1768
7085,181.9,657
3640,181.0,1501
2127,180.8,679.7
7807,180.7,1290
9558,180.7,2757
2726,180.4,2047
9531,180.3,3314
1514,180.1,628
3649,179.0,903
7610,178.9,138
3844,178.5,1974
5217,178.3,4170
2788,178.2,424
8154,178.0,6240
4771,178.0,1929
3963,177.8,712
9145,177.8,2626
7480,177.8,2197
8031,177.6,5715
3661,177.3,1126
2763,176.5,1230
9790,175.7,2600
6490,175.7,4405
3771,175.5,3210
2186,175.4,985
1878,175.3,15695
6199,175.2,1232
3998,175.1,554
6951,175.0,5724
3442,175.0,901
2975,174.9,599
1450,174.8,2067
6337,174.7,2355
4834,174.6,1631
3922,174.2,1666
7272,173.9,3764
8739,173.6,1443
6652,173.5,2853
4748,173.4,3565
1911,173.2,3708
1430,172.3,751
7131,172.3,1650
9164,172.2,652
5423,172.1,1793
6535,172.1,457
9888,171.9,1140
4495,171.5,1325
4429,171.3,1481
5071,171.1,900
3784,170.9,2015
8919,170.8,2199
4812,170.6,4850
7092,170.6,1110
3836,169.9,1456
8078,169.9,4375
3294,169.9,1472
6040,169.2,1004
9563,169.0,489
3933,168.7,582
4496,168.7,715
2146,168.4,2154
4507,168.1,7072
7039,167.9,1606
7879,167.8,1244
3675,167.8,568
6524,167.6,4830
9302,167.4,4640
6723,167.3,2336.5
3565,167.0,528
4356,167.0,1665
4832,167.0,3195
6626,166.7,1890
2384,166.7,2527
3969,166.5,1330
8001,166.1,6027
4345,166.1,667
2462,166.0,1410
5401,166.0,3200
6098,165.8,4675
7367,165.7,746
3040,165.3,1235
3804,165.3,1380
3445,165.0,2537
2354,164.8,779
6533,164.7,889
4323,164.6,2239
3798,164.4,4020
7818,164.4,2128
6632,164.2,659
7605,164.1,1744
7140,163.9,1192
4335,163.8,1011
7050,163.3,1655
7814,163.0,539
7609,162.9,2905
6866,162.6,6690
