Symbol,Sharpe
2216,2.071445992747762
AMR,1.9103306434252996
VIST,1.909375369579375
4334,1.8527898376288003
8002,1.819860585110407
2585,1.7375041573574264
6358,1.7337085035484854
PBT,1.704952913898026
7925,1.7010866575561787
9104,1.6941042922488874
9101,1.6712315110202534
8053,1.6627106746349667
4216,1.6625384118736415
8075,1.6566058730303723
8007,1.6562762619484281
2914,1.6515423831504379
UFPT,1.6465846614495427
8058,1.624258782556742
9908,1.6079972638917894
7130,1.5993775216386783
3132,1.5916559213440262
8031,1.5901106961028089
6819,1.587446036027285
6338,1.5625372249964689
4107,1.5402642845753087
3181,1.5400725157084938
9107,1.536941461215086
SMCI,1.5328713613055907
9769,1.5223377961533964
ELF,1.5214991536564604
2768,1.52121239440632
6368,1.5205095353038927
LLY,1.5164464190502216
AEHR,1.5149866857650105
MCK,1.5093778770694268
6490,1.5089833436862454
2780,1.5041918094356528
2986,1.5030956629686736
6430,1.5011931196036816
8890,1.4999686961157668
CEIX,1.4863520388622424
WFRD,1.4775505055617357
9888,1.4745853054990248
FLNG,1.463513056790371
DXLG,1.4634520050848443
SPLP,1.4559119994702034
2163,1.447627798197289
9268,1.4339635612501447
7480,1.4295456479455313
7537,1.4245683878701125
7525,1.4196344418303968
TH,1.4195652518698478
8098,1.4179913620331905
6249,1.4167790478232616
9986,1.407317268221043
1888,1.3989059547693228
7420,1.396033204905079
HDSN,1.395180721371094
6919,1.3937023079606008
4323,1.3934052847060432
2760,1.3893953085774138
3992,1.3839435367361634
LNTH,1.3820323048790077
9368,1.3777543139872148
6417,1.3680604069600812
5285,1.3652221723917901
NVO,1.3646440204300712
ACLS,1.363302061933154
5444,1.3430470504204293
5184,1.3416690860296887
7972,1.3407867424549278
9810,1.3303139366676568
6298,1.3236685228629825
8137,1.3218714396969309
7995,1.3209870846333756
KOF,1.3176512093179606
2726,1.3172324415594319
AMPH,1.3152232378594872
8914,1.3144911470988345
5195,1.3137421966838325
5310,1.3118672420599176
7849,1.3105620775292137
ALSA,1.3081638672672085
9216,1.3002691277205798
8159,1.2990954220432518
MVO,1.2947852890201725
8154,1.2940972500339085
MTR,1.2922105690774282
2395,1.2904267986817832
4046,1.2787682752880305
ARLP,1.273495284783852
BTU,1.2695201966663043
TGLS,1.269047665270599
NRP,1.2680220172021284
3924,1.267935808522476
6363,1.267865778762524
7425,1.2665848830933764
1828,1.2623938492274902
9303,1.2613283572854064
3093,1.2558959502091562
9696,1.2513113409565468
6772,1.250999763267134
7762,1.2496732643171455
5078,1.2460395886502644
HSY,1.2423889866916369
SBR,1.241217192792542
6333,1.2390664971754761
4828,1.2354028112106523
1775,1.2351365404615846
4966,1.2345518383547243
7809,1.2330226718031299
3321,1.2191603714316135
MUSA,1.2125471518887212
9029,1.211882943346962
DDS,1.207791075712985
5351,1.2061209292805446
LIBY,1.2045253967853615
PAM,1.194076379966016
YPF,1.1895585567955032
1968,1.18612503187667
RCMT,1.1833797259534364
7927,1.1828454926094638
YOTA,1.1824033095583384
9967,1.1817845720106188
5284,1.1802698667371465
CEPU,1.18015373811038
HNRG,1.175485438984186
8091,1.1738109163068782
9272,1.1724243487780428
1605,1.1710905969838945
7126,1.1700382908440827
7011,1.1697801752565749
8014,1.1682412025150777
NVDA,1.1670789201748097
1514,1.166161979816486
7751,1.1658644871597066
ORLY,1.1636161671480247
8893,1.1619295120619697
3431,1.1568317405028228
CAAP,1.1564435494707832
1662,1.1526891661749288
5076,1.1513684335279304
8141,1.151264892663961
SD,1.1500307105231227
7246,1.1491612196760856
MPC,1.1448419298442902
9432,1.1415341233891536
6061,1.1354776047953787
5352,1.1346304800130447
KBR,1.1345903208860457
6627,1.131652241088389
WINA,1.1309517268467852
8001,1.1295893714460246
2109,1.12261458311478
BLDR,1.1222136185808558
9827,1.121206351622355
9302,1.1195341175803877
NRT,1.11738324611556
AZO,1.1161623642101002
1518,1.1155452169557927
TGS,1.1151504904640621
6226,1.1124764323029486
1833,1.1119295313900768
8931,1.1112331868227114
BELFA,1.1103449072790859
6294,1.1046789551296685
6850,1.10322973406616
TOP,1.102007472118497
FIX,1.1009020176599122
9889,1.100859185905072
STRL,1.0986017950990137
JBL,1.097416200223244
2715,1.0948413106712376
ACGL,1.0908138527442348
9381,1.0907004186997356
5185,1.0902003491316516
9628,1.0896937816614614
9503,1.0896175205147183
5941,1.0891030608290067
7609,1.0885095586553697
OBE,1.0874647627316694
VOC,1.0872565244922567
TRGP,1.0841554001533205
CHRD,1.0831463035476334
ERF,1.082619209870649
6707,1.0819707234252496
PWR,1.0791433999795248
7472,1.0729211178911227
BTE,1.0727325008850137
8793,1.0726950253174417
9824,1.0719436969283471
XOM,1.0702034577275303
DMLP,1.0695916197721804
SJT,1.0690189957629184
SBOW,1.0667479486759937
7740,1.0662855509334326
6652,1.065153380241062
ENLC,1.0646082537585726
5408,1.0639282586076344
EXTR,1.0636156652078632
CRT,1.0594802690097225
5401,1.0583371826268786
VRTV,1.0570540760819986
2813,1.0554081702237945
TRMD,1.054761480292312
CPRX,1.0530878904541332
GCBC,1.0494614781980192
GLOP,1.0455928504882108
UONEK,1.0444308021215425
SUN,1.043984525100388
BWMN,1.0430118681333527
RRC,1.0426358891931748
IMO,1.0400282015698756
5406,1.0386591866233241
1890,1.0386266703352722
4979,1.0377190968713332
PLPC,1.0376108408833253
9837,1.035469645808194
BELFB,1.034347746716799
AJG,1.033618887699775
6565,1.0331038428118637
ORCL,1.032060569406763
1939,1.0320464886183338
GWW,1.030844186344894
4362,1.0296859697322145
7283,1.0291751855316467
LNG,1.0291719478640446
2195,1.0279297025417051
6498,1.0276054322724388
PBR,1.026834343740453
6632,1.024654626901299
6866,1.0242552054710015
3597,1.0237870886412748
5101,1.0228773981744195
4709,1.0206929466844723
6454,1.0196547652965027
RELL,1.0196034788298094
EPM,1.016735898285716
ASCB,1.016007291934936
6357,1.0154686108445863
WIRE,1.0153958657994417
BHRB,1.0151302254509489
6804,1.0131456742945244
4718,1.0128686984600617
6460,1.0104183984783492
6257,1.0101968207458
BSM,1.0096647710648323
VAL,1.0094222318408963
3526,1.0075814473800093
9066,1.0066071473725886
6723,1.0053365055999586
9534,1.0050233759690335
9110,1.0040517755156275
ESQ,1.0033952614134751
8130,1.002659544052706
7715,1.0001655285469968
