Symbol,Sharpe,Sortino
WEL,2.43,5.62
LATG,2.28,5.01
PWUP,1.98,4.37
NCAC,1.79,9.01
NVO,1.79,3.82
DPCS,1.76,5.88
TRGP,1.53,3.03
HDSN,1.39,3.71
XOM,1.39,3.42
CBZ,1.26,3.68
OMAB,1.22,2.93
LLY,1.19,2.2
MRK,1.18,2.37
VMCA,1.15,2.14
GGAA,1.14,1.77
ARTNA,1.07,1.68
PNTM,1.06,1.76
PAC,1.05,2.12
DEN,1.05,2.01
PAGP,1.04,1.87
IMKTA,1.03,2.15
LEGN,1.02,2.7
MCD,1.0,2.27
RELL,1.0,2.14
RMBS,0.98,1.78
CPSS,0.96,1.77
RELX,0.95,1.65
UNH,0.91,2.14
VHAQ,0.91,1.31
CCAI,0.89,2.09
APLD,0.85,1.63
TTE,0.84,1.77
KOS,0.82,1.47
NVDA,0.81,1.39
GFI,0.79,1.55
ACAX,0.78,1.52
FLO,0.77,1.52
WMK,0.76,1.58
CTAS,0.76,1.47
JUGG,0.75,1.14
PG,0.71,1.36
NE,0.71,1.24
BRK.A,0.71,1.17
CSPI,0.69,1.48
BRK.B,0.69,1.12
HIG,0.68,1.55
QRHC,0.67,1.5
SFL,0.64,1.14
AAPL,0.64,1.09
IBN,0.64,1.09
NSIT,0.64,1.02
ASRT,0.63,1.21
FRPH,0.61,1.11
INSE,0.61,1.02
MSFT,0.6,1.05
ORGN,0.58,7.95
XPEL,0.58,1.02
FCNCA,0.54,1.16
PTGX,0.54,0.84
CWBC,0.53,1.1
KRTX,0.52,1.68
ASIX,0.52,0.86
SQM,0.51,0.94
AIR,0.51,0.9
PRPC,0.51,0.73
SNY,0.5,0.77
NRSN,0.49,1.06
HWBK,0.49,0.76
TPL,0.48,1.03
SOVO,0.46,0.89
WMT,0.44,0.65
FWRD,0.43,0.9
RAVE,0.42,0.85
UEC,0.42,0.79
CCS,0.41,0.62
CNX,0.4,0.63
SBEV,0.39,1.35
MEDP,0.38,0.66
GMAB,0.38,0.62
BPRN,0.37,0.59
HHGC,0.36,0.48
SEE,0.35,0.52
CNDA,0.35,0.49
TIO,0.34,0.79
HLT,0.34,0.52
FMIV,0.33,0.55
CHKP,0.32,0.6
LSTR,0.32,0.53
F,0.32,0.52
GAQ,0.32,0.5
GVA,0.3,0.55
ABG,0.3,0.51
XAIR,0.3,0.51
SGII,0.3,0.41
RXST,0.29,0.52
CSTM,0.29,0.42
LOPE,0.28,0.47
KBH,0.28,0.42
TYRA,0.27,0.42
SSBI,0.26,0.52
FOCS,0.26,0.42
V,0.25,0.42
OSW,0.25,0.36
SPFI,0.24,0.37
EBF,0.23,0.41
ESSA,0.23,0.31
JNJ,0.22,0.34
SKYH,0.21,0.42
MA,0.21,0.34
RPM,0.2,0.33
VIRI,0.2,0.33
CYH,0.19,0.3
GOOG,0.19,0.28
GOOGL,0.19,0.27
