Symbol,SimilarCompany1,SimilarCompany2,SimilarCompany3
7203,7267,7201,7261
6861,6954,6301,6305
6758,6752,6753,6952
9432,9433,9434,9984
8306,8316,8411,8309
9983,3382,7532,9843
8058,8031,8001,8053
8035,6857,7735,7731
4063,4452,3436,3407
9433,9984,9434,9432
4661,9766,7974,7832
9984,9433,9434,9432
8316,8306,8411,8309
6367,6305,6301,6954
6501,6503,6702,6701
8001,8031,8053,8058
8031,8058,8001,8053
4568,4519,4536,4523
6098,4324,2433,4689
7974,9766,9684,9697
9434,9433,9432,4689
7267,7201,7261,7203
6902,7259,6201,5108
4502,4519,4536,4503
4519,4536,4502,4523
8766,8750,8725,8591
7741,7731,7752,4902
8411,8306,8316,8309
2914,2503,2502,2587
6981,6594,6770,6976
3382,2651,9983,8267
6273,6305,6301,6954
6723,6503,6501,6702
6954,6301,6305,6481
6594,6971,6981,6762
6503,6501,6702,8035
7182,6178,7181,8306
6857,8035,7735,4902
5108,6902,5110,7259
8002,8053,8001,8031
6752,6758,6753,6740
7751,4902,7731,7752
4503,4519,4536,4502
8053,8002,8001,8031
6301,6305,6954,6481
6702,6701,6503,6501
6178,7181,7182,8306
9022,9020,9021,9201
4543,6869,7733,2413
8113,4911,4452,2587
6201,6902,7259,7276
4689,4755,4324,2371
8591,8750,8795,8697
9020,9021,9022,9201
2802,2503,2587,2502
7733,6869,4543,7747
4578,4519,4536,4523
5401,5411,5406,5444
4612,4202,4182,4091
6971,6594,6762,6981
2502,2503,2587,2801
9613,4307,4768,9719
8750,8725,8630,8795
8801,8802,8830,3289
7269,7267,7261,7201
6146,8035,6857,6471
4911,8113,4452,4922
4523,4519,4536,4568
8015,8002,8053,8001
8725,8750,8630,8795
4452,8113,4911,2503
4901,4902,7752,7731
8267,2651,3382,9983
6326,6301,6305,6481
3659,9766,7974,7832
1925,1928,5938,8802
4307,4768,9613,9719
1605,9503,5020,9513
7309,6367,7936,9201
2413,3360,9987,4543
8802,8801,8830,1925
7201,7267,7261,7203
8630,8725,8750,8795
7832,9766,9684,9697
7011,7012,7013,6302
4684,4768,9719,4739
6762,6594,6976,6971
9735,2331,9783,9987
9843,9983,7532,3382
6502,6503,6501,6702
6869,4543,7733,6849
6920,6890,6055,6789
7270,7267,7201,7261
8309,8306,8308,8411
1928,1925,8802,5938
6701,6702,6503,6501
4507,4536,4568,4528
9101,9104,9107,9064
8830,8801,8802,3289
2503,2587,2502,2875
8308,8309,8306,8411
6645,6586,6471,6506
8604,8601,8591,8750
7532,9983,3382,2651
6506,6471,6481,6954
9202,9201,9064,9021
2587,2503,2502,2875
2801,2503,2875,2502
9503,9502,9513,9531
6988,4185,3402,6806
4151,4536,4519,4568
5020,9503,9502,9531
9021,9020,9201,9202
2267,2503,2875,2587
9143,9042,9041,9007
6963,6806,6762,6971
9531,9503,9502,9532
3407,4188,6988,4005
7202,7267,7261,7205
5713,5714,5401,5802
7272,7267,7261,7269
5802,5714,5801,5713
9201,9202,9064,9021
4716,4704,4768,9719
4091,4202,4182,4613
9104,9101,9107,9064
7701,6856,6645,7733
8593,8572,8570,8253
4528,4536,4568,4519
3402,4063,4185,3401
9502,9503,9513,9531
8697,8601,6376,8591
4755,4689,2371,4324
7259,6902,6201,5108
9697,9766,9684,7974
4188,3407,6988,4005
8795,7181,8750,8630
4062,6971,6594,6981
2897,2503,2801,2875
5411,5401,5406,5444
4324,2433,6098,9433
6383,9699,6282,6278
5201,5214,5233,3863
4768,4307,9613,9719
9042,9021,9022,9020
6586,6305,6954,6273
6965,7747,6849,7775
3088,9989,3349,9831
6479,6594,6806,6770
1812,1802,1803,1801
9005,9064,9202,9021
7550,3085,9942,9989
9602,9404,2433,4676
9766,7974,9684,9697
7912,7911,7936,7951
8601,8604,8591,8795
1878,5938,1928,1925
9009,9001,9064,9202
2269,2503,2801,2502
9064,9202,9201,9005
4704,4768,9719,4739
7911,7912,7966,7956
9435,9433,6376,9984
3003,8802,8804,1928
1801,1803,1802,1812
9532,9503,9502,9531
7951,9433,4768,7731
1802,1812,1803,1801
3064,2678,2337,4633
5019,5011,5020,5021
9041,9007,9042,9064
4021,4091,4185,4183
9107,9104,9101,9064
4204,4202,4185,4183
3769,3632,3633,3628
3092,3086,2651,9843
6504,6503,6501,6702
6532,4792,2412,4781
4185,4927,3436,4063
3626,9719,4768,4307
3038,8283,2768,3140
6305,6301,6954,6481
7181,6178,7182,8750
4739,2327,4768,4307
