,Symbol,USSymbol
0,7203,TM
1,6758,SONY
2,9432,NTTYY
3,8306,MUFG
4,9984,SFTBY
5,9433,KDDIY
6,9983,FRCOY
7,4568,DSNKY
8,8316,SMFG
9,4063,SHECY
10,4502,TAK
11,8035,TOELY
12,7974,NTDOY
13,4661,OLCLY
14,8058,MSBHY
15,6501,HTHIY
16,6367,DKILY
17,8001,ITOCY
18,8031,MITSY
19,8766,TKOMY
20,4519,CHGCY
21,7267,HMC
22,6902,DNZOY
23,3382,SVNDY
24,8411,MFG
25,2914,JAPAY
26,7741,HOCPY
27,6981,MRAAY
28,6594,NJDCY
29,6954,FANUY
30,6273,SMCAY
31,4503,ALPMY
32,6702,FJTSY
33,5108,BRDCY
34,9022,CJPRY
35,7733,OCPNY
36,7751,CAJ
37,8113,UNICY
38,6503,MIELY
39,9020,EJPRY
40,4543,TRUMY
41,8053,SSUMY
42,6301,KMTUY
43,4901,FUJIY
44,4911,SSDOY
45,9613,NTDTY
46,6752,PCRFY
47,8002,MARUY
48,4689,YAHOY
49,8591,IX
50,4452,KAOOY
51,6971,KYOCY
52,4523,ESALY
53,8267,AONNY
54,6201,TYIDY
55,8801,MTSFY
56,4578,OTSKY
57,6326,KUBTY
58,6723,RNECY
59,8802,MITEY
60,7269,SZKMY
61,2802,AJINY
62,8725,MSADY
63,6502,TOSYY
64,1925,DWAHY
65,4507,SGIOY
66,7309,SMNNY
67,4307,NRILY
68,1605,IPXHY
69,8309,SUTNY
70,7201,NSANY
71,6762,TTDKY
72,9735,SOMLY
73,6869,SSMXY
74,2503,KNBWY
75,6857,ATEYY
76,7270,FUJHY
77,1928,SKHSY
78,9101,NPNYY
79,8604,NMR
80,4528,OPHLY
81,7532,DQJCY
82,6146,DSCSY
83,5020,JXHLY
84,2587,STBFY
85,9021,WJRYY
86,2267,YKLTY
87,6645,OMRNY
88,9202,ALNPY
89,5713,SMMYY
90,3407,AHKSY
91,2801,KIKOY
92,7202,ISUZY
93,3402,TRYIY
94,9201,JAPSY
95,5802,SMTOY
96,9104,MSLOY
97,6988,NDEKY
98,9503,KAEPY
99,6506,YASKY
100,8795,TDHOY
101,9531,TKGSY
102,4324,DNTUY
103,5201,ASGLY
104,3064,MONOY
105,4755,RKUNY
106,6965,HPHTY
107,9005,TOKUY
108,4188,MTLHY
109,8697,JPXGY
110,7259,ASEKY
111,6963,ROHCY
112,2269,MEJHY
113,8593,MIUFY
114,1878,DIFTY
115,5019,IDKOY
116,8601,DSEEY
117,9697,CCOEY
118,9532,OSGSY
119,4704,TMICY
120,6586,MKTAY
121,4922,KSRYY
122,6479,MNBEY
123,7951,YAMCY
124,1801,TISCY
125,4021,NNCHY
126,4204,SKSUY
127,5332,TOTDY
128,4005,SOMMY
129,9107,KAIKY
130,9064,YATRY
131,1812,KAJMY
132,6504,FELTY
133,9501,TKECY
134,8331,CHBAY
135,4739,ITTOY
136,7912,DNPLY
137,6724,SEKEY
138,7276,KOTMY
139,6753,SHCAY
140,3436,SUOPY
141,7261,MZDAY
142,7911,TOPPY
143,6305,HTCMY
144,9706,JTTRY
145,5938,JSGRY
146,4751,CYGIY
147,7752,RICOY
148,4183,MITUY
149,8354,FKKFY
150,4185,JSCPY
151,6841,YOKEY
152,7013,IHICY
153,7936,ASCCY
154,3861,OJIPY
155,6976,TYOYY
156,6448,BRTHY
157,2875,TSUKY
158,2433,HKUOY
159,1803,SHMUY
160,4732,USSJY
161,5334,NGKSY
162,7012,KWHIY
163,8572,ACMUY
164,4516,NPPNY
165,3289,TKFOY
166,8303,SKLKY
167,6361,EBCOY
168,3774,IIJIY
169,8252,MAURY
170,6460,SGAMY
171,7731,NINOY
172,7453,RYKKY
173,1963,JGCCY
174,4536,SNPHY
175,2282,NIPMY
176,4666,PKCOY
177,9513,EDRWY
178,2871,NCHEY
179,6471,NPSKY
180,7459,MAHLY
181,3405,KURRY
182,9508,KYSEY
183,9506,TEPCY
184,2809,KWPCY
185,5101,YORUY
186,2212,YMZBY
187,6302,SOHVY
188,6473,JTEKY
189,6952,CSIOY
190,7988,NIFCY
191,6481,THKLY
192,8410,SVNBY
193,8304,AOZOY
194,7205,HINOY
195,8359,HACBY
196,6849,NHNKY
197,5406,KBSTY
198,4902,KNCAY
199,6770,APELY
200,7956,PGENY
201,9504,CGKEY
202,2579,CCOJY
203,3401,TINLY
204,5233,THYCY
205,6406,FJTCY
206,4676,FJTNY
207,6592,MBUMY
208,6141,MRSKY
209,4114,NPSHY
210,8628,MAUSY
211,4272,NPKYY
212,9783,BSEFY
213,5631,JPSWY
214,4208,UBEOY
215,8515,AIFLY
216,5706,MMSMY
217,5801,FUWAY
218,7762,CHCLY
219,1332,NISUY
220,3105,NSHBY
221,9412,SKPJY
222,3591,WACLY
223,4043,TKYMY
224,6457,GLYYY
225,8698,MNXBY
226,4848,FULCY
227,6366,CHYCY
228,7485,[]
229,6727,WACMY
230,8616,TOKTY
231,3101,TYOBY
232,8358,SUGBY
233,2928,[]
234,4293,SPIDY
235,9997,BLUNY
236,6703,OKIEY
237,5202,NPSGY
238,6632,JVCZY
239,6118,ADERY
240,5208,ASWAY
241,7779,CYBQY
242,9357,[]
243,2158,FTEO
244,7003,MIESY
245,6623,[]
246,1869,[]
247,9035,[]
248,2902,[]
249,9942,[]
250,4582,SYMQY
251,8228,[]
252,2193,CKPDY
253,3830,[]
254,9027,[]
255,6440,JUKIY
256,9359,[]
257,6076,[]
258,7675,[]
259,9402,[]
260,1832,[]
261,3055,[]
262,8190,[]
263,9407,[]
264,3504,[]
265,7441,[]
266,7488,[]
267,6797,[]
268,7533,[]
269,9664,[]
270,8398,[]
271,9085,[]
272,2551,[]
273,9471,[]
274,1892,[]
275,3053,KPFS
276,3057,[]
277,5993,[]
278,2919,[]
279,8071,[]
280,1777,[]
281,8540,[]
282,5607,[]
283,7227,[]
284,8560,[]
285,6111,[]
286,3066,[]
287,5979,[]
288,3952,[]
289,8554,[]
290,9643,[]
291,7950,[]
292,5356,[]
293,6295,[]
294,6142,[]
295,6596,[]
296,9223,[]
297,2218,[]
298,8145,[]
299,3739,[]
300,2058,[]
301,7076,[]
302,5343,[]
303,8559,[]
304,8594,[]
305,7782,TGOSY
306,2974,[]
307,6655,[]
308,2467,[]
309,1771,[]
310,7894,[]
311,3775,[]
312,9040,[]
313,7870,[]
314,4827,[]
315,3419,[]
316,1738,[]
317,5342,[]
318,4018,[]
319,2137,[]
320,1999,[]
321,5953,[]
322,3346,[]
323,3849,[]
324,6025,[]
325,3260,[]
326,5075,[]
327,4834,[]
328,4995,[]
329,3808,[]
330,6439,[]
331,6846,[]
332,3442,[]
333,3032,[]
334,3384,[]
335,3977,[]
336,2976,[]
337,1734,[]
338,1449,[]
339,3047,[]
340,3136,[]
341,2172,[]
342,3824,[]
343,4250,[]
344,7176,[]
345,9635,[]
346,8630,SMPNY
