,Symbol
0,8157
1,2462
2,3496
3,4235
4,3148
5,3228
6,6814
7,4116
8,8282
9,3657
10,6436
11,9605
12,1786
13,8174
14,5463
15,6297
16,6464
17,1942
18,8151
19,6134
20,9746
21,5999
22,6925
23,4540
24,9441
25,7480
26,5471
27,2305
28,5991
29,1938
30,5184
31,4208
32,3360
33,8877
34,1945
35,9994
36,7897
37,5208
38,8137
39,6951
40,1518
41,7031
42,2408
43,6417
44,2127
45,6028
46,9364
47,8056
48,6856
49,7240
50,1401
51,4202
52,5076
53,8233
54,5301
55,9610
56,5110
57,5936
58,4186
59,3280
60,1721
61,8226
62,7516
63,8093
64,5192
65,7475
66,4634
67,9765
68,1712
69,6013
70,4229
71,6294
72,6664
73,8999
74,1376
75,6138
76,9509
77,5232
78,8155
79,9414
80,9832
81,6048
82,1810
83,1407
84,7242
85,4299
86,7906
87,7914
88,6104
89,3877
90,4694
91,2307
92,1419
93,1873
94,3139
95,6080
96,7455
97,6932
98,2599
99,7133
100,4251
101,8622
102,1981
103,3191
104,9537
105,4966
106,3569
107,6848
108,4674
109,6817
110,8801
111,4097
112,6905
113,6201
114,6517
115,8591
116,9740
117,9385
118,7840
119,2737
120,6971
121,8132
122,3187
123,6335
124,3770
125,6363
126,7844
127,6151
128,2475
129,9726
130,9022
131,7908
132,7729
133,6804
134,4333
135,5714
136,4118
137,6490
138,9987
139,6474
140,7716
141,4194
142,5344
143,8041
144,6366
145,7224
146,3107
147,8097
148,8074
149,6323
150,8276
151,9993
152,6498
153,5388
154,7864
155,6652
156,6167
157,1926
158,1959
159,9065
160,4203
161,8012
162,6412
163,6262
164,5105
165,1949
166,9986
167,8595
168,7865
169,6569
170,8918
171,8940
172,3649
173,9644
174,8275
175,7885
176,8917
177,6901
178,8904
179,3501
180,6785
181,9273
182,6809
183,9632
184,6346
185,9324
186,4441
187,8103
188,3297
189,6286
190,9768
191,9360
192,8007
193,6858
194,6445
195,6171
196,3299
197,3059
198,4390
199,2780
200,1724
201,6062
202,9342
203,7972
204,6718
205,3333
206,2288
207,6364
208,6565
209,7537
210,3093
211,4222
212,7362
213,4318
214,7504
215,9534
216,4735
217,3817
218,5074
219,3105
220,4393
221,7735
222,4183
223,7727
224,2986
225,3861
226,9072
227,6706
228,6960
229,6724
230,5801
231,2659
232,7211
233,4082
234,3804
235,9717
236,9934
237,3591
238,9107
239,7050
240,3291
241,7619
242,6995
243,4005
244,4826
245,3891
246,9788
247,7752
248,6938
249,6638
250,6806
251,3172
252,9719
253,4286
254,8101
255,3050
256,3040
257,5706
258,5986
259,6368
260,2270
261,4531
262,9275
263,3937
264,6748
265,4410
266,2607
267,6203
268,6199
269,5393
270,5036
271,1979
272,1941
273,1980
274,8928
275,7250
276,4348
277,3232
278,6888
279,6135
280,7287
281,9386
282,9600
283,4246
284,4327
285,6914
286,9869
287,5202
288,9769
289,7740
290,2685
291,2795
292,1982
293,6458
294,7033
295,6393
296,6287
297,7944
298,5741
299,3421
300,6986
301,1720
302,4423
303,5187
304,9628
305,9536
306,8566
307,7818
308,2384
309,8617
310,5805
311,5702
312,8892
313,6622
314,5902
315,3465
316,7602
317,3593
318,2753
319,4534
320,2933
321,6907
322,6619
323,7937
324,9068
325,7105
326,1821
327,5011
328,6269
329,9974
330,6340
331,7222
332,6278
333,4099
334,4095
335,9872
336,4615
337,4526
338,4762
339,6371
340,7981
341,4068
342,5602
343,7513
344,3480
345,9274
346,6820
347,6293
348,7552
349,4063
350,4396
351,6763
352,4091
353,6850
354,5949
355,7238
356,6140
357,6358
358,9531
359,8089
360,5302
361,7202
362,8593
363,6277
364,1882
365,5802
366,3407
367,1878
368,6198
369,6218
370,3793
371,9143
372,4528
373,4997
374,6430
375,3922
376,5020
377,7749
378,4324
379,9433
380,3302
381,4716
382,9502
383,8058
384,7990
385,1929
386,2664
387,9503
388,7979
389,4028
390,6249
391,2792
392,2198
393,5461
394,4109
395,5851
396,3991
397,3540
398,6463
399,9101
400,7003
401,7494
402,9216
403,7649
404,9837
405,4975
406,3242
407,4553
408,6927
409,6306
410,2327
411,2461
412,8804
413,7420
414,5018
415,9450
416,9401
417,8051
418,9025
419,2148
420,4902
421,6997
422,3738
423,3969
424,1944
425,6362
426,2669
427,7821
428,1835
429,8070
430,5021
431,2927
432,9535
433,9369
434,7607
435,6670
436,4323
437,7988
438,7976
439,3924
440,2207
441,9699
442,7823
443,8088
444,5929
445,4046
446,4471
447,3434
448,4992
449,6302
450,9039
451,9831
452,9301
453,6752
454,8053
455,4114
456,4061
457,6702
458,6103
459,8002
460,7984
461,6301
462,4631
463,5108
464,1662
465,4918
466,7313
467,8273
468,1860
469,6503
470,5214
471,7615
472,2379
473,2206
474,7751
475,2914
476,6592
477,3159
478,7278
479,4569
480,5269
481,9058
482,6908
483,6222
484,2935
485,6315
486,2874
487,6351
488,6183
489,3361
490,2163
491,9511
492,4249
493,2497
494,6875
495,7545
496,4481
497,3901
498,6101
499,2763
500,8050
501,6897
502,6381
503,6420
504,1766
505,2211
506,6235
507,3087
508,8935
509,6200
510,6877
511,5703
512,2112
513,2053
514,6061
515,6678
516,9037
517,4668
518,9956
519,2613
520,3166
521,5310
522,2195
523,4951
524,8934
525,6737
526,6250
527,2146
528,3542
529,9408
530,3275
531,7872
532,4414
533,9633
534,6292
535,3246
536,3277
537,3205
538,1867
539,1783
540,9380
541,4395
542,1848
543,9322
544,9563
545,1930
546,7989
547,6316
548,2812
549,5946
550,8214
551,6247
552,6929
553,6640
554,7483
555,8945
556,9110
557,8016
558,8923
559,4633
560,7214
561,7130
562,7245
563,5440
564,7739
565,2294
566,9960
567,7744
568,1954
569,6789
570,7370
571,5191
572,8871
573,6962
574,2733
575,3150
576,4956
577,6632
578,4221
579,3950
580,6704
581,6757
582,1968
583,6059
584,4008
585,6379
586,4934
587,9066
588,2326
589,6803
590,3034
591,3612
592,2788
593,5195
594,6853
595,7893
596,6309
597,7246
598,7482
599,4290
600,8841
601,9218
602,6524
603,4212
604,2180
605,2391
606,8131
607,1951
608,3401
609,7261
610,8279
611,9684
612,2670
613,4686
614,6305
615,2579
616,7518
617,6532
618,5233
619,2282
620,9147
621,9533
622,5019
623,3436
624,4401
625,8876
626,6504
627,8253
628,9435
629,7762
630,7942
631,7846
632,3004
633,8098
634,7419
635,8077
636,9622
637,9835
638,4680
639,3784
640,9692
641,8242
642,2335
643,7605
644,6432
645,7463
646,3933
647,7679
648,8129
649,9303
650,4641
651,3186
652,9761
653,8173
654,1719
655,8068
656,3765
657,9475
658,3834
659,3173
660,8057
661,7820
662,8025
