,Symbol,Length
0,AAPL,390
1,MSFT,390
2,GOOGL,390
3,GOOG,390
4,AMZN,390
5,NVDA,390
6,TSLA,390
7,META,390
8,XOM,390
9,UNH,390
10,JNJ,390
11,MRK,390
12,KO,390
13,PEP,390
14,DIS,390
15,PM,390
16,NEE,390
17,BMY,390
18,AMD,390
19,NFLX,390
20,QCOM,390
21,T,390
22,AXP,390
23,CAT,390
25,BA,390
26,INTC,390
27,GE,390
28,MDLZ,390
29,PYPL,390
30,PGR,390
31,TGT,390
32,ETN,390
33,UBER,390
34,WM,390
35,ATVI,390
36,CSX,390
37,CL,390
38,BNS,390
39,STLA,390
40,SHOP,390
41,OXY,390
42,CDNS,390
43,MNST,390
44,MRNA,390
46,F,390
47,MCHP,390
48,SNOW,390
49,LVS,390
50,ET,390
51,COF,390
52,GFS,390
53,CVE,390
54,YUM,390
55,DVN,390
56,CRWD,390
57,ACGL,390
58,STLD,390
59,AEE,390
60,NTRS,390
61,UAL,390
62,PINS,390
63,PLTR,390
64,TER,390
65,CPB,390
66,LCID,390
67,MDB,390
68,ETSY,390
69,RIVN,390
70,COIN,390
71,DOCU,390
72,CCL,390
73,TTC,390
74,TAP,390
75,UHAL,390
76,CLF,390
77,EQH,390
78,AAL,390
79,AGCO,390
80,XM,390
81,OVV,390
82,EWBC,390
83,MTN,390
84,RNR,390
85,ALGM,390
87,ROKU,390
88,DKNG,390
89,HOOD,390
90,CIEN,390
91,HAS,390
93,LEVI,390
94,BYD,390
95,RRC,390
96,SIVB,390
97,MAT,390
98,ALK,390
99,GWRE,390
100,HTZ,390
101,HCP,390
102,SOFI,390
103,SMAR,390
104,COHR,390
105,GME,390
106,RIG,390
107,FNB,390
108,SSD,390
109,PTON,390
110,LEG,390
111,SMG,390
112,GPS,390
113,ITCI,390
114,HP,390
115,EVH,390
116,LITE,390
117,STNG,390
118,SGML,390
121,AFRM,390
122,RUSHA,390
123,VIRT,390
126,DSEY,390
127,PD,390
128,RVNC,390
131,AI,390
132,JOE,390
134,EXTR,390
135,IDCC,390
136,VET,390
137,CHGG,390
138,HIMS,390
139,CARG,390
140,NAPA,390
141,COUR,390
142,TASK,390
143,EYE,390
144,CRSR,390
145,CPRX,390
146,CNK,390
148,NRDS,390
149,SEAT,390
150,WRBY,390
151,UPST,390
152,ASTS,390
153,MGNI,390
154,MAXN,390
155,RCUS,390
156,PTGX,390
157,HNI,390
158,FREY,390
159,TITN,390
161,DLX,390
162,RDFN,390
163,GIII,390
164,VTNR,390
166,EXFY,390
167,VITL,390
168,SKYT,390
169,CDNA,390
170,KBAL,390
172,ANGO,390
173,LQDA,390
175,FF,390
176,PETS,390
177,CARA,390
179,HRZN,390
180,ASRT,390
181,GNE,390
182,JAKK,390
183,CVX,389
184,HD,389
185,ABBV,389
186,PFE,389
187,COST,389
188,CRM,389
189,GS,389
190,IBM,389
191,MU,389
192,HLT,389
193,XEL,389
194,ON,389
195,MRVL,389
196,KR,389
197,HAL,389
198,ENPH,389
199,OKE,389
200,GOLD,389
201,RBLX,389
202,FSLR,389
203,CTRA,389
204,SWKS,389
205,IOT,389
206,CASY,389
207,PLUG,389
208,GPK,389
209,SWAV,389
210,X,389
211,M,389
212,NVEI,389
213,INMD,389
214,BEAM,389
215,BOOT,389
216,ARHS,389
217,PSFE,389
218,PLAB,389
219,COCO,389
220,TNP,389
221,ETNB,389
222,EBS,389
223,AMPY,389
224,ICVX,389
225,WMT,388
226,BAC,388
227,ABT,388
228,COP,388
229,SBUX,388
230,GD,388
231,VLO,388
232,PSX,388
233,NXPI,388
234,MBLY,388
235,APTV,388
236,DAL,388
237,RF,388
238,SNAP,388
239,MGM,388
240,ZS,388
241,BJ,388
242,GTLB,388
243,APP,388
244,RUM,388
245,CHPT,388
246,SAVE,388
247,YEXT,388
248,PLL,388
249,SAVA,388
250,OBE,388
251,INSE,388
252,HDSN,388
253,SCHW,387
254,MDT,387
255,CVS,387
256,MMM,387
257,PANW,387
258,LEN,387
259,ULTA,387
260,DDOG,387
261,MKC,387
262,MNDY,387
263,DXC,387
264,HRB,387
265,LAZR,387
266,DOCN,387
267,KOS,387
268,LYFT,387
269,ZIM,387
270,MYRG,387
271,ESTE,387
272,FSLY,387
273,AUPH,387
274,MIRM,387
275,V,386
276,JPM,386
277,ORCL,386
278,WFC,386
279,VZ,386
280,C,386
281,SLB,386
282,CNQ,386
283,MPC,386
284,ADM,386
285,NUE,386
286,MPLX,386
287,CF,386
288,DAR,386
289,NCLH,386
290,SMCI,386
291,CPG,386
292,BTU,386
293,BOWL,386
294,SIX,386
295,NVAX,386
296,MUX,386
297,DE,385
298,PXD,385
299,SQ,385
300,DHI,385
301,ALB,385
302,MTB,385
303,RCL,385
304,AES,385
305,SWK,385
306,PEN,385
307,SBNY,385
308,FRO,385
309,BHC,385
310,SAGE,385
311,EWCZ,385
312,AEHR,385
313,XMTR,385
314,BIVI,385
315,AMAT,384
316,CB,384
317,ABNB,384
318,UBS,384
319,EXC,384
320,CMI,384
321,FE,384
322,TECK,384
323,FRC,384
324,MMP,384
325,CHK,384
326,CMA,384
327,PATH,384
328,APAM,384
329,CEIX,384
330,VSTO,384
331,BYND,384
332,APPS,384
333,SSYS,384
334,VKTX,384
335,NX,384
336,PRVB,384
337,OPRX,384
338,MO,383
339,MELI,383
340,FCX,383
341,AEP,383
342,ODFL,383
343,RKT,383
344,AKAM,383
345,FHN,383
346,ASAN,383
347,IART,383
348,FIZZ,383
349,XPO,383
350,S,383
351,PLTK,383
352,CSIQ,383
353,UNFI,383
354,IMXI,383
355,DENN,383
356,BLNK,383
357,LOCO,383
358,LOVE,383
359,TSQ,383
360,PG,382
361,UPS,382
362,EMR,382
363,LULU,382
364,LNG,382
365,CBOE,382
366,APA,382
367,PAAS,382
368,QS,382
369,RETA,382
370,PAGS,382
371,PTEN,382
372,CALM,382
373,DHT,382
374,LXU,382
375,ACRS,382
376,ADI,381
377,LRCX,381
378,KMI,381
379,SPOT,381
380,MRO,381
381,TWLO,381
382,GIL,381
383,ESTC,381
384,EXEL,381
385,ASO,381
386,AMN,381
387,MEOH,381
388,DAN,381
389,FGEN,381
390,ARCO,381
391,ENVX,381
392,ICPT,381
393,BTAI,381
394,DLTH,381
395,CSCO,380
396,GILD,380
397,LHX,380
398,TTD,380
399,FANG,380
400,LUV,380
401,AVTR,380
402,ZG,380
403,MP,380
404,NEWR,380
405,THO,380
406,AYX,380
407,FLNC,380
408,ARRY,380
409,TWST,380
410,BBW,380
411,MA,379
412,CARR,379
413,EXPE,379
414,CHRW,379
415,WMS,379
416,TDOC,379
417,BOX,379
418,LBRT,379
419,CP,378
420,CINF,378
421,KEY,378
422,HII,378
423,APLS,378
424,WWE,378
425,TREX,378
426,CRK,378
427,INSW,378
428,TA,378
429,OSTK,378
430,MTW,378
431,MRNS,378
432,SYK,377
433,EL,377
434,FISV,377
435,ORLY,377
436,DTE,377
437,STX,377
438,U,377
439,CELH,377
440,BCC,377
441,MSTR,377
442,RAIN,377
443,PKE,377
444,NOC,376
445,LNC,376
446,SHLS,376
447,SPWR,376
448,FIGS,376
449,IDT,376
450,BAND,376
451,LLY,375
452,MCD,375
453,TD,375
454,PNC,375
455,MAR,375
456,GLW,375
457,WEN,375
458,AMLX,375
459,SLCA,375
460,BXC,375
461,BREZ,375
462,EPD,374
463,ANET,374
464,D,374
465,CAH,374
466,WYNN,374
467,CFLT,374
468,NSP,374
469,BE,374
470,JBLU,374
471,PACW,374
472,COHU,374
473,IRBT,374
474,DXCM,373
475,NTR,373
476,STZ,373
477,WBD,373
478,TSCO,373
479,EPAM,373
480,LOGI,373
481,AA,373
482,GLOB,373
483,BX,372
484,CQP,372
485,AER,372
486,OKTA,372
487,DKS,372
488,PHM,372
489,PHR,372
490,WDAY,371
491,BBWI,371
492,IVZ,371
493,TDC,371
494,SKY,371
495,MRTX,371
496,ZIP,371
497,ANIP,371
498,FLL,371
499,NKE,370
500,FAST,370
501,LDOS,370
502,CGNX,370
503,GBTG,370
504,UONE,370
505,TXN,369
506,HES,369
507,NDAQ,369
508,NET,369
509,DINO,369
510,CAR,369
511,NFE,369
512,NTRA,369
513,R,369
514,SONO,369
515,DK,369
516,TMUS,368
517,PRU,368
518,CAG,368
519,GLBE,368
520,NTLA,368
521,FSR,368
522,ZYME,368
523,MITK,368
524,BIG,368
525,RGLD,367
526,MUR,367
527,RXDX,367
528,WPM,366
529,DVA,366
530,ONON,366
531,ELF,366
532,AXSM,366
533,TNDM,366
534,HELE,366
535,CBRL,366
536,PERI,366
537,TSAT,366
538,INTU,365
539,VFC,365
540,BEPC,365
541,ACLS,365
542,GCO,365
543,CPS,365
544,NOW,364
545,KKR,364
546,NTAP,364
547,WTRG,364
548,NRG,364
549,NVT,364
550,FL,364
551,SAM,364
552,LTH,364
553,COOP,364
554,SBLK,364
555,BKE,364
556,SNPS,363
557,TRP,363
558,SQSP,363
559,AG,363
560,VTLE,363
561,IBKR,362
562,HOG,362
563,NTNX,362
564,OZK,362
565,KTB,362
566,USAC,362
567,GOGO,362
568,CVNA,362
569,DASH,361
570,CCJ,361
571,ALLY,361
572,PII,361
573,INTA,361
574,SYM,361
575,UNP,360
576,WBA,360
577,ZM,360
578,CTLT,360
579,RUN,360
580,BMBL,360
581,LAC,360
582,TSE,360
583,ZYXI,360
584,FDX,359
585,CHTR,359
586,STT,359
587,AEM,359
588,AXON,359
589,DGX,359
590,ALV,359
591,W,359
592,KSS,359
593,WOOF,359
594,BCRX,359
595,RXST,359
596,SWBI,359
597,ATNM,359
598,BEN,358
599,LSCC,358
600,TPX,358
601,CXM,358
602,HA,358
603,FNV,357
604,MOS,357
605,DPZ,357
606,BWXT,357
607,TRTN,357
608,JXN,357
609,CVI,357
610,ABM,357
611,SHAK,357
612,HPQ,356
613,CROX,356
614,PZZA,356
615,ARCH,356
616,JKHY,355
617,GL,355
618,TRMD,355
619,MATX,355
620,ADP,354
621,NVCR,354
622,CHRD,354
623,FOUR,354
624,SGH,354
625,MS,353
626,ADBE,353
627,BBY,353
628,LKQ,353
629,FLEX,353
630,SKX,353
631,AN,353
632,IGT,353
633,LPX,353
634,SHW,352
635,IR,352
636,PTVE,352
637,ROCC,352
638,GES,352
639,BK,351
640,FERG,350
641,HRL,350
642,WBS,350
643,UAA,350
644,NOVA,350
645,DCBO,350
646,CABA,350
