,Symbol
0,AAPL
1,MSFT
2,GOOG
3,GOOGL
4,AMZN
5,NVDA
6,TSLA
7,META
8,XOM
9,V
10,UNH
11,JNJ
12,JPM
13,PG
14,MA
15,LLY
16,CVX
17,HD
18,ABBV
19,ASML
20,BABA
21,AVGO
22,ORCL
23,BAC
24,COST
25,TMO
26,AZN
27,CSCO
28,MCD
29,CRM
30,TM
31,ACN
32,NKE
33,DIS
34,DHR
35,TMUS
36,LIN
37,ADBE
38,TXN
39,UPS
40,CMCSA
41,AMD
42,NFLX
43,NEE
44,MS
45,BMY
46,INTC
47,RY
48,AMGN
49,HON
50,LMT
51,INTU
52,DE
53,UNP
54,AXP
55,LOW
56,SBUX
57,IBM
58,CAT
59,ELV
60,TD
61,SPGI
62,GS
63,SYK
64,MDT
65,AMAT
66,BX
67,DEO
68,BKNG
69,BLK
70,ADI
71,CVS
72,PDD
73,MDLZ
74,SCHW
75,NOW
76,TJX
77,C
78,REGN
79,ADP
80,ISRG
81,EL
82,PYPL
83,MMC
84,CB
85,VRTX
86,CNI
87,CI
88,ZTS
89,ABNB
90,TGT
91,SO
92,ITW
93,SLB
94,DUK
95,HCA
96,CP
97,NOC
98,EOG
99,FISV
100,LRCX
101,BDX
102,CME
103,ETN
104,WM
105,RACE
106,MELI
107,CNQ
108,AON
109,HUM
110,GD
111,TRI
112,CL
113,MRNA
114,CSX
115,BMO
116,SHOP
117,JD
118,PANW
119,SNPS
120,ICE
121,OXY
122,SHW
123,CDNS
124,MMM
125,FDX
126,MNST
127,MCO
128,KLAC
129,NTES
130,USB
131,CHTR
132,ORLY
133,VMW
134,BIDU
135,WDAY
136,HSY
137,FTNT
138,ANET
139,GM
140,PXD
141,EW
142,PNC
143,MCK
144,SNOW
145,SE
146,LULU
147,APH
148,STM
149,PSX
150,MSI
151,NSC
152,CMG
153,NXPI
154,ECL
155,SRE
156,CTAS
157,ROP
158,DG
159,AZO
160,MCHP
161,MSCI
162,ADSK
163,DXCM
164,TFC
165,HES
166,PH
167,TEAM
168,TT
169,STZ
170,JCI
171,TEL
172,AJG
173,SQ
174,A
175,TDG
176,IDXX
177,PAYX
178,BIIB
179,TRV
180,SYY
181,AFL
182,NEM
183,CM
184,NUE
185,LNG
186,PCAR
187,LHX
188,SGEN
189,YUM
190,HLT
191,AIG
192,GEHC
193,IQV
194,NTR
195,ODFL
196,COF
197,ILMN
198,CPRT
199,MRVL
200,WCN
201,KR
202,CNC
203,APO
204,ON
205,OTIS
206,MBLY
207,ALC
208,IBKR
209,GWW
210,MTD
211,CMI
212,DHI
213,ROK
214,EA
215,AME
216,DD
217,PPG
218,ABC
219,DLTR
220,AMP
221,RMD
222,FIS
223,CRWD
224,CTSH
225,LYB
226,PEG
227,BNTX
228,PRU
229,ALL
230,LEN
231,TTD
232,VRSK
233,DELL
234,OKE
235,FNV
236,KEYS
237,ANSS
238,AWK
239,VEEV
240,RBLX
241,CSGP
242,GPN
243,ULTA
244,ENPH
245,FWONK
246,URI
247,ZBH
248,YUMC
249,NDAQ
250,TSCO
251,FANG
252,CDW
253,STT
254,SPOT
255,DFS
256,WST
257,IT
258,ALB
259,TROW
260,CEG
261,ALGN
262,EFX
