,Symbol
0,3839
1,3877
2,4957
3,1968
4,3360
5,3148
6,1332
7,1515
8,8174
9,1944
10,9267
11,1860
12,6436
13,9729
14,5076
15,3201
16,5122
17,3186
18,7649
19,8088
20,2531
21,8273
22,6615
23,7812
24,8931
25,3553
26,6325
27,7213
28,6091
29,3924
30,8098
31,6937
32,6036
33,6619
34,6349
35,8194
36,9682
37,3302
38,3159
39,9101
40,5449
41,6458
42,9503
43,2899
44,6284
45,9755
46,7513
47,6282
48,4726
49,8275
50,8065
51,6381
52,8630
53,3104
54,9081
55,3386
56,5273
57,9413
58,7266
59,4212
60,2109
61,8070
62,1950
63,6013
64,1942
65,6454
66,4401
67,9832
68,7820
69,2264
70,1941
71,7475
72,8012
73,9678
74,3107
75,5232
76,1780
77,4203
78,3035
79,1762
80,6787
81,2108
82,8742
83,6630
84,2418
85,7949
86,2742
87,7224
88,5331
89,5464
90,4462
91,8032
92,7972
93,9384
94,8168
95,2216
96,7976
97,6420
98,6744
99,7545
100,6798
101,5363
102,3593
103,1904
104,3538
105,1716
106,7811
107,4997
108,3443
109,4323
110,6960
111,8142
112,1979
113,2154
114,3333
115,5976
116,7823
117,2389
118,2114
119,4519
120,6098
121,8089
122,3648
123,8155
124,3865
125,9948
126,4471
127,6135
128,4368
129,3962
130,8917
131,5991
132,5344
133,5269
134,1973
135,4676
136,9364
137,8056
138,1721
139,6417
140,8007
141,8285
142,9025
143,8276
144,6670
145,6474
146,1434
147,6340
148,4362
149,8001
150,8904
151,2055
152,4977
153,9428
154,6675
155,4914
156,6432
157,2664
158,7994
159,6961
160,7942
161,6957
162,7723
163,7059
164,5357
165,6455
166,1925
167,7605
168,8015
169,8014
170,4578
171,3741
172,1884
173,2305
174,6971
175,2117
176,8217
177,7931
178,4215
179,2908
180,3480
181,6724
182,7752
183,3231
184,1911
185,4204
186,8218
187,7817
188,4626
189,6750
190,9078
191,2659
192,5391
193,4887
194,1812
195,9347
196,4581
197,9039
198,3116
199,6654
200,4534
201,2292
202,3291
203,1878
204,3167
205,6448
206,3172
207,3405
208,9107
209,7981
210,9502
211,9531
212,1802
213,5929
214,5101
215,9401
216,2669
217,7459
218,7769
219,3391
220,2433
221,8227
222,2918
