Symbol,Price
5129,1951
4393,5980
4395,1351
3991,1858
6927,514
7379,920
7373,2528
9563,1231
5244,303
9342,1645
7063,1226
7050,2006
9246,2809
6898,2188
4390,2350
2195,777
7128,2500
7794,2200
5571,1050
4068,2431
1518,2647
9308,1269
6556,418
3793,666
3482,1657
7064,3290
7816,1762
6630,1009
2150,895
3865,831
6069,1228
6524,6100
7513,611
2198,608
2372,1925
9278,1155
5127,2588
8842,4170
6338,5930
5218,1391
7762,882
6619,1301
3421,1593
7370,1451
3770,379
5930,1067
9325,1186
9115,608
6877,4120
8129,2724
3904,883
7809,2417
4251,1141
7545,1728
4668,643
2305,2096
4563,104
9216,2376
8804,1874
3186,3660
3569,2399
2424,939
2395,2019
6535,1301
3415,353
3765,2686
2730,1443
7059,2116
3902,677
1419,3535
5201,4997
6464,818
4099,1431
9107,4244
3465,4995
9827,614
7897,139
6654,1183
3172,1566
8897,452
2778,190
9543,1063
7751,3746
2307,1132
3328,2045
9831,427.7
4423,1978
6794,925
3922,1659
2914,3088
3696,1022
7689,652
7593,524
7196,934
2437,775
6048,173
6668,1677
2206,3726
3627,453
2488,992
7042,1041
9842,1618
3934,1172
8609,510
6328,2961
7192,563
3548,914
4977,739
5074,646
4324,4612
9928,1621
4631,2616
7487,1542
4728,742
3405,1373
8276,2329
3538,1175
9303,2390
5563,283
6249,4275
3391,10695
3003,1216.5
9919,1432
8617,584
7068,964
4615,124
9830,2152
7821,3105
6298,2754
2294,2341
8613,479
6592,3907
9414,934
5108,5771
4286,837
6664,384
7238,139
6779,1200
2389,1033
2503,2131
5101,3063
8185,1016
7305,2494
9413,3495
5301,1211.5
7564,4920
3028,1950
4714,255
3983,1954
8275,1151
7358,1453
8103,679
4031,1256
9749,4630
4718,1365
3107,2739.5
8167,1540
5986,321
9994,2675
9982,1204
8908,725
4404,1033
6141,2447
1928,2910
3657,693
4186,8663
7272,4080
5214,2525
8168,846
8904,876
2685,2849
9326,617
2157,1129
4433,1546
6036,5440
5988,2183
7514,947
6278,3280
3228,1449
4348,2267
6459,1415
2462,1750
3341,1189
9147,8165
8233,1963
6699,810
6327,812
4848,2318
7187,2307
5423,1376
8917,1105
9104,3728
5741,2683
3659,2706
6279,1229
2792,1660
4506,646.7
2180,694
2768,3259
2461,402
7599,775
9101,3443
6103,7395
1885,3090
8053,2971.5
7518,3032
6250,1523
6770,1236
6428,500
9119,898
3323,85
8278,1775
7590,667
3854,2571
6540,747
5009,1620
3962,1859
3782,11
1780,1161
9381,1836
7792,980
6337,2839
2107,1738
9717,1349
5401,3065
8005,936
2170,425
5959,743
3205,274
7727,392
8789,66
1407,2861
6361,6817
3458,1382
7516,3465
8928,2155
6962,637
4362,2878
3159,352
6627,3995
9450,1394
3191,1629
6326,2028.5
1766,7350
3396,1010
7003,499
7637,2320
3950,3210
7868,2170
9110,3590
3105,1206
5302,4220
2371,2020
1888,3135
8016,579
1719,1075
4046,5390
3050,1197
6879,653
4837,616
6171,328
7940,602
4931,1399
5384,3455
9740,2896
1712,1369
5018,1163
5471,5892
7623,657
9632,9990
5105,1898
3964,1780
6617,2119
6707,13260
6080,3125
8905,1741
2937,2707
7060,709
9433,4261
5998,974
7013,3694
9993,1253
2681,1847
4519,3952
7615,186
8283,4712
3937,1423
1914,501
6724,2234.5
8002,2431.5
3901,2680
6914,1866
7183,310
3911,438
6302,3391
8242,1507
8001,5539
7735,15600
2345,310
8058,7028
3150,2644
8031,5140
9672,3800
7984,2009
3738,1745
6099,879
7905,2296
1925,3706
4044,2968
3501,2335
2670,7869
1721,2766.5
4651,325
1783,52
6481,2818
9384,2668
7752,1237.5
7921,2342
6203,796
4045,1285.5
4634,2098
1605,1726
3863,1208
6635,585
7673,1121
3539,1960
8869,1117
6366,351
5480,4085
8132,3785
9368,1285
3361,743
7236,1858
6632,483
5541,1564
6881,458
6638,945
5440,1973
6866,8130
4826,559
1873,371
9755,2413
4406,236
7483,2245
3834,674
2163,1900
1911,3403
7092,1428
8057,5380
8919,2601
4118,4123
3445,2993
2737,4905
6856,8055
3612,1772
7974,6426
6309,2868
7679,2451
6222,1879
7135,246
6730,1565
3179,1067
5713,4733
3093,1418
5451,3270
7912,3974
6748,526
5020,494.2
2749,322
2148,1315
1429,902
3912,836
3245,832
7203,2274
4206,3145
7276,2574.5
2001,1823
8289,524
3648,727
6659,46
2674,1484
8127,305
6485,1135
3878,717
5187,882
6715,1168
9511,1122
7215,610
1802,1252
8060,3666
3526,1888
7066,859
6820,2812
9218,1136
7105,1270
9076,2156
9275,1078
6316,1955
7846,4435
4369,2650
7273,1345
2325,2838
7222,938
7908,192
6941,2291
8282,1261
8999,610
2918,2755
4463,836
4082,974
