symbol,close,div,divPer
RWT,8.06,0.17,0.02109181141439206
AOD,9.05,0.1,0.011049723756906077
ES,67.2,0.715,0.010639880952380951
DX,13.0,0.13,0.01
SPTN,21.93,0.2175,0.009917920656634747
FAX,17.46,0.165,0.009450171821305841
WDI,15.73,0.1485,0.009440559440559439
NJR,47.69,0.45,0.009435940448731391
FSCO,6.37,0.06,0.009419152276295133
THQ,21.96,0.18,0.008196721311475409
BGB,12.42,0.093,0.00748792270531401
ITUB,6.69,0.0485211,0.007252780269058295
WIW,8.78,0.0605,0.006890660592255126
STX,104.25,0.7,0.00671462829736211
FFC,16.6,0.0897,0.005403614457831325
WRB,57.52,0.08,0.0013908205841446453
