symbol,div,paymentDate
AVT,0.33,2024-09-25
GOGL,0.3,2024-09-20
NWSA,0.1,2024-10-09
NWS,0.1,2024-10-09
GES,0.3,2024-09-27
KSS,0.5,2024-09-25
WGO,0.34,2024-09-25
G,0.1525,2024-09-25
AEE,0.67,2024-09-30
SR,0.755,2024-10-02
DHF,0.0175,2024-09-25
LGI,0.14941,2024-09-23
SFL,0.27,2024-09-27
SAR,0.74,2024-09-26
HPQ,0.2756,2024-10-02
INSW,1.38,2024-09-25
INSW,0.12,2024-09-25
FSK,0.64,2024-10-02
TUYA,0.0589,2024-10-15
DOLE,0.08,2024-10-03
FRFC,0.34,2024-09-25
CSWYY,0.257767,2024-10-15
CRPJY,0.805305,2024-11-15
HPIFY,0.268164,2024-11-20
BLSFY,0.96025,2024-10-30
TRUX,0.43,2024-09-25
WRTBY,0.035552,2024-10-03
BNPJY,0.074002,2024-10-11
TSCFY,0.481126,2024-10-15
BDUUY,0.319969,2024-10-10
