,Symbol,gain
0,EGLE,8.74757368509528e+241
1,LEU,3.0765417852274293e+156
2,NTES,1.61990716416513e+104
3,VTLE,6.284996633411422e+99
4,MNST,7.387454992810524e+55
5,BAND,1.3172160613714643e+48
6,ZM,5.745451652847007e+40
7,ARCT,2.3256450299132334e+38
8,AAPL,4.62059591048569e+26
9,PAGS,8.780384876259343e+22
10,SPWR,3.410552990576139e+21
11,NSSC,1.1430834210796375e+21
12,BXC,5.087927057253037e+19
13,NVRO,5.110281667272248e+16
14,DAC,3.041309664156124e+16
15,CHWY,2.9948589932434892e+16
16,UCBI,2.342573727182619e+16
17,CIEN,1.936071162571233e+16
18,KNTK,1.5832141083751126e+16
19,HOV,534982807459836.9
20,FUTU,5036323234433.921
21,PBF,4064607726491.9395
22,BNTX,242971544.74424022
23,PDD,219812426.02371222
24,MRNA,104484250.35277143
25,VIR,43065528.55804615
26,CHX,11006613.31769308
27,GSHD,3540517.955783515
28,GILD,2997178.1403662395
29,4251,619656.757434014
30,HEI,132373.13841479123
31,CPRT,100139.58664528362
32,INMD,93175.25952678027
33,ACLS,78078.03753600799
34,OVV,65246.11019869203
35,AVNW,60046.679493030366
36,HAYN,49622.59047268665
37,RMR,45919.126543452934
38,9250,18591.604539918422
39,LOVE,14515.71474295983
40,NGVT,7998.780236176521
41,ARCH,5186.863460583278
42,SII,4765.565774627475
43,DAVA,3747.1198686721204
44,DT,3258.292608206805
45,BABA,2393.1235101342572
46,ZI,2202.668787131681
47,AVNS,1887.738771476536
48,9221,732.3821883225716
49,4074,378.1129338749404
50,RMAX,327.6300657278832
51,NGVC,322.9815016620829
52,ABNB,316.25647748531577
53,7375,190.13614751018275
54,6523,159.62636418412382
55,TW,155.1014334830296
56,DCBO,116.67827111907592
57,DOCS,103.23408830629413
58,ATHM,101.6011862112482
59,USM,77.57834989302671
60,EQBK,75.06572563791184
61,CNXC,72.52577831740942
62,ONTO,57.826719401040144
63,5132,57.58984704362249
64,TASK,57.31094721240269
65,7011,50.944724616147
66,MP,49.948058192768755
67,BANL,46.89942843950382
68,CCSI,46.18326089652773
69,GXO,44.46598046742978
70,BZ,40.690377278427064
71,XPEL,40.41539048639277
72,4258,39.59363582235162
73,SHLS,36.90136613422456
74,NVEC,31.6437588360246
75,9563,30.87719951045453
76,5035,25.330353562159583
77,9565,19.453161185486277
78,5131,11.836437111222065
79,9227,11.546046294422236
80,4417,10.756527839348536
81,4072,10.559576176326008
82,KTB,10.397582050014027
83,5527,9.940675221464373
84,7110,9.343400717223615
85,9342,8.267091085350803
86,9562,8.19178648811264
87,WMG,8.056655842102067
88,7114,7.9744761800684305
89,BEPC,7.814585898323419
90,4413,7.370912425501243
91,ASO,7.138614804273111
92,ZIM,6.363452232150608
93,JRVR,6.026425079342136
94,AZEK,6.010148601929686
95,4892,5.779174087597647
96,4447,5.618947870664195
97,SLVM,5.466101649042951
98,5126,4.325508120127134
99,BNRE,4.253286424681781
100,CRC,3.9942904012500127
101,9552,3.3126215610860013
102,5129,3.228724570800191
103,5034,3.194800909975903
104,CHK,3.190849635246061
105,2998,3.1807850324782003
106,MSGS,2.8978517780714657
107,5125,2.8442232193122914
108,EMBC,2.758936017565058
109,5240,2.713344652161252
110,ZURA,2.5517962648531203
111,DOW,2.499376779574431
112,9204,2.426806927403559
113,5127,2.392723736299964
114,ALC,2.371156527769003
115,LBRDK,2.3062114353961647
116,LBRDA,2.2161799960577415
117,DV,2.1360962299234325
118,ESAB,2.113363950773359
119,7389,2.0932185802318717
120,SSTK,1.9873138847530674
121,2937,1.9349638158487648
122,9564,1.8506418944512053
123,9558,1.795402832720311
124,7388,1.7913836363752054
125,9341,1.7571358185955048
126,5461,1.729458609813137
127,5250,1.5555503174527117
128,6501,1.5516635786529092
129,5137,1.5255306544110991
130,5831,1.4799051802666177
131,7386,1.4250653843542525
132,1444,1.3863915802212246
133,OTIS,1.25141886857293
134,5139,1.2421631125344714
135,9336,1.2329666772539372
136,6971,1.2019309229472188
137,CABO,1.1768221936609307
138,SWAV,1.176635544141528
139,ATAT,1.130768739011794
140,SDRL,1.083813051712187
141,GEHC,1.0393387967654646
142,NXT,1.0323050604669681
143,KVUE,1.0
144,ATMU,1.0
145,GDHG,1.0
146,SFWL,1.0
147,SGE,1.0
148,CWD,1.0
149,CR,0.986788818968837
150,LW,0.9527178817901735
151,SEB,0.9353307764035781
152,ICG,0.885445112993492
153,ENLT,0.8840787775333198
154,RYAN,0.8828842793428157
155,ESMT,0.8702532724128098
156,EE,0.8701883304886288
157,BAM,0.8648558862248915
158,SKWD,0.8541114522575582
159,CLCO,0.8415845293563529
160,AESI,0.8361604689093748
161,C,0.8305580658922797
162,ACDC,0.7603929948046333
163,MSI,0.757571317991885
164,TPG,0.75423341042824
165,VTS,0.7084907016696598
166,MCB,0.7041144011336071
167,PYPL,0.6815048078822188
168,MUSA,0.6746986984288253
169,CRBG,0.6738630907307541
170,EDR,0.6606917678733498
171,GS,0.6489572688470732
172,BIPC,0.6435726462841741
173,CMG,0.6324609370319282
174,FSV,0.6037580558909462
175,RACE,0.5981940506700542
176,CDRE,0.5917876918572851
177,MCK,0.5902557780958481
178,IQV,0.5806895337610559
179,ALLE,0.5624794436901638
180,RH,0.549914713403599
181,BBUC,0.5401863884877248
182,WTW,0.5141121454575942
183,IX,0.513969765202074
184,HLT,0.4913482852703099
185,THC,0.4813153959332912
186,CHTR,0.4518394334549296
187,SITE,0.44588778168888593
188,META,0.4373825060757273
189,SAIC,0.4289628633395356
190,ABBV,0.41938330892487885
191,IZM,0.40139191746025255
192,AMP,0.3939237676273125
193,ZTS,0.3897308613818397
194,FIVE,0.38877471973418415
195,KIDS,0.38140026730849647
196,MORN,0.3758593399388987
197,CBOE,0.37295709550973644
198,FLT,0.36558970448511835
199,HII,0.3591302547033273
200,AIZ,0.3544609638054185
201,RGA,0.3502470341252105
202,NOW,0.3495232573417491
203,ELV,0.34935941632797596
204,CSWI,0.3377263050687941
205,ZIP,0.3323562552685934
206,BURL,0.33088197936247865
207,TM,0.32450424500386826
208,KAI,0.3190242075244312
209,NTR,0.30097318438188697
210,ZBH,0.29986961169987303
211,VAC,0.2967698659185391
212,HCA,0.2940467612619088
213,TRGP,0.28977044723353323
214,FCNCA,0.28828525535524246
215,HMST,0.28821513531258636
216,CDW,0.28158574742841413
217,VRSK,0.28028898875375585
218,DG,0.2726768018905988
219,AZO,0.27126953296314504
220,HLI,0.26413853897609213
221,YGF,0.2563209283714498
222,VNOM,0.2561892778787823
223,ACM,0.25516989592708333
224,JYD,0.25255346852871335
225,KNSL,0.2440797224943827
226,PWR,0.24279719956526333
227,FANG,0.24087827234413317
228,TRI,0.23427671756846938
229,BLD,0.23403891553854086
230,FWONK,0.231664070496726
231,HLNE,0.22632035630259764
232,UPS,0.22307246476654863
233,LH,0.2229474659389176
234,PSX,0.22190058886711955
235,FND,0.22082044786558608
236,IR,0.21559476654198617
237,BBU,0.2104238604785585
238,BPOP,0.20815382165465404
239,HSY,0.20523358357803104
240,LEA,0.20393754150141247
241,MCD,0.20090090343772693
242,ZJYL,0.19681261526443597
243,MTD,0.19666030270236648
244,PIPR,0.19162502848556429
245,APTV,0.19012202647883786
246,EPAM,0.18646007598488207
247,TFPM,0.18538553669702812
248,KEYS,0.18166612155912537
249,GCT,0.17855942485864792
250,LPLA,0.1746189762235047
251,AVGO,0.17407415261988424
252,BKNG,0.17176827589791913
253,GDDY,0.17138841234598268
254,TRV,0.1557329384615402
255,LMT,0.1550440062022137
256,NOVT,0.15165759021801217
257,ACHC,0.15012150147711464
258,GWW,0.14938937606234934
259,ICFI,0.14614749809854238
260,PFGC,0.14612202663952253
261,ITGR,0.1367109529460492
262,ICE,0.1362718247050457
263,RBC,0.1341326603401862
264,OLLI,0.1307685277917577
265,XYL,0.13069270466958266
266,CRL,0.12835066634418923
267,SNA,0.1263135195816675
268,ALSN,0.12320056416892858
269,EXPE,0.1228568983255021
270,ESNT,0.1224653094928542
271,ARW,0.11774273085776786
272,PCTY,0.11369175704139375
273,FBIN,0.10948472974717055
274,NWE,0.10923058117226042
275,TMUS,0.10898638958457979
276,SPB,0.10887458354693832
277,AEE,0.10060577863232154
278,LDOS,0.09969650132555413
279,SFBS,0.09615948025274798
280,ARBB,0.09261680396513283
281,TORO,0.09145275043023238
282,PRI,0.09085578114374547
283,V,0.09023242930426177
284,HRI,0.08838221427470341
285,ALGT,0.08805555321411566
286,VRSN,0.08732159999595689
287,GLOB,0.08690659523078319
288,CME,0.08646279416631852
289,PAC,0.08615277226521878
290,KBR,0.08570606420364062
291,COKE,0.08168436543928093
292,DELL,0.08142589704973767
293,BLK,0.08019310162970608
294,VC,0.07991437950184946
295,PAYC,0.07955661939065096
296,WEX,0.07861596736607532
297,MOH,0.07735581519681008
298,ORA,0.07677608673524564
299,CPA,0.07562589243890619
300,BG,0.07524551249216505
301,DUK,0.07063431157831342
302,CE,0.06830179409849481
303,OMF,0.06609580479656325
304,VMW,0.06484945840924086
305,MSCI,0.06172867366145824
306,NXPI,0.061576744746527946
307,HUM,0.06156286547886682
308,PSMT,0.05959104208399548
309,LYB,0.05927321838979973
310,GPC,0.05847304608800993
311,PFG,0.058196417827507785
312,CHCO,0.057744586899932844
313,NOC,0.05657406161521027
314,TMO,0.05504945849011006
315,MYRG,0.05474745392270463
316,SXI,0.05382325893311176
317,WM,0.05371693479323057
318,VRTS,0.05342291293134195
319,DDS,0.05217002750263143
320,TDY,0.05131013023219244
321,GMED,0.05128417206710703
322,ARIS,0.04991028557667751
323,BCC,0.04889676846287388
324,AXS,0.047722790461717936
325,DEO,0.047567645115560844
326,MASI,0.04552674758208238
327,CMS,0.044398146565752444
328,URI,0.04405638477008029
329,CAR,0.04377650273390425
330,DOOO,0.04308316703766571
331,AMG,0.042672549407439544
332,WTS,0.042068097963794626
333,SEAS,0.04045414379473413
334,VEEV,0.03899136464877712
335,AVT,0.0384701297522773
336,TDG,0.03762495441919166
337,UI,0.037168157529291
338,MSM,0.036737314320097594
339,WINA,0.036158273950421274
340,ATKR,0.03606328466361138
341,AFG,0.035942085947437925
342,WING,0.03509984849509519
343,WMS,0.03437018132848696
344,AAP,0.03436855347042801
345,TXRH,0.03417440216253857
346,DTE,0.0334923427302172
347,CMTG,0.032972801086722785
348,FNV,0.03296842586986394
349,JD,0.032731368734671376
350,MA,0.03228664111711745
351,SCHL,0.03156978316349062
352,AON,0.0307577489879911
353,KMB,0.029609980331603728
354,CHE,0.029304576796997283
355,MET,0.02919555403202303
356,CRGY,0.028452644774971003
357,MLM,0.028179793943515292
358,HESM,0.027400796816010976
359,CCS,0.027144735380246563
360,TEL,0.026778973230509855
361,MELI,0.02594924575285945
362,CRAI,0.025670032433565717
363,MTN,0.02559032419701044
364,ULTA,0.025469324434417618
365,LRN,0.025195584446829903
366,JOUT,0.024180092813262007
367,IT,0.023793557380458897
368,CVCO,0.023753084921476156
369,KFY,0.023102753865382568
370,VVI,0.02278550212427615
371,TFIN,0.02273116327176312
372,LOB,0.02272746174463817
373,TNET,0.022648012794525715
374,IBP,0.022484002277456023
375,TCBI,0.02234708498485562
