,CFD Type,IB Symbol,Product Description (click link for more details),Symbol,Currency
0,Share,8591,ORIX CORP,8591,JPY
1,Share,6368,ORGANO CORP.,6368,JPY
2,Share,9435,HIKARI TSUSHIN INC,9435,JPY
3,Share,4324,DENTSU GROUP INC,4324,JPY
4,Share,6674,GS YUASA CORP,6674,JPY
5,Share,6448,BROTHER INDUSTRIES LTD,6448,JPY
6,Share,6490,NIPPON PILLAR PACKING CO LTD,6490,JPY
7,Share,6376,NIKKISO CO LTD,6376,JPY
8,Share,8267,AEON CO LTD,8267,JPY
9,Share,4530,HISAMITSU PHARMACEUTICAL CO,4530,JPY
10,Share,9517,EREX CO LTD,9517,JPY
11,Share,7951,YAMAHA CORP,7951,JPY
12,Share,6036,KEEPER TECHNICAL LABORATORY,6036,JPY
13,Share,8354,FUKUOKA FINANCIAL GROUP INC,8354,JPY
14,Share,7739,CANON ELECTRONICS INC,7739,JPY
15,Share,9997,BELLUNA CO LTD,9997,JPY
16,Share,6744,NOHMI BOSAI LTD,6744,JPY
17,Share,7581,SAIZERIYA CO LTD,7581,JPY
18,Share,7453,RYOHIN KEIKAKU CO LTD,7453,JPY
19,Share,7611,HIDAY HIDAKA CORP,7611,JPY
20,Share,8584,JACCS CO LTD,8584,JPY
21,Share,7447,NAGAILEBEN CO LTD,7447,JPY
22,Share,4812,DENTSU SOKEN INC,4812,JPY
23,Share,1979,TAIKISHA LTD,1979,JPY
24,Share,5481,SANYO SPECIAL STEEL CO LTD,5481,JPY
25,Share,7157,LIFENET INSURANCE CO,7157,JPY
26,Share,6724,SEIKO EPSON CORP,6724,JPY
27,Share,7990,GLOBERIDE INC,7990,JPY
28,Share,4477,BASE INC,4477,JPY
29,Share,8153,MOS FOOD SERVICES INC,8153,JPY
30,Share,4887,SAWAI GROUP HOLDINGS CO LTD,4887,JPY
31,Share,9007,ODAKYU ELECTRIC RAILWAY CO,9007,JPY
32,Share,4666,PARK24 CO LTD,4666,JPY
33,Share,4755,RAKUTEN GROUP INC,4755,JPY
34,Share,6323,RORZE CORP,6323,JPY
35,Share,4088,AIR WATER INC,4088,JPY
36,Share,2979,SOSILA LOGISTICS REIT INC,2979,JPY
37,Share,2730,EDION CORP,2730,JPY
38,Share,5471,DAIDO STEEL CO LTD,5471,JPY
39,Share,8961,MORI TRUST REIT INC,8961,JPY
40,Share,3291,IIDA GROUP HOLDINGS CO LTD,3291,JPY
41,Share,5949,UNIPRES CORP,5949,JPY
42,Share,6630,YA-MAN LTD,6630,JPY
43,Share,8283,PALTAC CORPORATION,8283,JPY
44,Share,6588,TOSHIBA TEC CORP,6588,JPY
45,Share,3050,DCM HOLDINGS CO LTD,3050,JPY
46,Share,2170,LINK AND MOTIVATION INC,2170,JPY
47,Share,9474,ZENRIN CO LTD,9474,JPY
48,Share,5232,SUMITOMO OSAKA CEMENT CO LTD,5232,JPY
49,Share,3156,RESTAR HOLDINGS CORP,3156,JPY
50,Share,3201,JAPAN WOOL TEXTILE CO LTD,3201,JPY
51,Share,2337,ICHIGO INC,2337,JPY
52,Share,7917,FUJIMORI KOGYO CO LTD,7917,JPY
53,Share,2760,TOKYO ELECTRON DEVICE LTD,2760,JPY
54,Share,5108,BRIDGESTONE CORP,5108,JPY
55,Share,2371,KAKAKU.COM INC,2371,JPY
56,Share,7327,DAISHI HOKUETSU FINANCIAL GR,7327,JPY
57,Share,3309,SEKISUI HOUSE REIT INC,3309,JPY
