Symbol,Name,Last,Change,%Chg,"Options Vol","Imp Vol","IV Rank","IV Pctl","IV 1Yr High",Time
EWH,"Hong Kong Ishares MSCI ETF",16.15,-0.01,-0.06%,1499,25.02%,100.00%,100%,25.02%,2024-01-25
NVDL,"Graniteshares Nvda 1.5X Daily ETF",125.17,0.87,+0.70%,194,77.34%,99.34%,98%,77.80%,2024-01-25
TAN,"Solar Invesco ETF",43.88,-0.15,-0.34%,1600,47.58%,95.06%,96%,48.76%,2024-01-25
CONY,"Yieldmax Coin Option Income ETF",19.19,-0.03,-0.16%,245,71.73%,93.59%,86%,76.31%,2024-01-25
MCHI,"China Ishares MSCI ETF",38.46,0.07,+0.18%,2757,28.86%,84.87%,70%,33.18%,2024-01-25
FXI,"China Largecap Ishares ETF",22.75,-0.02,-0.09%,252210,31.01%,84.64%,78%,35.70%,2024-01-25
MSOX,"Advisorshares Msos 2X Daily ETF",5.95,0.27,+4.75%,1171,244.09%,84.14%,96%,275.91%,2024-01-25
MJ,"ETFMG Alternative Harvest ETF",3.63,0.04,+1.11%,1381,79.00%,81.49%,90%,90.99%,2024-01-25
SH,"Short S&P500 -1X ETF",12.72,-0.06,-0.47%,2653,21.24%,72.14%,84%,25.23%,2024-01-25
LIT,"GX Lithium & Battery Tech ETF",43.36,-0.83,-1.88%,443,30.89%,68.61%,92%,36.06%,2024-01-25
URNJ,"Sprott Junior Uranium Miners ETF",26.69,-0.63,-2.31%,512,63.14%,64.30%,45%,96.29%,2024-01-25
YANG,"FTSE China Bear -3X Direxion",14.55,-0.1,-0.68%,5685,93.47%,62.60%,80%,103.92%,2024-01-25
YINN,"FTSE China Bull 3X Direxion",17.27,0.01,+0.06%,17035,90.97%,60.48%,75%,102.09%,2024-01-25
BLOK,"Transformational Data Sharing Amplify ETF",26.45,0.29,+1.11%,184,42.05%,60.46%,86%,50.13%,2024-01-25
MSOS,"Advisorshares Pure US Cannabis ETF",9.24,0.25,+2.78%,24101,125.50%,60.23%,92%,176.72%,2024-01-25
XLI,"S&P 500 Industrial Sector SPDR",113.61,1.08,+0.96%,9846,17.34%,58.69%,52%,27.65%,2024-01-25
URNM,"Sprott Uranium Miners ETF",52.78,-1.04,-1.93%,2580,46.46%,58.44%,78%,57.70%,2024-01-25
TSLL,"Daily Tesla Bull 1.5X ETF Direxion",8.93,-1.97,-18.07%,44894,69.86%,57.13%,24%,111.46%,2024-01-25
LABU,"S&P Biotech Bull 3X Direxion",115.94,2.82,+2.49%,6929,93.78%,55.85%,75%,117.70%,2024-01-25
AMLP,"Alps Alerian MLP ETF",44.2,0.59,+1.35%,1059,18.12%,54.69%,61%,23.62%,2024-01-25
BOIL,"Ultra Bloomberg Natural Gas 2X ETF",24.32,-2.46,-9.19%,34609,113.76%,54.04%,47%,174.56%,2024-01-25
ARKG,"Ark Genomic Revolution ETF",29.46,0.25,+0.86%,3771,43.71%,53.96%,69%,52.90%,2024-01-25
MUB,"Natl Muni Bond Ishares ETF",107.84,0.33,+0.31%,1903,5.75%,53.86%,60%,9.36%,2024-01-25
XRT,"S&P Retail SPDR",69.59,0.9,+1.31%,13637,25.89%,53.13%,30%,40.65%,2024-01-25
IYW,"US Technology Ishares ETF",130.61,0.58,+0.45%,516,18.17%,52.13%,17%,30.36%,2024-01-25
LABD,"S&P Biotech Bear -3X Direxion",9.77,-0.26,-2.59%,5784,94.18%,51.60%,66%,123.20%,2024-01-25
ASHR,"Xt Harvest CSI 300 China A-Shares ETF",23.03,-0.11,-0.48%,29464,22.82%,51.18%,79%,27.05%,2024-01-25
URA,"GX Uranium ETF",29.47,-0.54,-1.80%,11442,41.64%,51.13%,75%,54.89%,2024-01-25
EFA,"EAFE Ishares MSCI ETF",74.72,0.21,+0.28%,123047,22.63%,50.13%,94%,35.03%,2024-01-25
WGMI,"Valkyrie Bitcoin Miners ETF",12.22,0.5,+4.27%,1597,92.83%,50.07%,86%,176.39%,2024-01-25
IJR,"S&P Smallcap Ishares Core ETF",105.85,0.78,+0.74%,422,20.73%,48.85%,73%,26.82%,2024-01-25
XBI,"S&P Biotech SPDR",88.5,0.78,+0.89%,58968,30.27%,48.77%,57%,39.92%,2024-01-25
PSQ,"Short QQQ -1X ETF",9.14,0,0.00%,1289,20.74%,48.63%,42%,28.22%,2024-01-25
EWW,"Mexico Ishares MSCI ETF",65.49,1.06,+1.65%,4451,22.96%,48.27%,70%,29.35%,2024-01-25
SHY,"1-3 Year Treasury Bond Ishares ETF",82.17,0.15,+0.18%,268,3.33%,47.38%,44%,6.06%,2024-01-25
USD,"Ultra Semiconductors 2X ETF",68.63,-0.1,-0.15%,549,57.48%,47.36%,56%,71.90%,2024-01-25
QQQ,"Nasdaq QQQ Invesco ETF",426.35,0.52,+0.12%,3574528,16.12%,46.67%,17%,28.43%,2024-01-25
MTUM,"USA Momentum Factor Ishares Edge MSCI ETF",167.92,1.13,+0.68%,1244,13.89%,46.03%,39%,19.74%,2024-01-25
BITO,"Proshares Bitcoin Strategy ETF",19.22,0.11,+0.58%,30514,60.87%,45.06%,75%,108.72%,2024-01-25
TSLT,"T-Rex 2X Long Tesla Daily Target ETF",12.84,-4.1,-24.20%,1313,89.26%,43.31%,24%,103.12%,2024-01-25
IWF,"Russell 1000 Growth Ishares ETF",315.61,0.4,+0.13%,357,14.73%,43.15%,14%,25.21%,2024-01-25
QQQM,"Invesco Nasdaq 100 ETF",175.49,0.2,+0.11%,196,16.50%,42.77%,16%,28.34%,2024-01-25
TSLY,"Yieldmax Tsla Option Income ETF",8.67,-1.08,-11.08%,8280,50.15%,42.75%,91%,113.58%,2024-01-25
ICLN,"Global Clean Energy Ishares ETF",14,0.06,+0.43%,5093,30.12%,42.45%,81%,50.70%,2024-01-25
URTY,"Ultrapro Russell 2000 3X ETF",42.45,0.95,+2.29%,1309,63.25%,42.38%,70%,87.39%,2024-01-25
XLB,"S&P 500 Materials Sector SPDR",82.48,0.86,+1.05%,2884,18.25%,40.86%,36%,44.23%,2024-01-25
TNA,"Smallcap Bull 3X Direxion",36.05,0.82,+2.33%,55026,62.34%,40.28%,69%,87.19%,2024-01-25
SILJ,"ETFMG Prime Junior Silver Miners ETF",9.14,0.19,+2.12%,837,38.35%,40.17%,46%,52.05%,2024-01-25
SOXX,"Semiconductor Ishares ETF",614.33,-1.71,-0.28%,3431,27.92%,40.11%,55%,36.67%,2024-01-25
GSG,"S&P GSCI Commodity-Indexed Ishares ETF",21.06,0.29,+1.40%,969,22.04%,40.10%,59%,31.13%,2024-01-25
IWM,"Russell 2000 Ishares ETF",195.97,1.61,+0.83%,1403932,20.97%,39.91%,64%,29.95%,2024-01-25
SMH,"Vaneck Semiconductor ETF",192.37,0,0.00%,100712,27.72%,39.65%,54%,36.90%,2024-01-25
EWJ,"Japan Ishares MSCI ETF",65.92,-0.25,-0.38%,1818,16.20%,39.44%,54%,21.17%,2024-01-25
XLY,"S&P 500 Cons Disc Sector SPDR",170.9,-2.14,-1.24%,34074,19.26%,39.40%,40%,31.88%,2024-01-25
SOXL,"Semiconductor Bull 3X Direxion",37.12,-0.3,-0.80%,143635,82.27%,38.79%,55%,110.18%,2024-01-25
SOXS,"Semiconductor Bear -3X Direxion",4.67,0.04,+0.86%,56364,83.60%,38.37%,48%,114.71%,2024-01-25
VTWO,"Russell 2000 Vanguard",79.11,0.62,+0.79%,173,20.89%,37.75%,62%,31.00%,2024-01-25
UVXY,"Ultra VIX Short-Term 2X Futures ETF",7.65,0.13,+1.73%,90618,83.65%,37.67%,8%,166.86%,2024-01-25
SPHQ,"S&P 500 Quality Invesco ETF",56.21,0.37,+0.66%,171,13.77%,37.14%,51%,36.33%,2024-01-25
BITX,"Volatility 2X Bitcoin Strategy ETF",19.47,0.25,+1.30%,873,104.15%,37.12%,51%,157.92%,2024-01-25
IBB,"Nasdaq Biotechnology Ishares ETF",135.69,0.89,+0.66%,6086,18.17%,36.58%,46%,26.48%,2024-01-25
QQQY,"Defiance Nasdaq 100 Enhanced Options Income ETF",18.07,0.05,+0.28%,390,27.91%,36.27%,83%,73.17%,2024-01-25
UNG,"US Natural Gas Fund",20.1,-0.96,-4.56%,13085,65.84%,36.21%,63%,95.50%,2024-01-25
XLV,"S&P 500 Healthcare Sector SPDR",138.48,-0.21,-0.15%,29133,13.21%,36.09%,46%,20.69%,2024-01-25
DUST,"Gold Miners Bear -2X Direxion",12.22,-0.5,-3.93%,325,59.12%,35.15%,33%,91.56%,2024-01-25
WEAT,"Teucrium Wheat",5.82,0.01,+0.17%,577,31.63%,34.99%,39%,50.81%,2024-01-25
NUGT,"Gold Miners Bull 2X ETF Direxion",28.5,0.99,+3.60%,3594,59.99%,34.66%,39%,81.29%,2024-01-25
BITI,"Proshares Short Bitcoin Strategy -1X ETF",13.78,-0.08,-0.58%,649,52.74%,34.47%,47%,87.14%,2024-01-25
TZA,"Smallcap Bear -3X Direxion",21.51,-0.51,-2.32%,11694,62.73%,34.46%,62%,92.45%,2024-01-25
CWEB,"CSI China Internet Idx Bull 2X ETF Direxion",27.49,-0.53,-1.89%,1426,74.42%,34.30%,31%,101.42%,2024-01-25
NVDY,"Yieldmax Nvda Option Income ETF",24.51,0.11,+0.45%,263,23.96%,34.24%,48%,66.72%,2024-01-25
KWEB,"KS CSI China Internet ETF",24.72,-0.22,-0.88%,96981,36.93%,34.04%,28%,50.81%,2024-01-25
BOTZ,"GX Robotics & Artificial Intelligence ETF",29,0.14,+0.49%,278,25.55%,33.70%,53%,34.43%,2024-01-25
TSLS,"Daily Tesla -1X ETF Direxion",25.2,2.74,+12.20%,785,46.01%,33.46%,35%,136.44%,2024-01-25
JEPQ,"JPM Nasdaq Equity Premium Income ETF",51.8,0.06,+0.12%,485,9.25%,33.04%,31%,17.85%,2024-01-25
XHB,"S&P Homebuilders SPDR",94.68,1.83,+1.97%,13398,22.82%,32.90%,7%,36.53%,2024-01-25
GDX,"Vaneck Gold Miners ETF",28.25,0.55,+1.99%,59400,29.76%,32.85%,27%,39.88%,2024-01-25
EEM,"Emrg Mkts Ishares MSCI ETF",38.86,0.05,+0.13%,368378,20.47%,32.84%,93%,35.44%,2024-01-25
VWO,"FTSE EM ETF Vanguard",40.15,0.1,+0.25%,279,15.67%,32.62%,49%,22.48%,2024-01-25
KOLD,"Ultrashort Bloomberg Natural Gas -2X ETF",102.67,8.94,+9.54%,10096,109.75%,31.94%,36%,180.05%,2024-01-25
DRN,"Real Estate Bull 3X Direxion",9.43,0.36,+3.97%,371,54.30%,31.59%,40%,90.64%,2024-01-25
SIL,"GX Silver Miners ETF",25.48,0.34,+1.35%,258,32.07%,30.99%,37%,44.01%,2024-01-25
JETS,"US Global Jets ETF",19.22,0.57,+3.06%,41430,25.46%,30.11%,33%,36.82%,2024-01-25
SPMD,"SPDR Mid Cap Portfolio ETF",48.38,0.3,+0.62%,491,11.30%,30.04%,69%,36.19%,2024-01-25
XLRE,"S&P 500 Real Estate Sector SPDR",38.66,0.52,+1.36%,802,20.81%,29.25%,50%,42.72%,2024-01-25
AMZA,"Infracap MLP ETF",36.58,0.67,+1.88%,219,9.95%,29.09%,17%,26.66%,2024-01-25
USO,"US Oil Fund",72.23,1.69,+2.40%,55665,32.02%,28.98%,30%,49.59%,2024-01-25
IYR,"US Real Estate Ishares ETF",88.09,1.14,+1.31%,7113,18.31%,28.93%,34%,28.77%,2024-01-25
XLK,"S&P 500 Technology Sector SPDR",204.1,0.85,+0.42%,21126,18.33%,28.89%,33%,31.19%,2024-01-25
ITB,"US Home Construction Ishares ETF",99.68,2.15,+2.20%,5342,24.65%,28.66%,35%,34.94%,2024-01-25
INDA,"India MSCI Ishares ETF",49.11,-0.09,-0.18%,391,13.97%,28.37%,36%,23.18%,2024-01-25
DOG,"Short Dow30 -1X ETF",29.58,-0.17,-0.57%,170,14.01%,28.33%,57%,24.30%,2024-01-25
JDST,"Junior Gold Mine Bear -3X Direxion",6.59,-0.28,-4.08%,469,65.66%,28.08%,24%,95.79%,2024-01-25
