Symbol,Name,Last,Change,%Chg,"Options Vol","Imp Vol","IV Rank","IV Pctl","IV 1Yr High",Time
CART,"Maplebear Inc [Instacart]",25.54,0.74,+2.98%,6703,74.61%,100.00%,99%,74.61%,2024-01-25
EL,"Estee Lauder Companies",128.66,2.5,+1.98%,9414,54.88%,100.00%,100%,54.88%,2024-01-25
IOVA,"Iovance Biotherapeutics Inc",7.64,-0.01,-0.13%,30002,293.08%,100.00%,100%,293.08%,2024-01-25
SEDG,"Solaredge Tech",70.44,0.24,+0.34%,11000,94.23%,100.00%,100%,94.23%,2024-01-25
FDMT,"4D Molecular Therapeutics Inc",19.08,0.53,+2.86%,4036,163.43%,100.00%,100%,163.43%,2024-01-25
VTNR,"Vertex Energy",1.38,-0.06,-4.17%,5390,105.16%,100.00%,100%,105.16%,2024-01-25
ARM,"Arm Holdings Plc Ard",73.91,-1.83,-2.42%,69037,69.27%,100.00%,99%,69.27%,2024-01-25
INTC,"Intel Corp",49.55,0.46,+0.94%,669560,49.16%,100.00%,100%,49.16%,2024-01-25
SOFI,"Sofi Technologies Inc",7.65,0.09,+1.19%,261930,100.93%,99.18%,99%,101.36%,2024-01-25
BMY,"Bristol-Myers Squibb Company",49.61,-0.63,-1.25%,15278,29.85%,97.80%,99%,30.15%,2024-01-25
AGL,"Agilon Health Inc",5.8,-0.71,-10.91%,4306,89.81%,96.51%,99%,91.61%,2024-01-25
ALB,"Albemarle Corp",118.45,-3.24,-2.66%,14448,56.74%,96.05%,98%,57.75%,2024-01-25
IRBT,"Irobot Corp",17.58,-0.03,-0.17%,13991,226.55%,95.06%,99%,237.14%,2024-01-25
HSY,"Hershey Foods Corp",189.36,0.05,+0.03%,2939,28.33%,94.95%,98%,29.18%,2024-01-25
ENPH,"Enphase Energy Inc",106.83,-1.24,-1.15%,34063,77.54%,92.70%,97%,80.31%,2024-01-25
AMD,"Adv Micro Devices",180.33,2.04,+1.14%,1436310,56.06%,92.36%,98%,57.88%,2024-01-25
HTZ,"Hertz Global Holdings Inc",8.78,0.29,+3.42%,3481,67.90%,91.20%,95%,71.46%,2024-01-25
ON,"On Semiconductor",72.69,-2.46,-3.27%,10406,52.46%,90.53%,96%,54.51%,2024-01-25
WHR,"Whirlpool Corp",114.27,3.91,+3.54%,4835,41.63%,89.78%,97%,43.92%,2024-01-25
WOLF,"Wolfspeed Inc",34.23,-1.69,-4.70%,5019,102.04%,88.84%,98%,108.90%,2024-01-25
LSCC,"Lattice Semicond",66.89,-1.95,-2.83%,3061,57.98%,86.99%,99%,61.15%,2024-01-25
EVA,"Enviva Partners LP",0.5,0.1449,+40.81%,3928,377.30%,86.39%,99%,429.63%,2024-01-25
