Symbol,Error,Time
2262,6 column names provided for a DataFrame of width 9,2024-06-24 16:06:03.047601
2202,int too big to convert,2024-06-24 16:06:03.556953
2589,"could not create a new DataFrame: series ""column_0"" has length 2 while series ""column_6"" has length 1",2024-06-24 16:06:03.793582
2289,"could not create a new DataFrame: series ""column_0"" has length 3 while series ""column_6"" has length 1",2024-06-24 16:06:04.365282
2052,"could not create a new DataFrame: series ""column_0"" has length 6 while series ""column_6"" has length 2",2024-06-24 16:06:04.706190
2261,int too big to convert,2024-06-24 16:06:05.125300
1384,"could not create a new DataFrame: series ""column_0"" has length 10 while series ""column_6"" has length 4",2024-06-24 16:06:05.531384
2056,"could not create a new DataFrame: series ""column_0"" has length 6 while series ""column_6"" has length 2",2024-06-24 16:06:05.854243
2585,"could not create a new DataFrame: series ""column_0"" has length 4 while series ""column_6"" has length 1",2024-06-24 16:06:06.148022
2006,"could not create a new DataFrame: series ""column_0"" has length 8 while series ""column_6"" has length 2",2024-06-24 16:06:06.531042
2580,int too big to convert,2024-06-24 16:06:07.446475
2008,"could not create a new DataFrame: series ""column_0"" has length 9 while series ""column_6"" has length 2",2024-06-24 16:06:07.819466
2611,"could not create a new DataFrame: series ""column_0"" has length 8 while series ""column_6"" has length 2",2024-06-24 16:06:08.230559
2296,int too big to convert,2024-06-24 16:06:08.651678
2230,"could not create a new DataFrame: series ""column_0"" has length 8 while series ""column_6"" has length 1",2024-06-24 16:06:08.932426
2228,"could not create a new DataFrame: series ""column_0"" has length 10 while series ""column_6"" has length 1",2024-06-24 16:06:09.218185
2538,"could not create a new DataFrame: series ""column_0"" has length 9 while series ""column_6"" has length 1",2024-06-24 16:06:09.512974
2608,"could not create a new DataFrame: series ""column_0"" has length 12 while series ""column_6"" has length 1",2024-06-24 16:06:09.786701
2001,int too big to convert,2024-06-24 16:06:11.366902
2204,"could not create a new DataFrame: series ""column_0"" has length 15 while series ""column_6"" has length 3",2024-06-24 16:06:11.725857
2215,"could not create a new DataFrame: series ""column_0"" has length 14 while series ""column_6"" has length 3",2024-06-24 16:06:12.350520
2579,int too big to convert,2024-06-24 16:06:12.920037
2533,"could not create a new DataFrame: series ""column_0"" has length 14 while series ""column_6"" has length 3",2024-06-24 16:06:13.298039
2112,"could not create a new DataFrame: series ""column_0"" has length 16 while series ""column_6"" has length 1",2024-06-24 16:06:13.692086
2218,"could not create a new DataFrame: series ""column_0"" has length 16 while series ""column_6"" has length 1",2024-06-24 16:06:14.209462
2211,"could not create a new DataFrame: series ""column_0"" has length 16 while series ""column_6"" has length 2",2024-06-24 16:06:14.494217
2587,int too big to convert,2024-06-24 16:06:15.640099
2286,"could not create a new DataFrame: series ""column_0"" has length 16 while series ""column_6"" has length 2",2024-06-24 16:06:16.235684
2588,"could not create a new DataFrame: series ""column_0"" has length 12 while series ""column_6"" has length 3",2024-06-24 16:06:16.939553
2599,"could not create a new DataFrame: series ""column_0"" has length 14 while series ""column_6"" has length 5",2024-06-24 16:06:17.552184
2291,"could not create a new DataFrame: series ""column_0"" has length 16 while series ""column_6"" has length 1",2024-06-24 16:06:18.034469
2270,int too big to convert,2024-06-24 16:06:18.614006
2004,"could not create a new DataFrame: series ""column_0"" has length 16 while series ""column_6"" has length 2",2024-06-24 16:06:19.702903
2107,"could not create a new DataFrame: series ""column_0"" has length 16 while series ""column_6"" has length 2",2024-06-24 16:06:20.190204
2293,"could not create a new DataFrame: series ""column_0"" has length 16 while series ""column_6"" has length 1",2024-06-24 16:06:20.588261
2224,"could not create a new DataFrame: series ""column_0"" has length 16 while series ""column_6"" has length 1",2024-06-24 16:06:21.142732
2502,int too big to convert,2024-06-24 16:06:21.793463
2551,"could not create a new DataFrame: series ""column_0"" has length 15 while series ""column_6"" has length 1",2024-06-24 16:06:22.313848
2288,"could not create a new DataFrame: series ""column_0"" has length 16 while series ""column_6"" has length 2",2024-06-24 16:06:22.832228
2209,"could not create a new DataFrame: series ""column_0"" has length 16 while series ""column_6"" has length 1",2024-06-24 16:06:23.148101
2267,int too big to convert,2024-06-24 16:06:23.589243
2221,"could not create a new DataFrame: series ""column_0"" has length 16 while series ""column_6"" has length 1",2024-06-24 16:06:24.170788
2281,"could not create a new DataFrame: series ""column_0"" has length 15 while series ""column_6"" has length 4",2024-06-24 16:06:24.907751
2269,int too big to convert,2024-06-24 16:06:25.218575
2201,"could not create a new DataFrame: series ""column_0"" has length 16 while series ""column_6"" has length 2",2024-06-24 16:06:26.708535
2212,int too big to convert,2024-06-24 16:06:27.270034
2893,"could not create a new DataFrame: series ""column_0"" has length 4 while series ""column_6"" has length 1",2024-06-24 16:06:27.634998
2503,int too big to convert,2024-06-24 16:06:27.880655
2002,int too big to convert,2024-06-24 16:06:28.358923
2222,"could not create a new DataFrame: series ""column_0"" has length 16 while series ""column_6"" has length 2",2024-06-24 16:06:28.545419
2109,"could not create a new DataFrame: series ""column_0"" has length 16 while series ""column_6"" has length 1",2024-06-24 16:06:29.075831
2229,int too big to convert,2024-06-24 16:06:29.495948
2531,int too big to convert,2024-06-24 16:06:29.822817
2820,"could not create a new DataFrame: series ""column_0"" has length 9 while series ""column_6"" has length 1",2024-06-24 16:06:30.311119
2805,"could not create a new DataFrame: series ""column_0"" has length 15 while series ""column_6"" has length 4",2024-06-24 16:06:30.700151
2602,int too big to convert,2024-06-24 16:06:31.032033
2206,int too big to convert,2024-06-24 16:06:31.372942
2501,int too big to convert,2024-06-24 16:06:33.037367
2282,int too big to convert,2024-06-24 16:06:33.740240
2802,int too big to convert,2024-06-24 16:06:34.070115
2264,int too big to convert,2024-06-24 16:06:34.490235
2597,"could not create a new DataFrame: series ""column_0"" has length 16 while series ""column_6"" has length 2",2024-06-24 16:06:35.150991
2913,6 column names provided for a DataFrame of width 9,2024-06-24 16:06:35.381601
2810,int too big to convert,2024-06-24 16:06:36.108534
2607,int too big to convert,2024-06-24 16:06:36.463479
2809,int too big to convert,2024-06-24 16:06:36.741221
2593,int too big to convert,2024-06-24 16:06:38.184055
2801,int too big to convert,2024-06-24 16:06:38.600162
2912,"could not create a new DataFrame: series ""column_0"" has length 3 while series ""column_6"" has length 1",2024-06-24 16:06:38.978171
5739,6 column names provided for a DataFrame of width 9,2024-06-24 16:06:40.363856
5804,6 column names provided for a DataFrame of width 9,2024-06-24 16:06:41.039650
2818,"could not create a new DataFrame: series ""column_0"" has length 15 while series ""column_6"" has length 4",2024-06-24 16:06:41.324407
5701,int too big to convert,2024-06-24 16:06:43.051001
3432,"could not append value: 15155300000000000000 of type: u64 to the builder; make sure that all rows have the same schema or consider increasing `infer_schema_length`

it might also be that a value overflows the data-type's capacity",2024-06-24 16:06:43.761894
5738,int too big to convert,2024-06-24 16:06:44.223115
5858,6 column names provided for a DataFrame of width 11,2024-06-24 16:06:45.019233
2937,"could not create a new DataFrame: series ""column_0"" has length 3 while series ""column_6"" has length 2",2024-06-24 16:06:45.446372
5934,6 column names provided for a DataFrame of width 9,2024-06-24 16:06:45.777249
2933,"could not create a new DataFrame: series ""column_0"" has length 5 while series ""column_6"" has length 1",2024-06-24 16:06:46.285602
2932,"could not create a new DataFrame: series ""column_0"" has length 5 while series ""column_6"" has length 2",2024-06-24 16:06:46.641549
2876,"could not create a new DataFrame: series ""column_0"" has length 16 while series ""column_6"" has length 2",2024-06-24 16:06:47.727438
5812,int too big to convert,2024-06-24 16:06:47.983117
2875,int too big to convert,2024-06-24 16:06:48.316001
2877,"could not create a new DataFrame: series ""column_0"" has length 16 while series ""column_6"" has length 2",2024-06-24 16:06:48.849420
2871,int too big to convert,2024-06-24 16:06:49.110114
2882,"could not create a new DataFrame: series ""column_0"" has length 15 while series ""column_6"" has length 1",2024-06-24 16:06:49.408912
2905,"could not create a new DataFrame: series ""column_0"" has length 13 while series ""column_6"" has length 1",2024-06-24 16:06:49.897209
2897,int too big to convert,2024-06-24 16:06:50.596101
2931,"could not create a new DataFrame: series ""column_0"" has length 12 while series ""column_6"" has length 2",2024-06-24 16:06:51.410231
2904,"could not create a new DataFrame: series ""column_0"" has length 14 while series ""column_6"" has length 3",2024-06-24 16:06:51.700005
5703,int too big to convert,2024-06-24 16:06:52.050935
2925,"could not create a new DataFrame: series ""column_0"" has length 13 while series ""column_6"" has length 2",2024-06-24 16:06:52.299597
2901,"could not create a new DataFrame: series ""column_0"" has length 14 while series ""column_6"" has length 3",2024-06-24 16:06:54.141497
2924,"could not create a new DataFrame: series ""column_0"" has length 16 while series ""column_6"" has length 2",2024-06-24 16:06:54.407202
2903,"could not create a new DataFrame: series ""column_0"" has length 16 while series ""column_6"" has length 2",2024-06-24 16:06:55.135137
2930,"could not create a new DataFrame: series ""column_0"" has length 12 while series ""column_6"" has length 6",2024-06-24 16:06:55.549244
6232,"could not create a new DataFrame: series ""column_0"" has length 7 while series ""column_6"" has length 2",2024-06-24 16:06:56.542882
2926,"could not create a new DataFrame: series ""column_0"" has length 15 while series ""column_6"" has length 2",2024-06-24 16:06:57.295884
2915,"could not create a new DataFrame: series ""column_0"" has length 14 while series ""column_6"" has length 4",2024-06-24 16:06:57.657847
2914,int too big to convert,2024-06-24 16:06:59.300215
2927,"could not create a new DataFrame: series ""column_0"" has length 12 while series ""column_6"" has length 5",2024-06-24 16:06:59.960972
6525,int too big to convert,2024-06-24 16:07:00.262775
4404,"could not create a new DataFrame: series ""column_0"" has length 15 while series ""column_6"" has length 1",2024-06-24 16:07:00.706956
2923,"could not create a new DataFrame: series ""column_0"" has length 14 while series ""column_6"" has length 5",2024-06-24 16:07:01.222327
5724,"could not create a new DataFrame: series ""column_0"" has length 15 while series ""column_6"" has length 1",2024-06-24 16:07:01.832216
6600,int too big to convert,2024-06-24 16:07:02.161091
2918,"could not create a new DataFrame: series ""column_0"" has length 13 while series ""column_6"" has length 4",2024-06-24 16:07:03.028393
5807,"could not create a new DataFrame: series ""column_0"" has length 14 while series ""column_6"" has length 2",2024-06-24 16:07:03.515688
5715,"could not append value: 11085100000000000000 of type: u64 to the builder; make sure that all rows have the same schema or consider increasing `infer_schema_length`

it might also be that a value overflows the data-type's capacity",2024-06-24 16:07:03.982935
5714,int too big to convert,2024-06-24 16:07:05.989267
5741,int too big to convert,2024-06-24 16:07:06.481576
6523,int too big to convert,2024-06-24 16:07:07.015997
5706,int too big to convert,2024-06-24 16:07:07.506301
5726,"could not create a new DataFrame: series ""column_0"" has length 16 while series ""column_6"" has length 2",2024-06-24 16:07:07.904360
5711,int too big to convert,2024-06-24 16:07:09.191785
5802,int too big to convert,2024-06-24 16:07:09.696126
5803,int too big to convert,2024-06-24 16:07:11.079808
5805,"could not append value: 9682500000000000000 of type: u64 to the builder; make sure that all rows have the same schema or consider increasing `infer_schema_length`

it might also be that a value overflows the data-type's capacity",2024-06-24 16:07:11.534014
5713,int too big to convert,2024-06-24 16:07:12.021313
5851,"could not create a new DataFrame: series ""column_0"" has length 15 while series ""column_6"" has length 4",2024-06-24 16:07:12.546707
6502,int too big to convert,2024-06-24 16:07:12.864552
5801,int too big to convert,2024-06-24 16:07:13.847165
6614,"could not create a new DataFrame: series ""column_0"" has length 5 while series ""column_6"" has length 2",2024-06-24 16:07:14.306387
5857,int too big to convert,2024-06-24 16:07:14.891947
5852,"could not create a new DataFrame: series ""column_0"" has length 16 while series ""column_6"" has length 1",2024-06-24 16:07:15.238867
4062,int too big to convert,2024-06-24 16:07:17.017851
4902,int too big to convert,2024-06-24 16:07:17.366779
6671,6 column names provided for a DataFrame of width 9,2024-06-24 16:07:17.799931
6501,int too big to convert,2024-06-24 16:07:18.337364
6503,int too big to convert,2024-06-24 16:07:18.988096
6665,int too big to convert,2024-06-24 16:07:19.801257
6507,"could not create a new DataFrame: series ""column_0"" has length 16 while series ""column_6"" has length 2",2024-06-24 16:07:20.436947
6506,int too big to convert,2024-06-24 16:07:20.852049
6504,int too big to convert,2024-06-24 16:07:21.493755
6448,int too big to convert,2024-06-24 16:07:22.059259
6508,int too big to convert,2024-06-24 16:07:23.790864
3105,int too big to convert,2024-06-24 16:07:24.157841
6592,int too big to convert,2024-06-24 16:07:24.535846
6479,int too big to convert,2024-06-24 16:07:25.102355
6588,int too big to convert,2024-06-24 16:07:25.702950
6615,"could not create a new DataFrame: series ""column_0"" has length 8 while series ""column_6"" has length 5",2024-06-24 16:07:26.120059
6620,"could not create a new DataFrame: series ""column_0"" has length 12 while series ""column_6"" has length 2",2024-06-24 16:07:26.484030
6618,"could not create a new DataFrame: series ""column_0"" has length 13 while series ""column_6"" has length 2",2024-06-24 16:07:26.885094
6699,"could not create a new DataFrame: series ""column_0"" has length 5 while series ""column_6"" has length 1",2024-06-24 16:07:27.358352
6625,"could not create a new DataFrame: series ""column_0"" has length 10 while series ""column_6"" has length 4",2024-06-24 16:07:28.559547
6594,int too big to convert,2024-06-24 16:07:29.087952
6759,6 column names provided for a DataFrame of width 9,2024-06-24 16:07:29.948240
6696,"could not create a new DataFrame: series ""column_0"" has length 8 while series ""column_6"" has length 2",2024-06-24 16:07:30.291152
6627,"could not create a new DataFrame: series ""column_0"" has length 14 while series ""column_6"" has length 3",2024-06-24 16:07:30.767420
6632,int too big to convert,2024-06-24 16:07:31.258727
6719,"could not create a new DataFrame: series ""column_0"" has length 10 while series ""column_6"" has length 1",2024-06-24 16:07:32.019754
6716,"could not create a new DataFrame: series ""column_0"" has length 9 while series ""column_6"" has length 1",2024-06-24 16:07:32.335589
6622,int too big to convert,2024-06-24 16:07:32.768741
6658,"could not create a new DataFrame: series ""column_0"" has length 16 while series ""column_6"" has length 2",2024-06-24 16:07:33.248016
6645,int too big to convert,2024-06-24 16:07:34.558502
6694,"could not create a new DataFrame: series ""column_0"" has length 9 while series ""column_6"" has length 2",2024-06-24 16:07:35.105957
6709,"could not create a new DataFrame: series ""column_0"" has length 13 while series ""column_6"" has length 1",2024-06-24 16:07:35.377679
6702,int too big to convert,2024-06-24 16:07:37.216571
6677,"could not create a new DataFrame: series ""column_0"" has length 14 while series ""column_6"" has length 3",2024-06-24 16:07:37.580543
6730,"could not create a new DataFrame: series ""column_0"" has length 16 while series ""column_6"" has length 2",2024-06-24 16:07:38.169105
6674,int too big to convert,2024-06-24 16:07:38.840891
6703,int too big to convert,2024-06-24 16:07:40.741947
6707,int too big to convert,2024-06-24 16:07:41.312468
6721,"could not create a new DataFrame: series ""column_0"" has length 16 while series ""column_6"" has length 2",2024-06-24 16:07:41.728571
6701,int too big to convert,2024-06-24 16:07:42.237931
6818,"could not create a new DataFrame: series ""column_0"" has length 2 while series ""column_6"" has length 1",2024-06-24 16:07:42.920742
6728,int too big to convert,2024-06-24 16:07:43.452155
6723,int too big to convert,2024-06-24 16:07:43.799078
6740,int too big to convert,2024-06-24 16:07:44.177083
6724,int too big to convert,2024-06-24 16:07:45.222865
6757,"could not create a new DataFrame: series ""column_0"" has length 15 while series ""column_6"" has length 1",2024-06-24 16:07:46.982547
6796,"could not create a new DataFrame: series ""column_0"" has length 10 while series ""column_6"" has length 1",2024-06-24 16:07:47.775654
6773,int too big to convert,2024-06-24 16:07:48.357204
6753,int too big to convert,2024-06-24 16:07:49.079120
6769,"could not create a new DataFrame: series ""column_0"" has length 14 while series ""column_6"" has length 3",2024-06-24 16:07:49.838141
6758,int too big to convert,2024-06-24 16:07:50.388603
6752,int too big to convert,2024-06-24 16:07:50.826773
6762,int too big to convert,2024-06-24 16:07:51.416337
6778,"could not create a new DataFrame: series ""column_0"" has length 15 while series ""column_6"" has length 2",2024-06-24 16:07:52.804030
