Symbol,Error,Time
2289,"(""Expected bytes, got a 'int' object"", 'Conversion failed for column ichikabuhaitou with type object')",2024-07-26 13:31:19.901126
2538,"(""Could not convert '赤字' with type str: tried to convert to int64"", 'Conversion failed for column ichikabuhaitou with type object')",2024-07-26 13:31:20.757404
2906,"(""Expected bytes, got a 'int' object"", 'Conversion failed for column ichikabuhaitou with type object')",2024-07-26 13:31:21.306864
2912,"(""Expected bytes, got a 'int' object"", 'Conversion failed for column ichikabuhaitou with type object')",2024-07-26 13:31:21.410138
5701,"(""Expected bytes, got a 'int' object"", 'Conversion failed for column ichikabuhaitou with type object')",2024-07-26 13:31:21.595631
3432,"(""Expected bytes, got a 'int' object"", 'Conversion failed for column ichikabuhaitou with type object')",2024-07-26 13:31:21.749041
5739,"(""Could not convert '赤字' with type str: tried to convert to int64"", 'Conversion failed for column ichikabuhaitou with type object')",2024-07-26 13:31:21.777115
5738,"(""Could not convert '赤字' with type str: tried to convert to int64"", 'Conversion failed for column ichikabuhaitou with type object')",2024-07-26 13:31:21.902446
5804,"(""Could not convert '赤字' with type str: tried to convert to int64"", 'Conversion failed for column ichikabuhaitou with type object')",2024-07-26 13:31:21.971631
5812,"(""Could not convert '赤字' with type str: tried to convert to int64"", 'Conversion failed for column ichikabuhaitou with type object')",2024-07-26 13:31:22.012744
6708,"(""Could not convert '赤字' with type str: tried to convert to int64"", 'Conversion failed for column ichikabuhaitou with type object')",2024-07-26 13:31:22.989337
6657,"(""Could not convert '赤字' with type str: tried to convert to int64"", 'Conversion failed for column ichikabuhaitou with type object')",2024-07-26 13:31:23.020420
6738,"(""Expected bytes, got a 'int' object"", 'Conversion failed for column ichikabuhaitou with type object')",2024-07-26 13:31:23.482649
6812,"(""Expected bytes, got a 'int' object"", 'Conversion failed for column ichikabuhaitou with type object')",2024-07-26 13:31:23.908781
6842,"(""Could not convert '赤字' with type str: tried to convert to int64"", 'Conversion failed for column ichikabuhaitou with type object')",2024-07-26 13:31:24.772077
6868,"(""Could not convert '赤字' with type str: tried to convert to int64"", 'Conversion failed for column ichikabuhaitou with type object')",2024-07-26 13:31:25.031768
6885,"(""Could not convert '赤字' with type str: tried to convert to int64"", 'Conversion failed for column ichikabuhaitou with type object')",2024-07-26 13:31:25.118999
6893,"(""Could not convert '赤字' with type str: tried to convert to int64"", 'Conversion failed for column ichikabuhaitou with type object')",2024-07-26 13:31:25.161111
6900,"(""Could not convert '赤字' with type str: tried to convert to int64"", 'Conversion failed for column ichikabuhaitou with type object')",2024-07-26 13:31:25.340588
6922,"(""Expected bytes, got a 'int' object"", 'Conversion failed for column ichikabuhaitou with type object')",2024-07-26 13:31:25.925142
8328,"(""Could not convert '赤字' with type str: tried to convert to int64"", 'Conversion failed for column ichikabuhaitou with type object')",2024-07-26 13:31:28.574185
8528,"(""Could not convert '赤字' with type str: tried to convert to int64"", 'Conversion failed for column ichikabuhaitou with type object')",2024-07-26 13:31:29.289088
8556,"(""Expected bytes, got a 'int' object"", 'Conversion failed for column ichikabuhaitou with type object')",2024-07-26 13:31:29.382335
8561,"(""Could not convert '赤字' with type str: tried to convert to int64"", 'Conversion failed for column ichikabuhaitou with type object')",2024-07-26 13:31:29.472575
5407,"(""Could not convert '赤字' with type str: tried to convert to int64"", 'Conversion failed for column ichikabuhaitou with type object')",2024-07-26 13:31:30.022037
5479,"(""Could not convert '赤字' with type str: tried to convert to int64"", 'Conversion failed for column ichikabuhaitou with type object')",2024-07-26 13:31:30.038077
5641,"(""Could not convert '赤字' with type str: tried to convert to int64"", 'Conversion failed for column ichikabuhaitou with type object')",2024-07-26 13:31:30.978754
5919,"(""Could not convert '赤字' with type str: tried to convert to int64"", 'Conversion failed for column ichikabuhaitou with type object')",2024-07-26 13:31:31.260504
5954,"(""Could not convert '赤字' with type str: tried to convert to int64"", 'Conversion failed for column ichikabuhaitou with type object')",2024-07-26 13:31:31.814977
5450,"(""Could not convert '赤字' with type str: tried to convert to int64"", 'Conversion failed for column ichikabuhaitou with type object')",2024-07-26 13:31:32.424599
4233,"(""Could not convert '赤字' with type str: tried to convert to int64"", 'Conversion failed for column ichikabuhaitou with type object')",2024-07-26 13:31:33.187627
5605,"(""Could not convert '赤字' with type str: tried to convert to int64"", 'Conversion failed for column ichikabuhaitou with type object')",2024-07-26 13:31:33.207681
7223,"(""Could not convert '赤字' with type str: tried to convert to int64"", 'Conversion failed for column ichikabuhaitou with type object')",2024-07-26 13:31:33.367104
7221,"(""Could not convert '赤字' with type str: tried to convert to int64"", 'Conversion failed for column ichikabuhaitou with type object')",2024-07-26 13:31:33.652863
8607,"(""Could not convert '赤字' with type str: tried to convert to int64"", 'Conversion failed for column ichikabuhaitou with type object')",2024-07-26 13:31:34.410880
8606,"(""Could not convert '赤字' with type str: tried to convert to int64"", 'Conversion failed for column ichikabuhaitou with type object')",2024-07-26 13:31:34.454998
8749,"(""Could not convert '赤字' with type str: tried to convert to int64"", 'Conversion failed for column ichikabuhaitou with type object')",2024-07-26 13:31:34.572308
8738,"(""Could not convert '赤字' with type str: tried to convert to int64"", 'Conversion failed for column ichikabuhaitou with type object')",2024-07-26 13:31:34.823979
8702,"(""Could not convert '赤字' with type str: tried to convert to int64"", 'Conversion failed for column ichikabuhaitou with type object')",2024-07-26 13:31:34.868096
3585,"(""Could not convert '赤字' with type str: tried to convert to int64"", 'Conversion failed for column ichikabuhaitou with type object')",2024-07-26 13:31:35.106731
3605,"(""Could not convert '赤字' with type str: tried to convert to int64"", 'Conversion failed for column ichikabuhaitou with type object')",2024-07-26 13:31:35.443625
6667,"(""Expected bytes, got a 'int' object"", 'Conversion failed for column ichikabuhaitou with type object')",2024-07-26 13:31:35.602046
7756,"(""Could not convert '赤字' with type str: tried to convert to int64"", 'Conversion failed for column ichikabuhaitou with type object')",2024-07-26 13:31:36.454313
5016,"(""Could not convert '赤字' with type str: tried to convert to int64"", 'Conversion failed for column ichikabuhaitou with type object')",2024-07-26 13:31:36.573630
