Symbol,signal,period
QQQ,SAH,225
QQQ,GRBK,221
QQQ,CMG,247
QQQ,HUBG,223
QQQ,INAQU,168
QQQ,ASO,197
QQQ,FELE,226
QQQ,GTX,223
QQQ,ALORU,105
QQQ,CDAQ,90
QQQ,NSSC,223
QQQ,NCACU,120
QQQ,CBRGU,96
QQQ,NSP,227
QQQ,ENCPU,99
QQQ,ENPH,201
QQQ,ALPA,135
QQQ,CLH,201
QQQ,PRGS,193
QQQ,IBN,200
QQQ,PRLHU,107
QQQ,PFTA,134
QQQ,MCAGU,113
QQQ,GATEU,137
QQQ,MCAAU,125
QQQ,SEPA,149
QQQ,CDRE,121
QQQ,AN,228
QQQ,CDNS,226
QQQ,MITA,157
QQQ,DKS,198
QQQ,GFS,134
QQQ,APXIU,110
QQQ,DPCSU,106
QQQ,CBFV,287
QQQ,TRTL,141
QQQ,XPDBU,100
QQQ,RCACU,110
QQQ,VBFC,287
QQQ,EVBN,279
QQQ,VHNAU,106
QQQ,SCRMU,84
QQQ,TRON,170
QQQ,MTRN,226
QQQ,FDS,200
QQQ,MTSI,238
QQQ,JUGG,155
QQQ,OPOF,230
QQQ,WCC,224
QQQ,GABC,278
QQQ,USCTU,127
QQQ,GGAL,268
QQQ,TSBK,224
QQQ,GATE,86
QQQ,MYE,230
QQQ,GHI,280
QQQ,PANL,228
QQQ,CXAI,228
QQQ,AMR,230
QQQ,IVCBU,46
QQQ,TRGP,232
QQQ,BCPC,223
QQQ,RIO,289
QQQ,AIR,228
QQQ,KOS,229
QQQ,MUFG,290
QQQ,ARCH,230
QQQ,IVCPU,45
QQQ,PEPLU,161
QQQ,ULTA,198
QQQ,FCN,235
QQQ,CZFS,224
QQQ,ETN,224
QQQ,OZK,256
QQQ,MGLD,112
QQQ,TOACU,71
QQQ,BHB,259
QQQ,UBFO,258
QQQ,AMBI,232
QQQ,BHAC,52
QQQ,SHEL,231
QQQ,ROCAU,122
QQQ,LFAC,100
QQQ,GPK,230
QQQ,LGSTU,109
