,Symbol,Sharpe,Sortino
0,AAPL,0.64,1.03
1,META,0.7,1.27
2,GOOGL,0.72,1.26
3,PDD,0.75,1.55
4,GOOG,0.73,1.26
5,LULU,0.57,1.02
6,TSM,0.54,0.88
7,ZIM,0.01,0.02
8,ZM,0.4,0.74
9,AVGO,1.13,2.16
10,CLR,0.47,0.8
11,NFLX,0.76,1.36
12,EQNR,0.56,0.91
13,ESTE,0.45,0.91
14,SBUX,0.63,1.0
15,ETSY,0.91,1.8
16,DELL,0.66,1.03
17,MO,0.64,0.98
18,MRNA,0.98,2.45
19,LIN,0.61,1.04
20,NTES,0.75,1.59
21,EPD,0.69,1.12
22,CAN,0.47,1.27
23,LOGI,0.5,0.86
24,ENB,0.65,1.03
25,BX,0.59,0.93
26,SONO,0.46,0.85
27,NDAQ,0.6,1.02
28,BJ,1.06,2.37
29,YUMC,0.55,0.91
30,IBN,0.51,0.9
31,HD,0.76,1.29
32,CLAR,0.57,0.83
33,TRMD,1.1,2.17
34,RVLV,0.49,0.73
35,NE,0.74,1.3
36,BNS,0.53,0.84
37,SCCO,0.56,0.97
38,CSIQ,0.47,0.86
39,DGX,0.57,0.99
40,KDP,1.1,2.36
41,BNTX,1.0,2.14
42,TD,0.56,0.85
43,FLNG,1.21,2.27
44,CNQ,0.56,0.92
45,CSAN,0.21,0.32
46,MAR,0.46,0.77
47,ASO,1.26,2.49
48,SCHW,0.58,1.0
49,DLTR,0.58,0.93
50,CHK,1.98,4.01
51,CRC,1.34,2.84
52,PENN,0.59,1.06
53,TALO,0.49,0.82
54,INMD,0.61,0.93
55,ZTO,0.62,1.06
56,CF,0.74,1.23
57,HCA,0.86,1.6
58,OGN,0.01,0.01
59,TH,0.48,1.19
60,RACE,0.89,1.7
61,BMO,0.56,0.87
62,UNH,0.8,1.25
63,FISV,0.65,1.06
64,GNRC,0.83,1.59
65,EXPD,0.66,1.12
66,OTEX,0.47,0.9
67,SRE,0.6,0.93
68,RY,0.67,1.09
69,ATKR,0.62,1.22
70,TSLX,0.62,0.94
71,SWBI,0.47,1.02
72,CHTR,0.88,1.57
73,GRMN,0.51,0.8
74,GIII,0.47,0.78
75,ERO,0.43,0.77
76,CTVA,1.28,2.35
77,POWI,0.49,0.87
78,FRHC,1.5,4.07
79,DFS,0.6,0.89
80,DG,0.94,1.69
81,ABBV,0.8,1.38
82,DEN,1.59,3.8
83,CHT,0.74,1.32
84,MMP,0.69,1.09
85,SMCI,0.54,0.85
86,AHCO,0.55,0.93
87,BLK,0.7,1.19
88,OZK,0.56,0.92
89,VIST,0.57,0.84
90,AN,0.37,1.03
91,VRRM,0.47,0.65
92,LKQ,0.69,1.08
93,AMGN,0.64,1.19
94,ALGN,0.58,1.07
95,DEO,0.51,0.8
96,EXPI,0.73,1.84
97,CWEN,0.9,1.49
98,CQP,0.61,1.07
99,CCAP,1.25,2.13
100,GIL,0.61,0.99
101,XPO,0.5,0.91
102,HDB,0.69,1.2
103,RYI,0.53,0.94
104,ITT,0.51,0.82
105,THRY,0.99,2.11
106,KMX,0.43,0.8
107,YUM,0.59,0.96
108,GPI,0.47,0.77
109,EME,0.56,0.91
110,ECPG,0.43,0.97
111,FLGT,0.6,1.39
112,POOL,0.82,1.52
113,HOMB,0.53,0.81
114,SBSI,0.57,0.99
115,ACA,0.86,1.51
116,WHD,0.5,0.77
117,ASLE,0.73,1.24
118,CSWI,0.82,1.47
119,WD,0.72,1.26
120,BANF,0.67,1.05
121,ARES,0.88,1.56
122,MBUU,0.54,0.83
123,BLD,0.86,1.44
124,BKI,0.43,0.65
125,PB,0.56,0.9
126,BAH,0.94,1.83
127,ROP,0.68,1.12
128,AVTR,0.47,0.86
129,PWR,0.44,0.68
130,FOXF,0.66,1.07
131,MTD,0.69,1.12
132,EQH,0.67,1.07
133,ICE,0.65,1.09
134,HII,0.91,1.54
135,WH,0.48,0.71
136,ESQ,0.59,0.82
137,RLI,0.68,1.11
138,CNI,0.71,1.22
139,DIOD,0.55,1.05
140,VIR,0.62,1.89
141,USNA,0.46,0.95
142,LII,0.63,1.07
143,LITE,0.64,1.13
144,SJR,0.41,0.68
145,CTXS,0.49,0.93
146,UONE,0.24,1.55
147,RUSHA,0.51,0.87
148,SYBT,0.63,1.09
149,FND,0.45,0.71
150,CCB,0.79,1.52
151,LCII,0.56,1.01
152,IOSP,0.43,0.79
153,BSIG,0.51,0.84
154,IBCP,0.65,1.79
155,STRL,0.4,0.91
156,ICFI,0.54,0.94
157,ERIE,0.51,0.94
158,NXST,0.45,1.05
159,MED,0.48,0.98
160,EBC,0.59,0.96
161,AZO,0.62,1.03
162,FSV,0.76,1.16
163,NVT,0.54,0.8
164,ULTA,0.74,1.22
165,HESM,0.53,0.93
166,SKX,0.5,0.9
167,OGS,0.6,1.02
168,ABG,0.54,0.99
169,MOH,0.58,0.93
170,RLGT,0.52,1.06
171,MCB,0.46,0.7
172,NEP,0.62,0.97
173,NSP,0.48,0.82
174,DHR,0.76,1.35
175,VCTR,0.93,1.73
176,MIDD,0.61,1.07
177,FNKO,0.72,1.19
178,PNFP,0.59,0.99
179,KEYS,0.85,1.48
180,APH,0.64,1.06
181,BIP,1.11,1.96
182,WAT,0.58,0.92
183,CNC,0.66,1.11
184,ABC,0.57,0.89
185,TDY,0.54,1.04
186,IBP,0.69,1.15
187,TBK,0.68,1.11
188,DTM,0.99,1.55
189,SAH,0.38,0.84
190,BRO,0.73,1.34
191,LGIH,0.62,1.08
192,PKG,0.56,0.9
193,TNET,0.5,0.78
194,AYI,0.56,0.92
195,YETI,0.7,1.15
196,DKS,0.6,1.01
197,SAIA,0.59,1.0
198,AXTI,0.33,0.69
199,MGY,0.6,1.03
200,JBT,0.73,1.29
201,SYNA,0.54,0.92
202,RBA,0.56,0.91
203,SNBR,0.38,0.77
204,CCS,0.52,0.8
205,GDEN,0.67,1.11
206,ORLY,0.69,1.23
207,VRTS,0.71,1.28
208,MYFW,0.78,1.49
209,ATSG,0.37,1.08
210,CLBK,0.48,0.78
211,HRT,0.24,0.46
212,HLI,0.88,1.66
213,SYK,0.64,1.07
214,KEN,1.04,2.12
215,ENSG,0.81,1.43
216,RSG,0.55,0.79
217,AMSF,0.59,1.02
218,ASR,0.58,0.9
219,ICHR,0.58,1.01
220,RE,0.49,0.81
221,CFR,0.68,1.16
222,CNXC,0.61,1.06
223,WMS,0.81,1.41
224,AMEH,0.58,2.41
225,CTLT,0.57,0.91
226,SNX,0.55,0.89
227,ACGL,0.52,0.81
228,RS,0.6,1.0
229,LECO,0.53,0.87
230,WSC,0.77,1.17
231,DXPE,0.43,0.76
232,HLIO,0.47,0.84
233,FSBW,0.85,1.36
234,SOHU,0.4,0.84
235,FCN,0.51,0.81
236,ONTO,0.78,1.36
237,JKHY,0.83,1.59
238,IMXI,0.62,1.3
239,MUSA,0.86,1.78
240,AMTB,0.6,1.15
241,BWB,0.66,0.98
242,AMPH,0.48,0.82
243,PFHD,1.39,3.82
244,LOVE,0.46,0.94
245,CHRW,0.58,1.01
246,ACMR,0.92,2.3
247,CHRD,2.06,7.17
248,NVEE,0.92,1.68
249,NPO,0.58,1.0
250,COLM,0.45,0.77
251,CC,0.8,1.38
252,EL,0.56,0.91
253,EXLS,0.54,0.82
254,CABO,0.7,1.11
255,IQV,0.76,1.4
256,SNEX,0.46,1.03
257,ELV,0.67,1.06
258,CBZ,0.36,1.02
259,SAFT,0.69,1.14
260,TSCO,0.6,1.13
261,CALM,0.46,1.0
262,CENTA,0.52,0.84
263,CHH,0.52,0.82
264,STZ,0.62,1.02
265,EGBN,0.53,0.89
266,BOOT,0.58,1.0
267,AMRK,0.76,1.68
268,FRC,0.72,1.21
269,FIZZ,0.55,1.07
270,CVCO,0.58,1.02
271,GOLF,0.74,1.32
272,TDG,1.03,1.65
273,MEDP,0.76,1.37
274,NTAP,0.47,0.83
275,SITE,0.78,1.29
276,MBIN,0.62,0.99
277,VRTV,0.46,0.85
278,AJRD,0.63,1.21
279,ONEW,0.68,1.05
280,LSTR,0.59,0.99
281,DOOO,0.52,0.87
282,DPZ,0.76,1.24
283,RCUS,0.6,1.29
284,TQQQ,0.84,1.42
285,SOXL,0.71,1.16
286,DRUG,0.04,0.08
287,TSLA,0.97,2.38
288,GFAI,0.06,0.13
289,OSCR,0.12,0.2
290,NVDA,0.64,1.13
291,FNGU,0.78,1.39
292,NIO,0.75,1.6
293,UPRO,0.74,1.16
294,AMZN,0.67,1.32
295,AMC,0.35,1.4
296,SPXL,0.77,1.2
297,SHOP,1.0,1.72
298,QLD,0.67,1.04
299,OKTA,0.77,1.34
300,UEC,0.39,0.77
301,CHPT,0.54,1.51
302,LCID,0.65,1.75
303,MSFT,0.75,1.34
304,DKNG,0.56,1.25
305,VOO,0.87,1.38
306,SENS,0.36,0.89
307,BITF,0.82,2.27
308,HUT,0.69,1.52
309,SE,0.82,1.56
310,SIGA,0.39,0.8
