Symbol,Balabce,Period
2747,102.0394054614587,31
9468,91.21967885206696,229
4178,86.71602787456446,35
ZIVO,30.00000183398914,33
COSM,27.803031031668354,32
CABA,14.426666259765625,17
APTO,13.790697045813655,5
GDXU,13.476702146314151,36
BTCS,12.821612091952279,18
GNS,9.949999899417163,7
ELVN,9.772727371247345,85
MRIN,9.337142944335938,5
3856,9.310344631635056,100
6573,8.831967213114755,15
2767,8.794625719769673,129
ATIF,8.490196087597793,4
TOP,7.882845168249695,4
KALA,7.666666730757682,3
7901,7.58130081300813,25
DWACU,7.011810918669977,6
SMCI,6.943592686200082,287
AEHR,6.926470571477933,43
AGLE,6.842387329250703,8
MLTX,6.782493322066316,151
SANG,6.666666794333911,45
3041,6.586080586080586,275
UCL,6.447140185780543,44
ERNA,6.017499923706055,6
BGLC,5.954545226717782,19
RYTM,5.9357543164419315,31
4575,5.768595041322314,114
RENB,5.724507979131764,16
7018,5.604304635761589,89
ACIC,5.444444334065477,106
BLPH,5.438889011777481,17
TUP,5.301587205474999,6
INDV,5.291110892792024,10
TSHA,5.275362489103796,11
TROO,5.2662717853205825,21
VKTX,5.257627111246996,108
LMB,5.155243895491538,71
6016,5.105769230769231,227
AAOI,5.0862071251188885,73
BBAI,5.079999923706055,15
7578,5.017391304347826,53
7692,5.0161944785778765,104
VTNR,4.889610646968957,20
CVNA,4.836443801729113,19
HUSA,4.8217054062985385,13
6430,4.811965811965812,231
IMGN,4.8025638677508065,22
PHUN,4.800000181652259,4
2998,4.79539641943734,78
8139,4.727722772277228,199
ETNB,4.593749871943148,109
BTCY,4.500000279396779,7
SQL,4.48430489438057,4
LEDS,4.451219615732044,16
NINE,4.445454327725186,3
SY,4.407665448059745,22
VRNA,4.394129804671705,103
9252,4.375764993880049,52
MOD,4.36245331117311,217
5726,4.3605359317904995,108
VIRI,4.354066979505485,57
BPT,4.316382475697563,87
GREEL,4.282655176286797,12
AAMC,4.249642587942267,42
BMEA,4.2229729185494485,29
HKIT,4.181184835713808,8
MPU,4.139886809762137,34
PBTS,4.13680763477898,43
ARBKL,4.084337557914352,4
HUDI,4.0683230636875996,10
MRKR,4.061538771905854,31
3181,4.047863247863248,102
RHE,4.014888204173378,5
MNSO,3.9346501090383548,163
IONQ,3.9229210600409576,80
AKRO,3.918349404991811,76
VS,3.9041093563939615,24
