Symbol,Balabce,Period
2747,103.18070604683678,31
6775,101.23456790123457,11
7373,94.88264717198922,17
9468,94.08033826638477,229
4178,91.45613229214516,35
ZIVO,32.500001521160236,33
COSM,30.58333465270701,32
REUN,24.495292425287683,2
DTST,22.954546445903706,2
HKD,21.622466365497996,2
METX,18.799999672174458,2
FLGC,17.596153895750906,63
3936,15.986001291517658,27
GNS,15.375000009313226,7
CABA,15.048678675248189,17
GDXU,14.559374830732125,36
BTCS,14.150944160116529,18
GLMD,13.84615435402776,2
APTO,13.83720862859002,5
MRIN,10.874286106654576,5
TOP,10.855690857558663,4
2767,10.69865642994242,117
3856,10.634482534800929,88
ELVN,10.388888634682774,85
AMAM,10.324137775679695,72
FNGR,9.759759633980948,2
7692,9.368030204746086,104
KALA,9.139784875943187,3
NYC,9.077381235790234,2
IVT,8.678571376439088,13
ATIF,8.557312400558304,4
DWACU,8.223618908086994,6
7901,8.208629164391043,25
UCL,7.798959842172692,44
ERNA,7.4984426289706425,6
PGY,7.23272705078125,3
VKTX,7.21917786744058,108
AEHR,7.13602928060613,43
ENLT,7.098039498012009,2
4011,7.07202216066482,33
LWLG,6.78000005086263,6
SANG,6.7183668424963106,45
CUEN,6.666667074219808,6
MKUL,6.457249245258971,4
4575,6.37603305785124,114
INDV,6.304761907645274,10
9553,6.2,71
9560,6.178947368421053,60
GREEL,6.167023698908482,12
VIRI,6.134185292563121,57
RYTM,6.121052768620099,31
AEMD,6.091954208834669,6
ARBKL,5.882352776180919,4
VTNR,5.844155988920038,20
ETNB,5.750000034255542,109
SMCI,5.746265068457953,287
UIHC,5.687500153668222,106
PHUN,5.643896891574413,4
BLPH,5.572222221486363,17
AMC,5.493519435797512,11
HILS,5.485436863707759,5
TPCS,5.421768459233749,102
FTFT,5.400000134110448,33
2998,5.38655462184874,90
NURO,5.3722080623811825,2
TROO,5.349112222351699,21
AHG,5.347023858391848,4
GSIT,5.3437500395812085,16
BBAI,5.337837833483956,15
HUDI,5.308641725298012,10
3989,5.246478873239437,166
ARDX,5.142857319791157,77
3041,5.065671641791044,3
8139,5.044554455445544,199
4334,5.02734375,136
9252,5.025445292620865,52
LEDS,5.0137361192412495,16
SBEV,4.88235305117351,2
3083,4.864516129032258,3
HUSA,4.860465245223681,13
MLGO,4.845833460489909,5
HYMC,4.818181727871754,4
BPT,4.770155724684992,87
GREE,4.753845957336683,15
IMGN,4.7282051495232915,20
BMEA,4.722973015205628,29
GNLX,4.717066023745492,3
PHVS,4.682819473021414,10
ISPO,4.649076617624992,9
INCR,4.623656083509568,4
AAMC,4.617055986122044,42
OTRKP,4.593023234860455,5
SKYH,4.55826071034307,7
SY,4.547038137211554,22
3181,4.547008547008547,72
TERN,4.5466664632161455,96
WLDS,4.538106330144072,7
GCTK,4.53608231585545,2
NINE,4.527777474235617,3
VAPO,4.517857072532785,9
2195,4.514106846462308,8
SQL,4.506726337240534,4
MDGL,4.4722935000281945,2
VRNA,4.438155170009442,103
TIO,4.408602014085795,16
MPU,4.394409726145046,34
NEGG,4.391705055352662,3
5726,4.38489646772229,108
DGHI,4.372092939441821,5
OPRA,4.333333002196431,38
SYM,4.315080178140258,48
AKRO,4.2954763804986,76
