Symbol,days,rr
FICV,2,12.0
GGE,37,29.999999999999936
2195,99,29.899999999999935
VTNR,18,17.99999999999998
KWE,9,29.999999999999936
ZIVO,19,29.999999999999936
9204,3,29.999999999999936
DRCT,16,29.999999999999936
AEHR,15,29.19999999999994
FLJ,67,28.99999999999994
BTU,10,29.999999999999936
7692,98,25.99999999999995
RGC,25,29.999999999999936
7946,12,29.999999999999936
GFAI,11,29.69999999999994
MPU,5,29.999999999999936
AMR,5,28.39999999999994
SILO,74,29.999999999999936
8107,9,29.999999999999936
MSGM,36,27.599999999999945
IMNM,70,28.79999999999994
LUCY,9,29.499999999999936
SGML,23,29.999999999999936
BRN,18,13.099999999999996
EUDA,93,23.39999999999996
CNXA,95,29.999999999999936
PETV,11,29.999999999999936
8139,59,17.49999999999998
BBAI,94,25.49999999999995
5820,29,12.999999999999996
DTST,19,29.999999999999936
BCTX,10,29.999999999999936
AMST,12,29.999999999999936
AVTE,19,20.29999999999997
NYMX,92,29.999999999999936
ICVX,85,24.899999999999956
MTR,3,29.999999999999936
TROO,20,29.999999999999936
3936,95,29.999999999999936
VIGL,94,29.19999999999994
CERE,3,29.999999999999936
UONEK,31,26.39999999999995
MCOM,71,29.999999999999936
ROCC,5,21.899999999999963
CIFR,2,29.599999999999937
BSGM,4,28.29999999999994
BGI,33,23.799999999999958
SJ,38,24.299999999999955
TRDA,36,29.69999999999994
APLD,11,24.599999999999955
DXLG,11,29.999999999999936
NRT,2,29.999999999999936
CEIX,20,13.699999999999994
OBLG,52,26.19999999999995
SCWO,36,29.999999999999936
NWTN,89,29.999999999999936
3083,39,29.499999999999936
SBOW,2,17.79999999999998
TNON,50,29.399999999999938
XPON,53,24.899999999999956
CAR,81,29.999999999999936
RDIB,3,29.999999999999936
ISIG,62,28.99999999999994
KOS,22,29.999999999999936
RXDX,5,26.39999999999995
PBT,25,29.999999999999936
BTCS,82,29.999999999999936
6993,2,29.999999999999936
DDS,2,27.799999999999944
GLTO,8,29.999999999999936
SYM,75,29.999999999999936
RENN,95,29.999999999999936
SOBR,53,29.999999999999936
ESTE,20,29.999999999999936
VRTV,22,29.999999999999936
LQDA,90,12.2
CPG,2,29.499999999999936
2767,48,29.999999999999936
NEXT,2,29.999999999999936
APRE,32,13.599999999999994
AEYE,20,21.699999999999967
NMTC,20,22.499999999999964
COSM,9,29.999999999999936
PRST,3,22.099999999999966
PROK,8,21.999999999999964
UEC,81,28.29999999999994
KRUS,2,28.199999999999942
KLXE,20,27.89999999999994
EM,46,29.999999999999936
NRSN,52,28.99999999999994
OBE,20,29.499999999999936
CETX,51,29.999999999999936
TXMD,99,29.999999999999936
MSTR,49,29.999999999999936
NOG,23,18.399999999999977
ARCH,14,29.999999999999936
IVDA,47,24.999999999999954
SDPI,20,27.89999999999994
FOXO,8,26.699999999999946
MREO,81,29.999999999999936
AMRK,6,29.899999999999935
HUIZ,12,29.999999999999936
CLMT,33,29.999999999999936
AMLI,54,29.999999999999936
PAVS,88,29.399999999999938
MATH,63,24.699999999999953
BIDU,22,29.999999999999936
PDSB,5,29.999999999999936
AAMC,18,29.999999999999936
3856,3,23.799999999999958
7477,91,27.89999999999994
GNLX,9,29.999999999999936
IPDN,2,28.69999999999994
LTRY,3,29.999999999999936
KALA,36,29.999999999999936
6554,99,29.999999999999936
BORR,7,18.49999999999998
GEL,2,29.999999999999936
SJT,97,29.999999999999936
HILS,51,26.19999999999995
PHAT,5,29.999999999999936
EOSE,9,29.999999999999936
EVLV,25,29.999999999999936
PBF,91,29.899999999999935
EH,7,29.099999999999937
8836,38,29.999999999999936
ENLT,4,17.49999999999998
PFMT,4,29.29999999999994
NAAS,100,29.599999999999937
PT,16,29.999999999999936
6338,56,19.699999999999974
COE,22,28.099999999999945
PACB,30,25.99999999999995
AVDL,29,20.89999999999997
HUT,11,29.999999999999936
MARA,11,29.999999999999936
MARPS,16,24.299999999999955
TAL,28,29.999999999999936
BDSX,78,25.399999999999952
SPPI,48,26.999999999999947
4169,49,28.89999999999994
PEPG,28,12.899999999999997
VIST,32,12.0
ATIF,80,29.999999999999936
OMGA,3,29.999999999999936
2388,87,15.799999999999986
CAPR,37,29.999999999999936
7901,89,26.39999999999995
NRDY,41,29.999999999999936
7033,3,18.09999999999998
3491,100,29.999999999999936
HNRG,23,29.999999999999936
ICD,99,29.999999999999936
CXAI,2,17.79999999999998
TH,37,12.399999999999999
BEKE,32,27.299999999999947
STNE,7,29.19999999999994
GOTU,16,29.69999999999994
SECO,77,18.999999999999975
QD,29,21.999999999999964
3825,63,29.399999999999938
CCJ,81,28.29999999999994
SD,14,29.999999999999936
GROV,16,29.999999999999936
4417,22,29.999999999999936
FTK,67,28.99999999999994
IQ,78,29.999999999999936
ELYM,44,29.999999999999936
GOCO,22,25.89999999999995
RIGL,35,28.89999999999994
ACON,63,29.999999999999936
4575,46,29.999999999999936
HCTI,95,21.699999999999967
KA,8,29.999999999999936
CRT,4,29.999999999999936
FLNG,16,19.299999999999976
VTVT,27,17.99999999999998
MVO,3,29.999999999999936
COIN,21,29.999999999999936
HCC,12,29.099999999999937
TRKA,18,29.999999999999936
YMM,25,27.89999999999994
FET,20,29.999999999999936
WFRD,24,15.399999999999988
ANPC,4,29.999999999999936
TUSK,26,23.999999999999957
SBR,9,29.999999999999936
SAI,2,26.09999999999995
SURG,89,29.999999999999936
2872,35,29.999999999999936
3697,5,29.999999999999936
DM,37,29.999999999999936
MGY,20,29.999999999999936
RAIN,37,25.299999999999955
UUUU,81,18.899999999999977
ASLN,6,28.79999999999994
INBS,65,13.499999999999995
SPLP,16,22.099999999999966
NSYS,39,15.099999999999989
NINE,38,20.19999999999997
KYMR,8,29.999999999999936
9101,22,13.799999999999994
2934,41,20.89999999999997
9107,22,25.89999999999995
JANX,4,19.799999999999972
CPSS,3,29.19999999999994
LEU,81,29.999999999999936
1518,34,29.999999999999936
ISEE,45,23.899999999999956
WVE,52,29.399999999999938
SEED,63,29.999999999999936
CABA,44,23.899999999999956
ARCT,89,15.599999999999987
LNTH,4,29.999999999999936
IPWR,69,29.999999999999936
HPK,79,29.399999999999938
7878,23,29.69999999999994
MITQ,96,29.999999999999936
SAVA,65,29.999999999999936
ANIX,18,29.999999999999936
DIT,2,29.999999999999936
5726,94,29.999999999999936
DADA,19,29.999999999999936
RBLX,60,29.999999999999936
OMER,57,29.999999999999936
AEHL,3,27.399999999999945
IKNA,80,29.19999999999994
PHVS,94,29.999999999999936
FUTU,2,29.999999999999936
KC,6,29.999999999999936
SLCA,14,29.999999999999936
9268,2,23.19999999999996
PDCE,20,29.999999999999936
PDD,5,29.999999999999936
HDSN,20,19.299999999999976
4393,48,24.09999999999996
VS,11,20.099999999999973
ACOR,25,29.999999999999936
IRTC,5,29.399999999999938
BXC,81,29.999999999999936
6083,48,29.999999999999936
CING,35,29.999999999999936
NLSP,79,20.999999999999968
MGNX,47,29.999999999999936
EEX,27,29.999999999999936
WRN,11,27.999999999999943
LIVE,37,23.29999999999996
XPOF,57,29.999999999999936
OXY,20,29.999999999999936
INDO,37,29.999999999999936
RGS,2,29.999999999999936
SXTC,94,14.099999999999993
6898,43,18.599999999999977
HGEN,91,29.999999999999936
HTCR,71,17.99999999999998
BCDA,2,18.599999999999977
NVCT,7,29.999999999999936
RYI,2,19.799999999999972
KRKR,56,19.99999999999997
MCHX,87,29.999999999999936
AUID,29,19.49999999999997
AXSM,4,24.09999999999996
BTE,3,21.499999999999964
SFR,4,19.699999999999974
QRHC,38,23.59999999999996
CDIO,7,13.599999999999994
PLL,83,15.899999999999986
PBR,2,21.599999999999966
YOU,41,24.399999999999956
CNQ,20,29.999999999999936
VRNA,88,29.999999999999936
ZLAB,76,29.999999999999936
CNTB,54,29.999999999999936
STGW,20,25.199999999999953
AMPY,18,14.099999999999993
SLNO,11,27.499999999999943
BILI,82,25.299999999999955
2780,46,29.999999999999936
SEDG,2,29.999999999999936
PTGX,40,29.099999999999937
VOC,5,29.999999999999936
CMPX,3,19.799999999999972
7809,13,29.999999999999936
SKYT,30,27.399999999999945
REUN,72,29.999999999999936
IBIO,21,29.999999999999936
WAL,3,12.599999999999998
MUR,20,29.999999999999936
IREN,36,27.599999999999945
CDLX,15,29.999999999999936
VOXR,4,21.199999999999967
RERE,99,25.79999999999995
CVV,81,29.999999999999936
6031,43,28.199999999999942
OCTO,91,28.79999999999994
LAC,61,25.399999999999952
6966,15,29.69999999999994
3628,99,29.999999999999936
CTIC,85,29.999999999999936
7187,36,27.599999999999945
TARA,25,29.999999999999936
LWLG,37,29.999999999999936
6578,67,28.499999999999943
BLBX,9,13.599999999999994
OIS,18,29.29999999999994
WCC,17,23.19999999999996
XAIR,51,29.999999999999936
AKRO,100,25.199999999999953
BBW,2,29.999999999999936
4371,21,23.499999999999957
GPRE,20,29.999999999999936
PNT,8,25.399999999999952
IMMX,90,19.99999999999997
TRMD,100,25.199999999999953
CHS,30,29.999999999999936
2901,4,23.499999999999957
NPCE,8,28.99999999999994
CPRX,13,13.499999999999995
SLGG,7,18.299999999999976
VECT,82,29.999999999999936
LCFY,62,20.39999999999997
ERF,11,29.999999999999936
ANTE,90,28.89999999999994
POCI,49,13.599999999999994
NTRB,51,18.599999999999977
BGXX,73,27.999999999999943
AACG,36,29.999999999999936
CLXT,73,26.19999999999995
CEPU,46,29.999999999999936
HUSA,17,29.19999999999994
MFH,16,22.79999999999996
CVU,19,29.999999999999936
FORG,98,29.999999999999936
QFIN,46,25.699999999999953
9246,96,29.999999999999936
ESEA,7,27.199999999999946
4268,11,12.699999999999998
PTPI,9,29.69999999999994
BTBT,52,26.49999999999995
6982,26,29.399999999999938
VYGR,100,15.999999999999986
BFRG,10,29.999999999999936
NUVL,2,29.999999999999936
6626,49,14.499999999999991
2813,57,29.999999999999936
3772,16,29.999999999999936
