Symbol,days,rr
FICV,2,30.0
KWE,15,18.5
ZIVO,15,15.0
9204,2,24.3
VTNR,18,13.2
AEHR,16,27.3
8107,13,30.0
2195,42,30.0
AMR,27,30.0
GGE,57,30.0
DRCT,2,30.0
BTU,5,30.0
MTR,3,24.8
8918,97,30.0
RGC,24,22.3
BSGM,17,29.0
MSGM,9,15.1
BTCS,81,30.0
XPON,53,26.7
SILO,12,30.0
MPU,6,22.0
8836,88,30.0
GFAI,11,24.9
AMST,17,16.4
NYMX,30,30.0
NEXT,2,30.0
SGML,25,27.5
SCWO,4,14.4
COSM,5,30.0
3083,36,30.0
SAI,3,30.0
TROO,36,27.9
DTST,18,30.0
3936,36,20.0
CEIX,27,19.4
GNLX,6,30.0
CETX,52,27.4
BGI,33,16.3
AVDL,81,28.1
UONEK,30,23.5
NMTC,10,18.3
BRN,18,25.8
NRT,2,12.3
MARPS,18,15.0
RDIB,41,28.1
TNON,50,18.3
SBOW,19,28.3
ROCC,11,19.1
PRST,3,26.7
MREO,3,27.3
BORR,6,22.0
MATH,78,21.1
PETV,24,12.3
SDPI,34,25.0
RXDX,4,15.2
OMGA,3,30.0
OBE,19,16.7
NAAS,99,30.0
CLMT,33,16.0
APRE,20,30.0
KLXE,20,29.1
BCTX,19,30.0
LUCY,9,29.7
1491,10,30.0
GLTO,20,25.3
NWTN,61,12.2
7901,90,22.7
APLD,11,28.9
CERE,5,16.2
6554,95,30.0
VIGL,91,15.4
PBT,27,22.3
FOXO,44,30.0
KOS,23,16.7
MCOM,94,13.5
2388,89,25.0
BBAI,9,12.2
9704,63,30.0
8139,33,17.6
MVO,5,30.0
HILS,27,12.9
VTVT,23,13.9
NTRB,55,24.0
7946,3,15.2
AACG,58,24.0
TOMZ,6,30.0
ASLN,6,29.0
EUDA,40,23.4
7692,98,30.0
SJT,84,30.0
LEU,40,13.1
7878,52,22.0
NOG,13,27.4
AMPY,19,30.0
CABA,44,27.9
GROV,15,13.9
8202,6,29.8
CIFR,30,19.1
ATIF,98,25.1
IMNM,77,30.0
TH,2,30.0
ENLT,3,30.0
MCVT,94,19.0
PBF,87,16.5
NINE,36,30.0
BGXX,72,20.3
AAMC,18,30.0
HGEN,84,30.0
SYM,39,30.0
PFMT,4,22.0
LTRY,2,30.0
KRUS,4,30.0
OIS,18,30.0
RENN,94,30.0
FLJ,97,27.0
ANEB,11,23.5
AGE,55,30.0
AFIB,3,29.4
ISIG,93,17.9
VIST,17,30.0
EM,44,13.7
ESTE,22,30.0
HUT,13,23.8
WFRD,2,30.0
CDIO,7,23.8
VRTV,21,30.0
2767,36,30.0
CCJ,22,20.3
MDJH,49,30.0
CRT,3,12.7
PXMD,53,12.5
ANIX,9,27.3
EVLV,94,25.3
YTEN,11,30.0
DSX,14,28.9
CPG,13,30.0
9107,21,30.0
MSTR,37,30.0
SEDG,2,30.0
VTGN,18,30.0
SOUN,18,27.5
OCTO,9,12.0
EPM,2,29.1
AMLX,18,26.8
SPPI,34,12.4
KRKR,88,30.0
IQ,100,30.0
HUIZ,12,16.2
4169,6,25.1
QD,28,29.8
4575,45,24.1
3697,4,19.2
TUSK,38,25.8
DADA,19,18.1
KALA,2,30.0
3856,3,22.4
BILI,94,30.0
JKS,34,17.4
PTPI,9,28.1
1518,35,25.9
BTOG,66,30.0
UCL,6,12.3
DXLG,3,30.0
YMM,32,14.1
UIHC,95,30.0
AXSM,19,30.0
CAPR,36,28.7
GEL,21,28.1
RAIN,12,30.0
KC,6,12.0
PHAT,4,26.5
METX,43,14.0
BIVI,20,13.1
TAL,24,19.2
TRKA,11,30.0
CPSS,3,21.3
VYNE,2,24.3
CAR,81,28.6
PLL,87,23.6
SBR,13,30.0
RLX,2,19.7
INDO,18,20.6
AMAM,37,18.0
9268,2,22.9
IVDA,48,18.5
PHGE,10,30.0
DDS,19,22.2
