Symbol,poc_level,proc_bars,rr
2195,1010,42,30.0
6554,915,95,30.0
2767,1932,36,30.0
9107,3365,21,30.0
1518,3180,35,25.9
6083,1504,47,28.9
4393,6660,56,21.9
7809,9620,15,15.5
6338,4540,18,30.0
7187,2054,37,22.3
9110,3640,2,28.3
7033,3240,2,17.6
2780,2713,11,18.0
2778,213,19,30.0
9101,3142,21,16.2
6323,10130,4,30.0
9308,1765,21,30.0
7373,2782,6,24.5
4616,1868,15,30.0
9246,4925,95,30.0
7610,156,2,29.4
3187,1066,38,13.6
3445,3170,12,23.3
9104,3260,5,30.0
9888,1260,48,30.0
9827,511,46,16.7
6249,4035,2,30.0
3498,4170,87,24.3
2986,3710,4,30.0
6658,788,35,13.4
6069,1377,47,22.1
4395,2011,47,29.3
7047,1674,2,30.0
2152,1197,16,29.9
3945,1500,89,26.8
1992,1599,48,21.8
5380,1555,31,28.8
7372,1040,24,19.2
7991,1560,52,30.0
7050,2276,49,12.6
5423,1351,2,13.6
9127,1474,37,15.7
9726,1622,47,21.5
2585,3155,9,30.0
3989,477,48,23.3
6198,350,44,30.0
7567,525,43,25.4
1783,59,74,30.0
6898,3120,31,20.2
4238,1567,94,30.0
6092,732,45,20.5
7039,2614,47,27.1
6969,783,16,17.3
8508,406,13,30.0
5702,1408,32,17.0
3978,1076,96,30.0
9625,909,47,23.5
5408,975,95,17.7
5817,513,3,12.5
9755,2068,21,27.2
4673,2665,10,26.2
9360,1669,89,20.0
1966,1376,87,30.0
6337,2374,18,18.1
9362,2200,2,22.6
7084,1104,95,30.0
5935,4580,31,13.2
3238,606,58,30.0
7769,1975,50,30.0
4442,3280,48,30.0
6200,1345,63,28.3
8260,342,74,30.0
9119,1062,87,30.0
1436,871,10,28.9
6028,3630,57,30.0
2666,210,49,26.0
3441,1082,97,30.0
7343,1148,22,12.2
6882,926,32,30.0
3321,1370,7,30.0
7879,1238,2,30.0
6272,1289,2,27.3
4055,1943,7,30.0
5212,1312,30,28.5
4270,2723,11,30.0
4979,1454,100,17.2
5820,2400,29,27.9
