Symbol,Sharpe,Length
3422,35.40696390785836,4
ZIM,8.333329421822127,34
ASAI,5.875905978738654,7
CSAN,4.993250958763885,8
WFRD,4.39920826452688,51
DEN,3.9273545924249937,123
ASO,3.1518202956607455,114
4169,3.008215538651133,55
6612,2.8472525082798135,61
7342,2.815145530689241,57
MP,2.723046799674893,186
CNXC,2.6988369747084264,77
BIPC,2.628500793964362,243
4051,2.5824631584069837,162
2932,2.544432790015051,116
7317,2.4550149863687407,231
CARR,2.2628142149621784,251
7358,2.2431927872143125,58
NVEI,2.2135394027712407,97
PTVE,2.197449939862967,125
FOUR,2.187008996319282,197
PUBM,2.184250221918957,67
4934,2.166883006859785,94
7094,2.0869040708748376,236
6229,2.042294448376616,60
4477,1.9930577621952579,338
4170,1.9828060404457728,57
ABNB,1.9716371915050432,66
4478,1.9298350989233022,302
ALGM,1.8886656796243235,95
OCG,1.8037528104147724,63
AZEK,1.7943422070204265,192
1431,1.7628189820775468,425
4485,1.7488200752240646,301
FRHC,1.7144819620320377,782
4880,1.7003708672646978,336
7354,1.6921772757277893,111
BNTX,1.6880779916199986,361
7095,1.6770482488683363,235
4490,1.6652206842010473,249
6564,1.6168981872667119,795
INMD,1.6103496769373515,405
4480,1.6054157198099916,305
ITOS,1.59777310337689,163
4483,1.5794740452732938,303
6544,1.5652054694901771,995
4054,1.5645616511954048,153
ZM,1.4915957133555968,482
GSHD,1.4864038160634485,727
7944,1.4698742604365933,263
MRNA,1.4598811123942403,572
4481,1.4503607022288338,303
ONEW,1.4122642196754684,279
5070,1.407237730317053,244
PLMR,1.4002404406189235,483
6532,1.3957096206101205,1127
4167,1.3900625245157132,58
MRVI,1.357732867650144,79
PGNY,1.3502945847846737,350
ACMR,1.3478949128859725,847
TTD,1.3232611569745178,1129
4053,1.3105818487322471,153
SWAV,1.3103576241164756,512
3563,1.3077499135645196,987
VIR,1.2901076159177336,360
6200,1.2853382344117434,1157
9090,1.2728286997294205,1717
HLNE,1.2598748559784385,1019
OTIS,1.258967064611238,251
NFE,1.2542619887299147,536
YETI,1.2502134333573058,601
3962,1.23912464748425,1111
4251,1.231669742057128,335
4436,1.223578923084066,483
PDD,1.2063695353744974,665
AHCO,1.1820599694222313,704
6920,1.15896736250375,2728
6028,1.1526318562466071,1547
CM,1.152044079222997,5872
DAVA,1.1500309181289998,664
PCGU,1.1498658813868519,182
PAYC,1.1485646179519473,1743
PARAA,1.1460456082019856,322
3465,1.1450451486582052,1297
2804,1.1447747041538527,5059
GLOB,1.135108089973688,1678
SHLS,1.1325253316127584,34
2222,1.1153198246982525,2728
2930,1.1108264524814306,1562
TW,1.1097809340614901,492
9284,1.109387659346916,838
7033,1.1073566638439678,649
TSLX,1.0933796006903793,1760
3923,1.08360613028653,1306
7090,1.081716675616923,246
5368,1.079388462584969,242
6035,1.0761400877995813,2467
9519,1.0739472035040558,1011
DT,1.0713742161182964,410
3475,1.0686053992738864,1063
FSV,1.06402854454834,1459
CDW,1.0637365467309312,1944
7088,1.0624146565726191,250
3097,1.0576300108026973,2728
EPAM,1.04879440097579,2291
VIPS,1.0461949172997835,2260
SITE,1.0446187422092812,1220
FLGT,1.0375797136920575,1123
TSLA,1.0365804703807553,2698
PYPL,1.0329521462196005,1436
ONTO,1.020648871557788,349
BLD,1.0158558909516031,1448
CHWY,1.0104090618348733,443
9143,1.008895136061711,807
AVGO,1.0082569804204304,2923
CABO,1.0059572012674043,1452
4732,1.0025975433910024,5055
2130,1.0005966303103089,1217
SILV,0.9897358123278439,764
IR,0.9744961195953573,968
7956,0.9718609649829819,5055
ERF,0.967932252426928,5112
7337,0.9678029642505227,112
RPAY,0.9555715592197475,672
BIP,0.9520872041602767,3319
NOW,0.9507258120803652,2192
7199,0.9485778482132835,801
6465,0.9472465671518795,3018
MA,0.9459072959728643,3728
SEDG,0.9455122438413112,1505
ZI,0.9452286660946424,198
TDG,0.9445389380430335,3778
3186,0.9406271018737192,1885
MAIN,0.9371243293663197,3383
CSWI,0.9356695835376029,1375
CHTR,0.9349311522685375,2819
ICL,0.9317699490597612,4025
4927,0.9279432203670124,2532
SPH,0.9271598207690305,6305
SO,0.9256971190869167,9886
7780,0.9250304579201003,1419
7687,0.9240854752472362,245
9450,0.9174373387092059,734
3371,0.9140710247288503,3081
KO,0.9132234406110354,14905
HLI,0.9122367911731971,1408
6062,0.9120563145869279,2193
NS,0.911665029963233,5015
3046,0.9111343040453521,3081
7818,0.9110222618970606,2573
6197,0.9042361988450354,1172
3288,0.8989063458408821,1848
6240,0.898544573914085,1592
2427,0.8951981506953796,2728
9267,0.8930359398887666,2728
7685,0.8870517387116083,301
MMP,0.8856928149758037,5031
9282,0.8846743956134107,1069
7164,0.8818783157790598,2032
MO,0.880266415856482,14905
6098,0.8786827231355026,1587
CFFN,0.8730407741863351,5526
LU,0.8669548467732577,94
7085,0.866407776676804,255
AVTR,0.8659250868550855,462
ACI,0.8657946664469713,182
FUN,0.8628302299378988,8544
4435,0.8624033753153815,485
WMS,0.85985788686544,1673
ACA,0.8590969085995593,594
EPD,0.8574224140279888,5698
1909,0.8567877030511224,2399
7203,0.8567470043464388,5491
4781,0.8562794067348745,4759
ICHR,0.8546494991999081,1073
5290,0.8538563980700524,599
PLNT,0.8524050901854037,1413
8066,0.8488236636515767,5055
LYB,0.8478545152157083,2741
RY,0.8469568732728152,6399
3091,0.8465035869372675,2728
4612,0.8457774763480969,5059
6061,0.8454205540637012,2194
6699,0.8448205730689896,599
9434,0.8406708267076765,542
RACE,0.8384460763743266,1360
3922,0.8380256310327351,1232
NAT,0.8376197732059718,5904
ROAD,0.8365279817796533,722
NVEE,0.8360195905536036,1879
3549,0.8344941105511161,3702
LGIH,0.8317379784070976,1851
PSEC,0.8317122043501175,4191
7676,0.8291975596231693,457
PFLT,0.8270317960539972,2501
KEYS,0.8255984298575674,1613
6036,0.8250395288354523,1510
6027,0.8233020839134028,1548
SMPL,0.8226035170736719,929
WAFU,0.8212345149886572,475
ZTS,0.8188109467440987,2045
BMO,0.8181647139349789,6643
SIX,0.8163245564691549,2732
TME,0.8143867982110758,569
DUK,0.8121230812411215,10339
ATKR,0.8120965793589021,1200
USAC,0.8119509694706408,2057
UI,0.8106991977647138,2370
6099,0.8106879365954861,1572
6196,0.8104225352463755,1177
IBP,0.8100946840439442,1785
3697,0.8097555612537068,1567
LW,0.8091929420498137,1093
3802,0.8077073177334596,215
ARES,0.8064003786919797,1731
VRT,0.8057884434618935,660
DPZ,0.8050831115344951,4200
CTVA,0.8033663172396289,457
APTV,0.8033304961747314,2346
7611,0.8030727056802172,3931
RDVT,0.8024403272133107,749
3648,0.8014575572410615,2472
7508,0.8010827628524454,4963
GOLF,0.8009103418076746,1102
7716,0.7994674705069454,5175
4595,0.7973300469918503,1300
BAH,0.7954871704738626,2598
3983,0.7917558772939635,992
CHGG,0.7916360472991726,1847
PCTY,0.7913522753112885,1762
8593,0.7913125925428898,5055
7673,0.7907687883709933,488
AWK,0.7888745937687862,3248
VAC,0.7864942794514495,2353
NFLX,0.7863044269380038,4737
D,0.786284540374679,10339
3940,0.7857515402402152,1117
RKT,0.7853777836411726,154
ENPH,0.7853242933766472,2255
7599,0.7852139772647732,5055
7816,0.7841826551347878,1549
3199,0.7828037054376455,1541
FTNT,0.7824580614501918,2850
MBIN,0.7822159364552536,851
4427,0.7820677085001492,540
SUN,0.7815725289894964,2135
WEC,0.7813625238418637,10339
RH,0.7812915757172395,2106
HEP,0.7792881916060543,4203
MSFT,0.7788867226700528,8825
9384,0.7783000154049923,3027
NYCB,0.7773150598733489,6877
CTLT,0.7771626861268385,1669
DMLP,0.7738714541680076,4562
ARLP,0.773417098980989,5431
3994,0.7731855742299626,860
7811,0.7730177262505047,1251
VCTR,0.772918832135862,781
MNSO,0.7726621306274489,105
4768,0.7718698925779942,5056
PGR,0.7713565690160791,10340
6071,0.7708856228942229,2041
8876,0.7703112722618805,2728
SGH,0.7700476086918444,960
POOL,0.7698962774670625,6400
9273,0.7698480751458491,671
FLT,0.7697967325055601,2580
SFBS,0.7684899191413105,1723
4390,0.7672606560001088,667
SPSC,0.7668881334959559,2745
4820,0.7665598066838464,4450
CD,0.7658917578523561,116
7747,0.7647409839687442,3895
GOOG,0.7643709619797878,4173
3293,0.7643092300004042,1789
V,0.7641033776783545,3272
GOOGL,0.7630693186272418,4173
HD,0.7628081193229067,9956
VRTS,0.7609282072797696,3072
BFAM,0.7608973626522941,2050
3457,0.7600324853369143,1481
9795,0.7595726221378157,2728
FOXF,0.7592562664863702,1915
3633,0.7584571380538728,3011
CPG,0.7575652290383011,4383
HTGC,0.7561939428609801,3970
7351,0.7559299666466791,173
3139,0.7547726671084946,1374
FTCH,0.749397810674319,625
VEEV,0.7488179573132443,1867
MCVT,0.7484972033972405,2776
VZ,0.7483097520891917,9407
LITE,0.748199129472725,1423
FND,0.7479052117487655,979
CODI,0.7474429759136229,3733
DG,0.7469690037542684,2853
CVX,0.7468618542313141,14904
NOC,0.7455096446981472,9889
3150,0.7439776930817761,2957
6869,0.7432172599168877,5046
3179,0.7430166986600713,2031
LEG,0.7418411671158673,10339
APPS,0.7414818943474714,3700
TD,0.7408058893035822,6177
ATO,0.7401186863165831,9382
4684,0.7392246289061604,5059
FSK,0.7389166259986083,1742
4536,0.7381400399226756,5056
