Symbol,Sharpe,Length
2998,1.9959390694593877,265
2216,1.8798359672989735,537
AMR,1.8514613819195214,553
VIST,1.8432971295893734,553
2767,1.8422001331016902,537
2652,1.7892884387991916,537
3399,1.7390273375242715,537
PBT,1.7292950339423683,553
7682,1.6835072923352263,537
2585,1.6795331566833922,351
7433,1.665567353137296,537
4334,1.6531120291131576,537
2802,1.5948504880573522,537
2872,1.57821638362484,537
SMCI,1.5273996835601988,553
ELF,1.521482222617837,553
6338,1.5210620032883504,537
6368,1.5057622295987565,537
FLNG,1.4892497182041575,553
WFRD,1.483001582866646,553
SPLP,1.4808621340526513,553
AEHR,1.4670102009516497,553
UFPT,1.4596772961409201,553
LLY,1.458585223659496,553
TH,1.4545892319718192,553
MCK,1.4497175070297657,553
3181,1.4485842438864767,537
5192,1.4403550778814136,537
6924,1.4379513315117745,537
LNTH,1.4305377656140301,553
CEIX,1.4222936485324176,553
8584,1.417097070425431,537
7352,1.4163395038258113,537
9908,1.4092751573620454,537
NVO,1.4081384793527736,553
8136,1.4018030673190818,537
8002,1.4014313985104057,537
HDSN,1.3973863831148976,553
1888,1.3917363652268055,537
8093,1.3907305606409814,537
7381,1.378648676780371,406
DXLG,1.3681398994184255,553
8139,1.3619748877818436,537
4107,1.357134039727842,537
6298,1.3545092656381723,537
7925,1.3509785383306643,537
4216,1.3471784351855254,537
9104,1.3468284145885825,537
ACLS,1.3462777415694631,553
6430,1.3460306312046089,537
MTR,1.3419608219182015,553
9219,1.3348611290218046,286
SBR,1.3280123964289834,553
2676,1.3224246061317897,537
5384,1.320841590708957,537
2986,1.3185068043447334,537
ARLP,1.3175555221359814,553
2304,1.3165896944905364,537
8075,1.3088875939465021,537
6590,1.3083519303083633,537
2780,1.3065650485482012,537
6249,1.3061497280010297,537
6358,1.301012299811257,537
6156,1.3009224936546468,537
3856,1.297258045800451,537
NRP,1.293484546058656,553
6819,1.2915447445597956,537
5078,1.2892358744226264,297
