Symbol,rr,pl
CNTB,25.20000000000002,166.87058224701985
FRC,30.000000000000025,67.05873197020865
RXDX,14.600000000000012,25.605844399949106
IPDN,2.000000000000001,23.073094959785962
AMR,4.200000000000003,20.136828173782234
HOLO,10.100000000000009,17.424931923772903
AEHR,11.90000000000001,17.181008352724746
BGI,9.600000000000009,13.567600996580076
BTU,2.000000000000001,13.485377320134345
SGML,10.000000000000007,13.30418776605025
ISEE,4.800000000000003,11.13881201585591
HDSN,5.400000000000004,10.301256952043886
MPU,6.600000000000005,9.735338042265873
TOP,21.80000000000002,8.76581498149772
NWTN,11.30000000000001,8.742378170052822
MTR,5.900000000000004,8.698106374665008
LWLG,8.200000000000006,8.585610785120332
VIST,24.00000000000002,8.285105152854406
IMTE,2.300000000000001,8.232458915357507
TH,4.3000000000000025,8.174074851410928
NVCT,3.8000000000000025,8.06328112194084
SKYH,7.600000000000006,7.579871055520232
LVOXU,30.000000000000025,7.382123257782966
PBT,5.200000000000004,7.075991199846341
SJT,5.100000000000003,6.935375472247107
MLGO,20.900000000000016,6.813797759437181
GNLX,11.20000000000001,6.705298734640265
BCTX,1.7000000000000006,6.701584171935115
CEIX,13.800000000000011,6.656021676558705
TROO,24.90000000000002,6.611114074885581
SCWO,8.800000000000008,6.4996491335030315
JWEL,4.700000000000003,6.416403369579389
UONE,2.5000000000000013,6.2942798859708144
HNRG,2.9000000000000017,6.274578304454779
RVPH,3.0000000000000018,6.210907548975904
AAMC,2.6000000000000014,6.11205079195944
DXLG,6.600000000000005,6.080078828493696
LUCY,3.0000000000000018,5.970658694083064
RENN,5.600000000000004,5.918458882623387
NRT,16.100000000000016,5.780298955866017
KPTI,18.300000000000015,5.664823642631327
ELVN,30.000000000000025,5.623604507349061
MHUA,3.7000000000000024,5.594319204432756
YPF,5.400000000000004,5.521267064800944
RCMT,2.7000000000000015,5.488964329955934
CPRX,17.300000000000015,5.466039007333736
VTNR,4.400000000000003,5.324119911576897
AVDL,1.5000000000000004,5.315364096213593
LNTH,8.400000000000006,5.314389308891
NRP,4.000000000000003,5.292263309335533
FLJ,2.9000000000000017,5.275885821543636
SBOW,8.200000000000006,5.20848094042173
RYTM,4.000000000000003,5.180248148684427
XPOF,2.6000000000000014,5.162534989660769
CRT,9.400000000000007,5.006091197609791
FLNG,2.6000000000000014,4.951020443175091
WFRD,3.300000000000002,4.929938706403183
BORR,25.00000000000002,4.92912769045242
BLU,11.40000000000001,4.852466908498798
VTLE,2.100000000000001,4.840287325389573
RGC,5.700000000000005,4.73486379246434
BPT,5.800000000000004,4.734389697749926
JAKK,2.8000000000000016,4.688398106573057
ISIG,1.9000000000000008,4.6811604853161715
UONEK,1.1,4.678247283040199
APLD,15.100000000000012,4.6513668111794235
MOXC,1.3000000000000003,4.6333766990937795
TRMD,28.600000000000023,4.620789618293357
MARPS,4.100000000000003,4.596168380192573
NOG,3.9000000000000026,4.584687025849356
SD,4.400000000000003,4.5788508493700295
SCLX,2.5000000000000013,4.575888172269157
VET,2.000000000000001,4.572207295093395
YGMZ,3.100000000000002,4.565557064722555
ATLX,6.000000000000004,4.4982359314081055
NINE,3.8000000000000025,4.466779525759801
VOC,13.600000000000012,4.405992331599734
SNMP,5.900000000000004,4.377680401993366
EVH,1.9000000000000008,4.366987179710466
MVO,2.9000000000000017,4.327715911953149
SITM,2.000000000000001,4.259548605552606
GTE,1.9000000000000008,4.225599313232184
TGLS,8.300000000000006,4.186941056535164
