,xt_va_z
0,
1,
2,
3,
4,
5,
6,
7,
8,
9,
10,
11,
12,
13,
14,
15,
16,
17,
18,
19,
20,
21,
22,
23,
24,
25,
26,
27,
28,
29,
30,
31,
32,
33,
34,
35,
36,
37,
38,
39,
40,
41,
42,
43,
44,
45,
46,
47,
48,
49,
50,
51,
52,
53,
54,
55,
56,
57,
58,
59,
60,
61,
62,
63,
64,
65,
66,
67,
68,
69,
70,
71,
72,
73,
74,
75,
76,
77,
78,
79,
80,
81,
82,
83,
84,
85,
86,
87,
88,
89,
90,
91,0.49585538731157114
92,0.5185341078588646
93,0.5407625139165819
94,0.5595436318100773
95,0.5751835554940462
96,0.5904842909463758
97,0.6081669680959488
98,0.6285373394116764
99,0.6509214329800513
100,0.6715241860211676
101,0.6842050756317684
102,0.6842117056389438
103,0.671482343570888
104,0.6482481249352062
105,0.6202574989972275
106,0.5895634339925779
107,0.5549715889165914
108,0.5194912547162074
109,0.48917339334898025
110,0.46872517706921324
111,0.4598241494259142
112,0.458989155942759
113,0.4604120627097671
114,0.45898047765284017
115,0.45214698244121043
116,0.44548407716438004
117,0.4431590887014856
118,0.44405131937063375
119,0.44863697876967523
120,0.45566364921173746
121,0.4677335948710411
122,0.487019182706579
123,0.5108433571210834
124,0.5339955894686181
125,0.5484981653607202
126,0.5480132982053744
127,0.5364291717467491
128,0.5186261127130967
129,0.49410277535915686
130,0.45901179145641124
131,0.40682577061874514
132,0.3385843833546147
133,0.26672451895622923
134,0.20527773497979332
135,0.16245485660818723
136,0.13755516440102467
137,0.1235112228313568
138,0.11234243850336938
139,0.10169016922023036
140,0.0948764265981767
141,0.12018017628084396
142,0.1825323674109171
143,0.26649015273793675
144,0.3447902491862928
145,0.38753190890735373
146,0.3936357916766638
147,0.3785023412428211
148,0.3588608794759436
149,0.346821410650906
150,0.34432271846768786
151,0.3510028026733851
152,0.36116907615147775
153,0.3707432297433057
154,0.3781894868916966
155,0.37968071399186254
156,0.3729715577884988
157,0.3545003807783489
158,0.32115909562095246
159,0.2830946293970591
160,0.24840502278676416
161,0.22105602479297537
162,0.19993946226685919
163,0.17908528331546938
164,0.15751947186263476
165,0.13882270594597493
166,0.1289321797935858
167,0.07460056446396769
168,-0.08713500727845432
169,-0.38467318010801793
170,-0.7866550683386581
171,-1.1124808123394434
172,-1.2257957167546867
173,-1.088860643784178
174,-0.7710460796755451
175,-0.4242293915588117
176,-0.15324219376153256
177,0.0012933800068473833
178,0.05765342636730973
179,0.06017388435950403
180,0.040026319320407504
181,0.014899164426430878
182,-0.007650543031176892
183,-0.019004268746476462
184,-0.007324415071896106
185,0.03217084814373923
186,0.09153415461787884
187,0.15225399278666069
188,0.1999649576705209
189,0.22958998859957608
190,0.24577137166910062
191,0.2536704020109379
192,0.25945253769350435
193,0.262010665668387
194,0.25838405523335317
