Symbol,Price,Type,Strike,"Exp Date",DTE,Bid,Midpoint,Ask,Last,Volume,"Open Int","OI Chg",IV,Time
PBR,14.09,Put,14,2023-07-21,27,0.52,0.53,0.54,0.52,1430,92337,"+84,020",34.67%,2023-06-23
PBR,14.09,Put,13,2023-07-21,27,0.18,0.2,0.21,0.21,3809,94288,"+77,609",39.71%,2023-06-23
AMC,4.01,Put,4,2023-08-18,55,1.74,1.75,1.75,1.74,27935,178055,"+31,451",300.61%,2023-06-23
AMC,4.01,Call,10,2023-08-18,55,0.08,0.1,0.11,0.11,13164,62479,"+25,427",156.23%,2023-06-23
AMC,4.01,Put,10,2023-08-18,55,7.15,7.23,7.3,7.2,13001,41706,"+25,010",370.76%,2023-06-23
NKLA,1.29,Call,1.5,2023-07-07,13,0.11,0.13,0.14,0.13,1526,31155,"+24,290",209.66%,2023-06-23
PFE,38.3,Put,38,2023-07-21,27,0.6,0.62,0.63,0.57,713,20440,"+20,055",18.57%,2023-06-23
JNJ,165.48,Call,170,2023-07-21,27,0.73,0.76,0.79,0.71,1567,27073,"+18,435",12.53%,2023-06-23
SNAP,10.82,Call,12,2023-08-18,55,0.84,0.85,0.85,0.85,27134,54574,"+16,407",75.51%,2023-06-23
CHPT,7.36,Put,7.5,2023-06-30,6,0.35,0.36,0.36,0.34,16426,17351,"+15,773",74.43%,2023-06-23
CHPT,7.36,Put,7,2023-06-30,6,0.12,0.13,0.13,0.12,796,16179,"+15,587",71.77%,2023-06-23
AMGN,227.11,Call,245,2023-08-18,55,1.28,1.64,1.99,1.54,640,16481,"+15,361",19.38%,2023-06-23
AMC,4.01,Call,4,2023-07-21,27,0.42,0.44,0.45,0.45,2029,23348,"+12,536",101.16%,2023-06-23
AMZN,129.33,Call,130,2023-06-30,6,1.89,1.9,1.92,1.91,56996,22867,"+10,818",32.87%,2023-06-23
TSLA,256.6,Call,300,2023-06-30,6,0.36,0.37,0.38,0.38,46580,40815,"+10,490",68.66%,2023-06-23
AAPL,186.68,Call,197.5,2023-07-07,13,0.11,0.12,0.13,0.11,12183,10209,"+10,173",16.97%,2023-06-23
AAPL,186.68,Call,195,2023-07-14,20,0.51,0.56,0.61,0.55,1825,12594,"+9,809",16.58%,2023-06-23
TSLA,256.6,Put,250,2023-09-15,83,21.6,21.75,21.9,21.55,743,14939,"+9,537",54.50%,2023-06-23
AMC,4.01,Put,3,2023-08-18,55,0.88,0.89,0.89,0.88,14076,168215,"+9,249",258.40%,2023-06-23
TSLA,256.6,Call,300,2024-01-19,209,28,28.23,28.45,28.4,934,33051,"+9,163",52.93%,2023-06-23
CHPT,7.36,Put,7.5,2023-06-23,0,0.12,0.14,0.16,0.14,6732,11301,"+9,111",16.19%,2023-06-23
AMD,110.01,Put,110,2023-07-21,27,4.85,4.9,4.95,4.85,2013,20728,"+8,735",42.24%,2023-06-23
XP,23.45,Put,23,2023-07-21,27,0.9,0.95,1,1,6144,8663,"+8,562",49.53%,2023-06-23
AMD,110.01,Call,110,2023-07-21,27,5.25,5.33,5.4,5.32,6590,19300,"+8,409",42.88%,2023-06-23
EURN,15.59,Call,18,2023-08-18,55,0.5,0.58,0.65,0.6,6267,8877,"+8,387",57.71%,2023-06-23
PLTR,14.03,Put,13.5,2023-06-30,6,0.25,0.26,0.26,0.26,8451,10206,"+7,899",68.63%,2023-06-23
TSLA,256.6,Call,350,2023-07-21,27,1.58,1.61,1.63,1.64,18713,12148,"+7,809",73.39%,2023-06-23
AMD,110.01,Call,110,2023-06-30,6,2.57,2.59,2.6,2.6,24157,8099,"+7,207",45.32%,2023-06-23
AMZN,129.33,Call,140,2023-07-14,20,0.81,0.85,0.88,0.83,11896,12730,"+6,966",32.33%,2023-06-23
CCL,15.8,Put,11,2024-01-19,209,0.62,0.63,0.64,0.64,4511,10977,"+6,948",60.41%,2023-06-23
AMZN,129.33,Call,140,2023-06-30,6,0.14,0.15,0.16,0.15,10354,12856,"+6,440",38.06%,2023-06-23
AMZN,129.33,Call,133,2023-06-30,6,0.91,0.93,0.95,0.93,18053,7796,"+6,389",34.02%,2023-06-23
TSLA,256.6,Call,350,2023-08-18,55,3.7,3.75,3.8,3.85,2905,15800,"+6,370",62.89%,2023-06-23
TSLA,256.6,Call,250,2023-09-15,83,30.8,30.98,31.15,31.12,532,17895,"+6,147",54.60%,2023-06-23
LUMN,1.82,Put,1.5,2024-01-19,209,0.24,0.26,0.27,0.26,7986,20682,"+5,985",85.66%,2023-06-23
AMZN,129.33,Call,130,2023-07-14,20,3.45,3.5,3.55,3.47,4807,7708,"+5,909",29.96%,2023-06-23
AMC,4.01,Put,4,2023-09-15,83,1.86,1.87,1.88,1.86,8719,163795,"+5,810",265.20%,2023-06-23
AMZN,129.33,Call,132,2023-07-21,27,3.2,3.25,3.3,3.22,3375,7989,"+5,707",29.82%,2023-06-23
SNAP,10.82,Call,11,2023-09-15,83,1.32,1.34,1.35,1.35,886,27219,"+5,660",66.95%,2023-06-23
MMM,100.72,Put,98,2023-06-30,6,0.41,0.44,0.46,0.43,5182,5815,"+5,542",27.22%,2023-06-23
BABA,84.92,Call,85,2023-07-21,27,3.6,3.65,3.7,3.65,2170,29172,"+5,169",38.37%,2023-06-23
GOOGL,122.34,Call,126,2023-06-30,6,0.42,0.43,0.43,0.43,14953,6328,"+5,146",25.60%,2023-06-23
