Symbol,Price,Type,Strike,"Exp Date",DTE,Bid,Midpoint,Ask,Last,Volume,"Open Int",Vol/OI,IV,Delta,Time
TLT,109.9,Call,120,2022-09-30,30,0.38,0.42,0.45,0.4,17870,164,108.96,20.65%,0.124754,2022-08-31
TLT,109.9,Put,111.5,2022-09-09,9,1.24,1.34,1.43,1.37,12093,175,69.1,22.25%,-0.453453,2022-08-31
XHB,59.32,Put,44,2023-03-17,198,0.1,2.45,4.8,1.51,7027,191,36.79,45.17%,-0.130136,2022-08-31
IWM,182.02,Put,162,2022-09-30,30,0.94,0.96,0.97,1.02,7672,227,33.8,35.90%,-0.101842,2022-08-31
SOXL,13.22,Call,14,2022-09-09,9,1,1.02,1.04,1.03,3896,143,27.24,114.77%,0.543261,2022-08-31
EFA,60.93,Call,62,2022-09-30,30,1.35,1.44,1.52,1.64,4050,157,25.8,23.09%,0.473475,2022-08-31
XOP,142.11,Call,165,2023-01-20,142,8.85,9.1,9.35,10.11,10031,398,25.2,44.68%,0.376456,2022-08-31
EEM,39.07,Call,40,2023-12-15,471,3.55,3.93,4.3,4.25,5850,256,22.85,25.09%,0.533809,2022-08-31
SPY,392.78,Call,398,2022-09-02,2,2.18,2.19,2.19,2.19,93060,4781,19.46,29.11%,0.375552,2022-08-31
SPY,392.78,Call,396,2022-09-02,2,3.06,3.08,3.09,3.07,39110,2043,19.14,29.59%,0.467436,2022-08-31
EEM,39.07,Put,34,2023-06-16,289,1.23,1.35,1.46,1.42,3712,198,18.75,27.49%,-0.224421,2022-08-31
SLV,16.36,Put,15.5,2022-09-16,16,0.09,0.1,0.1,0.1,5621,304,18.49,33.69%,-0.157881,2022-08-31
SPY,392.78,Put,396,2022-08-31,0,0.46,0.49,0.52,0.49,272672,15746,17.32,0.00%,0,2022-08-31
VOO,361.16,Put,340,2022-09-16,16,1.25,1.38,1.5,1.36,2135,125,17.08,28.18%,-0.124665,2022-08-31
